iucn_sid,presence,origin,distribution_code,rgn_id,rgn_name
39381,Extant,Native,Native,54,United Arab Emirates
39381,Extant,Native,Native,120,Antigua and Barbuda
39381,Extant,Native,Native,118,Anguilla
39381,Extant,Native,Native,82,Albania
39381,Extant,Native,Native,200,Angola
39381,Extant,Native,Native,172,Argentina
39381,Extant,Native,Native,151,American Samoa
39381,Extant,Native,Native,16,Australia
39381,Extant,Native,Native,250,Aruba
39381,Extant,Native,Native,124,Barbados
39381,Extant,Native,Native,204,Bangladesh
39381,Extant,Native,Native,52,Bahrain
39381,Extant,Native,Native,99,Benin
39381,Extant,Native,Native,108,Bermuda
39381,Extant,Native,Native,245,Bonaire
39381,Extant,Native,Native,248,Saba
39381,Extant,Native,Native,249,Sint Eustatius
39381,Extant,Native,Native,171,Brazil
39381,Extant,Native,Native,110,Bahamas
39381,Extant,Native,Native,164,Belize
39381,Extant,Native,Native,218,Canada
39381,Extant,Native,Native,100,Republique du Congo
39381,Extant,Native,Native,195,Ivory Coast
39381,Extant,Native,Native,153,Cook Islands
39381,Extant,Native,Native,224,Chile
39381,Extant,Native,Native,197,Cameroon
39381,Extant,Native,Native,209,China
39381,Extant,Native,Native,132,Colombia
39381,Extant,Native,Native,130,Costa Rica
39381,Extant,Native,Native,56,Cape Verde
39381,Extant,Native,Native,244,Curacao
39381,Extant,Native,Native,46,Djibouti
39381,Extant,Native,Native,175,Denmark
39381,Extant,Native,Native,123,Dominica
39381,Extant,Native,Native,115,Dominican Republic
39381,Extant,Native,Native,84,Algeria
39381,Extant,Native,Native,137,Ecuador
39381,Extant,Native,Native,214,Egypt
39381,Extant,Native,Native,63,Western Sahara
39381,Extant,Native,Native,45,Eritrea
39381,Extant,Native,Native,182,Spain
39381,Extant,Native,Native,18,Fiji
39381,Extant,Native,Native,95,Falkland Islands
39381,Extant,Native,Native,9,Micronesia
39381,Extant,Native,Native,198,Gabon
39381,Extant,Native,Native,180,United Kingdom
39381,Extant,Native,Native,125,Grenada
39381,Extant,Native,Native,169,French Guiana
39381,Extant,Native,Native,106,Ghana
39381,Extant,Native,Native,65,Gambia
39381,Extant,Native,Native,194,Guinea
39381,Extant,Native,Native,140,Guadeloupe and Martinique
39381,Extant,Native,Native,104,Equatorial Guinea
39381,Extant,Native,Native,80,Greece
39381,Extant,Native,Native,89,South Georgia and the South Sandwich Islands
39381,Extant,Native,Native,136,Guatemala
39381,Extant,Native,Native,13,Northern Mariana Islands and Guam
39381,Extant,Native,Native,193,Guinea Bissau
39381,Extant,Native,Native,167,Guyana
39381,Extant,Native,Native,133,Honduras
39381,Extant,Native,Native,187,Croatia
39381,Extant,Native,Native,216,Indonesia
39381,Extant,Native,Native,203,India
39381,Extant,Native,Native,192,Iraq
39381,Extant,Native,Native,191,Iran
39381,Extant,Native,Native,184,Italy
39381,Extant,Native,Native,210,Japan
39381,Extant,Native,Native,43,Kenya
39381,Extant,Native,Native,212,Kiribati
39381,Extant,Native,Native,28,Comoro Islands
39381,Extant,Native,Native,119,Saint Kitts and Nevis
39381,Extant,Native,Native,51,Kuwait
39381,Extant,Native,Native,113,Cayman Islands
39381,Extant,Native,Native,122,Saint Lucia
39381,Extant,Native,Native,40,Sri Lanka
39381,Extant,Native,Native,97,Liberia
39381,Extant,Native,Native,67,Libya
39381,Extant,Native,Native,62,Morocco
39381,Extant,Native,Native,186,Montenegro
39381,Extant,Native,Native,221,Northern Saint-Martin
39381,Extant,Native,Native,42,Madagascar
39381,Extant,Native,Native,11,Marshall Islands
39381,Extant,Native,Native,205,Myanmar
39381,Extant,Native,Native,64,Mauritania
39381,Extant,Native,Native,121,Montserrat
39381,Extant,Native,Native,37,Mauritius
39381,Extant,Native,Native,39,Maldives
39381,Extant,Native,Native,135,Mexico
39381,Extant,Native,Native,206,Malaysia
39381,Extant,Native,Native,41,Mozambique
39381,Extant,Native,Native,101,Namibia
39381,Extant,Native,Native,5,New Caledonia
39381,Extant,Native,Native,196,Nigeria
39381,Extant,Native,Native,131,Nicaragua
39381,Extant,Native,Native,177,Netherlands
39381,Extant,Native,Native,223,Norway
39381,Extant,Native,Native,10,Nauru
39381,Extant,Native,Native,154,Niue
39381,Extant,Native,Native,162,New Zealand
39381,Extant,Native,Native,48,Oman
39381,Extant,Native,Native,129,Panama
39381,Extant,Native,Native,138,Peru
39381,Extant,Native,Native,147,French Polynesia
39381,Extant,Native,Native,17,Papua New Guinea
39381,Extant,Native,Native,15,Philippines
39381,Extant,Native,Native,53,Pakistan
39381,Extant,Native,Native,146,Pitcairn
39381,Extant,Native,Native,116,Puerto Rico and Virgin Islands of the United States
39381,Extant,Native,Native,183,Portugal
39381,Extant,Native,Native,8,Palau
39381,Extant,Native,Native,190,Qatar
39381,Extant,Native,Native,32,Reunion
39381,Extant,Native,Native,50,Saudi Arabia
39381,Extant,Native,Native,7,Solomon Islands
39381,Extant,Native,Native,49,Sudan
39381,Extant,Native,Native,222,Sweden
39381,Extant,Native,Native,208,Singapore
39381,Extant,Native,Native,188,Slovenia
39381,Extant,Native,Native,96,Sierra Leone
39381,Extant,Native,Native,66,Senegal
39381,Extant,Native,Native,44,Somalia
39381,Extant,Native,Native,168,Suriname
39381,Extant,Native,Native,134,El Salvador
39381,Extant,Native,Native,220,Sint Maarten
39381,Extant,Native,Native,111,Turks and Caicos Islands
39381,Extant,Native,Native,98,Togo
39381,Extant,Native,Native,25,Thailand
39381,Extant,Native,Native,156,Tokelau
39381,Extant,Native,Native,61,Tunisia
39381,Extant,Native,Native,155,Tonga
39381,Extant,Native,Native,76,Turkey
39381,Extant,Native,Native,19,Tuvalu
