comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,cat_code,cat_txt,cat_score,year,cat_2016_score
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1966,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1967,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1968,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1969,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1970,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1971,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1972,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1973,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1974,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1975,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1976,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1977,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1978,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1979,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1980,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1981,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1982,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1983,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1984,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1985,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,EN,Endangered,0.6,1986,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,EN,Endangered,0.6,1987,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,EN,Endangered,0.6,1988,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,EN,Endangered,0.6,1989,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1990,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1991,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1992,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1993,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1994,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1995,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,1997,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,1998,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,1999,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2e3,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2001,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2002,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2003,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2004,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2005,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2006,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2007,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0,2008,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0,2009,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0,2010,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0,2011,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0,2013,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0,2014,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0,2015,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0,2016,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1965,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1966,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1967,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1968,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1969,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1970,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1971,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1972,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1973,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1974,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1975,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1976,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1977,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1978,0.4
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU,CD,Lower Risk/conservation dependent,0.3,1979,0.4
