comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_code
Blue Shark,Prionace glauca,TRUE,NA,39381,NA,NT
Whale Shark,Rhincodon typus,TRUE,NA,19488,NA,EN
Shortfin Mako,Isurus oxyrinchus,TRUE,NA,39341,NA,VU
Shortfin Mako,Isurus oxyrinchus,TRUE,NA,161749,NA,VU
Shortfin Mako,Isurus oxyrinchus,TRUE,NA,161750,NA,VU
Shortfin Mako,Isurus oxyrinchus,TRUE,NA,161751,NA,NT
Olive Ridley Turtle,Lepidochelys olivacea,TRUE,NA,11534,NA,VU
Irrawaddy Dolphin,Orcaella brevirostris,TRUE,NA,15419,NA,VU
Irrawaddy Dolphin,Orcaella brevirostris,TRUE,NA,39428,Mahakam River,CR
Irrawaddy Dolphin,Orcaella brevirostris,TRUE,NA,44187,Malampaya Sound,CR
Irrawaddy Dolphin,Orcaella brevirostris,TRUE,NA,44555,Mekong River,CR
Irrawaddy Dolphin,Orcaella brevirostris,TRUE,NA,44556,Ayeyarwady River,CR
Irrawaddy Dolphin,Orcaella brevirostris,TRUE,NA,44557,Songkhla Lake,CR
"Humphead wrasse, Napoleon Wrasse",Cheilinus undulatus,TRUE,NA,4592,NA,EN
Great White Shark,Carcharodon carcharias,TRUE,NA,3855,NA,VU
Basking Shark,Cetorhinus maximus,TRUE,NA,4292,NA,VU
Basking Shark,Cetorhinus maximus,TRUE,NA,39340,NA,EN
Basking Shark,Cetorhinus maximus,TRUE,NA,39545,NA,EN
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN
Green Turtle,Chelonia mydas,TRUE,NA,4615,NA,EN
Green Turtle,Chelonia mydas,TRUE,NA,16285718,Chelonia mydas Hawaiian,LC
Tiger Shark,Galeocerdo cuvier,TRUE,NA,39378,NA,NT
Humpback Whale,Megaptera novaeangliae,TRUE,NA,13006,NA,LC
Humpback Whale,Megaptera novaeangliae,TRUE,NA,132832,NA,EN
Humpback Whale,Megaptera novaeangliae,TRUE,NA,132835,NA,EN
Thresher Shark,Alopias vulpinus,TRUE,NA,39339,NA,VU
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,EN
Fin whale,Balaenoptera physalus,TRUE,NA,16208224,NA,VU
Porbeagle,Lamna nasus,TRUE,NA,11200,NA,VU
Porbeagle,Lamna nasus,TRUE,NA,39343,NA,CR
Porbeagle,Lamna nasus,TRUE,NA,39344,NA,EN
Porbeagle,Lamna nasus,TRUE,NA,61420,NA,CR
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea,VU
Bowhead whale,Balaena mysticetus,TRUE,NA,2469,Okhotsk Sea,EN
Bowhead whale,Balaena mysticetus,TRUE,NA,2472,Svalbard-Barents Sea (Spitsbergen),CR
North Atlantic Right Whale,Eubalaena glacialis,TRUE,NA,41712,NA,EN
Polar bear,Ursus maritimus,TRUE,NA,22823,NA,VU
Gray Whale,Eschrichtius robustus,TRUE,NA,8097,NA,LC
Gray Whale,Eschrichtius robustus,TRUE,NA,8099,Western,CR
North Pacific Right Whale,Eubalaena japonica,TRUE,NA,41711,NA,EN
North Pacific Right Whale,Eubalaena japonica,TRUE,NA,133706,NA,CR
Gray reef shark,Carcharhinus amblyrhynchos,TRUE,NA,39365,NA,NT
Loggerhead Turtle,Caretta caretta,TRUE,NA,3897,NA,VU
Loggerhead Turtle,Caretta caretta,TRUE,NA,83644804,Mediterranean,LC
Loggerhead Turtle,Caretta caretta,TRUE,NA,83652278,Pacific North,LC
Loggerhead Turtle,Caretta caretta,TRUE,NA,83776383,Atlantic Notheast,EN
Loggerhead Turtle,Caretta caretta,TRUE,NA,84126444,Indian Northeast,CR
Loggerhead Turtle,Caretta caretta,TRUE,NA,84127873,Indian Northwest,CR
Loggerhead Turtle,Caretta caretta,TRUE,NA,84131194,Atlantic Northwest,LC
Loggerhead Turtle,Caretta caretta,TRUE,NA,84156809,Pacific South,CR
Loggerhead Turtle,Caretta caretta,TRUE,NA,84189617,Indian Southeast,NT
Loggerhead Turtle,Caretta caretta,TRUE,NA,84191235,Atlantic Southwest,LC
Loggerhead Turtle,Caretta caretta,TRUE,NA,84199475,Indian Southwest,NT
