iucn_sid,risk_trend,year,cat_ts,cat_ts_score,assess_year
222,0.0,2011.0,VU,0.4,2012
224,0.0388,2011.0,CR,0.8,2012
225,0.0194,2011.0,CR,0.8,2012
229,0.0194,2011.0,CR,0.8,2012
230,0.0,2011.0,CR,0.8,2012
232,0.0194,2011.0,CR,0.8,2012
233,-0.0291,2011.0,NT,0.2,2012
234,-0.0194,2011.0,LC,0.0,2012
236,0.0194,2011.0,CR,0.8,2012
241,0.0194,2011.0,CR,0.8,2012
245,0.0,2011.0,NT,0.2,2012
697,0.0,2011.0,LC,0.0,2012
903,0.0,2011.0,LC,0.0,2012
904,0.0,2011.0,LC,0.0,2012
907,0.0,2011.0,VU,0.4,2012
1086,0.0,2011.0,VU,0.4,2012
1308,0.0,2011.0,EN,0.6,2012
1615,0.0,2011.0,VU,0.4,2012
1793,0.0,2011.0,LC,0.0,2012
1847,0.0,2011.0,LC,0.0,2012
2055,0.0,2011.0,LC,0.0,2012
2057,0.0291,2011.0,EN,0.6,2012
2058,0.0,2011.0,LC,0.0,2012
2059,-0.0291,2011.0,NT,0.2,2012
2060,0.0,2011.0,LC,0.0,2012
2061,-0.0291,2011.0,NT,0.2,2012
2062,0.0,2011.0,LC,0.0,2012
2352,0.0,2011.0,LC,0.0,2012
2467,-0.0582,2011.0,LC,0.0,2012
2468,0.0,2011.0,VU,0.4,2012
2469,0.0,2011.0,EN,0.6,2012
2472,0.0,2011.0,CR,0.8,2012
2474,-0.0291,2011.0,LC,0.0,2012
2475,0.0,2011.0,EN,0.6,2012
2477,0.0,2011.0,EN,0.6,2012
2478,0.0,2011.0,EN,0.6,2012
2480,0.0,2011.0,VU,0.4,2012
2539,0.0,2011.0,VU,0.4,2012
2762,0.0,2011.0,VU,0.4,2012
2763,0.0,2011.0,VU,0.4,2012
2811,0.0,2011.0,EN,0.6,2012
2958,0.0,2011.0,CR,0.8,2012
3012,-0.0582,2011.0,LC,0.0,2012
3381,-0.0194,2011.0,LC,0.0,2012
3565,0.0,2011.0,CR,0.8,2012
3590,0.0,2011.0,VU,0.4,2012
3755,0.0,2011.0,LC,0.0,2012
3764,0.0,2011.0,VU,0.4,2012
3778,0.0,2011.0,LC,0.0,2012
3851,0.0,2011.0,NT,0.2,2012
3852,0.0255,2011.0,VU,0.4,2012
3853,0.0255,2011.0,VU,0.4,2012
3854,0.0,2011.0,VU,0.4,2012
3855,0.0,2011.0,VU,0.4,2012
3897,0.0,2011.0,EN,0.6,2012
4131,-0.0388,2011.0,LC,0.0,2012
4160,0.0,2011.0,NT,0.2,2012
4162,0.0,2011.0,EN,0.6,2012
4292,0.0,2011.0,VU,0.4,2012
4360,-0.0388,2011.0,LC,0.0,2012
4361,-0.0388,2011.0,LC,0.0,2012
4362,-0.0388,2011.0,LC,0.0,2012
4363,0.0,2011.0,VU,0.4,2012
4364,-0.0388,2011.0,LC,0.0,2012
4592,0.0194,2011.0,EN,0.6,2012
4615,0.0,2011.0,EN,0.6,2012
4805,0.0,2011.0,VU,0.4,2012
4987,0.0,2011.0,LC,0.0,2012
5269,0.0,2011.0,VU,0.4,2012
5270,0.0,2011.0,VU,0.4,2012
5272,0.0,2011.0,VU,0.4,2012
5273,0.0,2011.0,VU,0.4,2012
5360,0.0,2011.0,LC,0.0,2012
5363,0.0,2011.0,LC,0.0,2012
5560,0.0291,2011.0,EN,0.6,2012
5659,0.0,2011.0,VU,0.4,2012
5660,0.0,2011.0,VU,0.4,2012
5667,0.0,2011.0,VU,0.4,2012
5668,0.0,2011.0,LC,0.0,2012
5675,-0.0303,2011.0,LC,0.0,2012
5796,0.0873,2011.0,EN,0.6,2012
5819,0.0291,2011.0,NT,0.2,2012
5828,0.0,2011.0,LC,0.0,2012
6204,0.0582,2011.0,VU,0.4,2012
6229,-0.0255,2011.0,NT,0.2,2012
6335,-0.0291,2011.0,NT,0.2,2012
6336,0.0,2011.0,LC,0.0,2012
6337,0.0,2011.0,LC,0.0,2012
6494,0.0,2011.0,CR,0.8,2012
6909,0.0,2011.0,VU,0.4,2012
7011,0.0,2011.0,NT,0.2,2012
7121,0.0291,2011.0,EX,1.0,2012
7135,-0.0194,2011.0,LC,0.0,2012
7750,0.0,2011.0,EN,0.6,2012
7778,0.0,2011.0,LC,0.0,2012
7821,-0.0194,2011.0,LC,0.0,2012
7854,0.0,2011.0,CR,0.8,2012
7858,0.0,2011.0,VU,0.4,2012
7859,0.0388,2011.0,EN,0.6,2012
7860,0.0,2011.0,CR,0.8,2012
7861,0.0,2011.0,VU,0.4,2012
7862,0.0,2011.0,EN,0.6,2012
8005,0.0,2011.0,CR,0.8,2012
8010,0.0,2011.0,LC,0.0,2012
8097,-0.0582,2011.0,LC,0.0,2012
8099,0.0,2011.0,CR,0.8,2012
8153,-0.0582,2011.0,LC,0.0,2012
8239,0.0,2011.0,EN,0.6,2012
8408,0.0,2011.0,LC,0.0,2012
8784,0.0,2011.0,VU,0.4,2012
8951,0.0,2011.0,LC,0.0,2012
8970,0.0,2011.0,VU,0.4,2012
9104,0.0,2011.0,LC,0.0,2012
9105,0.0,2011.0,LC,0.0,2012
9128,0.0679,2011.0,EN,0.6,2012
9129,-0.0291,2011.0,VU,0.4,2012
9138,0.0,2011.0,CR,0.8,2012
9140,0.0,2011.0,LC,0.0,2012
9153,-0.0194,2011.0,LC,0.0,2012
9249,0.0,2011.0,VU,0.4,2012
9250,0.0,2011.0,LC,0.0,2012
9266,0.0,2011.0,NT,0.2,2012
9281,0.0,2011.0,CR,0.8,2012
9461,0.0,2011.0,LC,0.0,2012
9660,0.0,2011.0,LC,0.0,2012
10030,0.0,2011.0,NT,0.2,2012
10057,0.0,2011.0,VU,0.4,2012
10064,0.0,2011.0,VU,0.4,2012
10065,0.0,2011.0,VU,0.4,2012
10066,0.0,2011.0,VU,0.4,2012
10069,0.0,2011.0,VU,0.4,2012
10070,0.0,2011.0,VU,0.4,2012
10072,0.0,2011.0,VU,0.4,2012
10074,0.0,2011.0,VU,0.4,2012
10075,0.0,2011.0,VU,0.4,2012
10082,0.0,2011.0,VU,0.4,2012
10083,-0.0388,2011.0,LC,0.0,2012
10084,0.0,2011.0,VU,0.4,2012
