iucn_sid,year,cat_code,cat_txt,sciname,cat_score
161751,2009,NT,Near Threatened,Isurus oxyrinchus,0.2
183775,2010,LC,Least Concern,Engraulis ringens,0
194300,2011,CR,Critically Endangered,Tursiops truncatus,0.8
16208224,2012,VU,Vulnerable,Balaenoptera physalus,0.4
16285718,2012,LC,Least Concern,Chelonia mydas,0
16369383,2012,VU,Vulnerable,Tursiops truncatus,0.4
16370739,2012,EN,Endangered,Physeter macrocephalus,0.6
16674437,2012,VU,Vulnerable,Stenella coeruleoalba,0.4
46967807,2013,CR,Critically Endangered,Dermochelys coriacea,0.8
46967817,2013,CR,Critically Endangered,Dermochelys coriacea,0.8
46967827,2013,LC,Least Concern,Dermochelys coriacea,0
46967838,2013,CR,Critically Endangered,Dermochelys coriacea,0.8
46967863,2013,CR,Critically Endangered,Dermochelys coriacea,0.8
74491261,2016,LC,Least Concern,Halichoerus grypus,0
83644804,2015,LC,Least Concern,Caretta caretta,0
83652278,2015,LC,Least Concern,Caretta caretta,0
83776383,2015,EN,Endangered,Caretta caretta,0.6
84126444,2015,CR,Critically Endangered,Caretta caretta,0.8
84127873,2015,CR,Critically Endangered,Caretta caretta,0.8
84131194,2015,LC,Least Concern,Caretta caretta,0
84156809,2015,CR,Critically Endangered,Caretta caretta,0.8
84189617,2015,NT,Near Threatened,Caretta caretta,0.2
84191235,2015,LC,Least Concern,Caretta caretta,0
84199475,2015,NT,Near Threatened,Caretta caretta,0.2
