"Taxonid","FAO_rgn","ohi_rgn","year","bbmsy"
501940,34,62,2005,0.395
501940,34,62,2006,0.637
501940,34,62,2007,0.851
501940,34,62,2008,1.02
501940,34,62,2009,0.781
501940,34,62,2010,0.55
501940,34,64,2005,0.395
501940,34,64,2006,0.637
501940,34,64,2007,0.851
501940,34,64,2008,1.02
501940,34,64,2009,0.781
501940,34,64,2010,0.55
501940,34,66,2005,0.395
501940,34,66,2006,0.637
501940,34,66,2007,0.851
501940,34,66,2008,1.02
501940,34,66,2009,0.781
501940,34,66,2010,0.55
600004,87,138,2005,1.12
600004,87,138,2006,1.5
600004,87,138,2007,1.56
600004,87,138,2008,0.991
600004,87,138,2009,1.36
600004,87,138,2010,1.47
600017,31,163,2005,0.662
600017,31,163,2006,0.762
600017,31,163,2007,0.834
600017,31,163,2008,0.848
600017,31,163,2009,0.814
600017,31,163,2010,0.749
600024,27,69,2005,1.12
600024,27,69,2006,1.4
600024,27,69,2007,1.31
600024,27,69,2008,1.42
600024,27,69,2009,1.28
600024,27,69,2010,1.26
600024,27,70,2005,1.12
600024,27,70,2006,1.4
600024,27,70,2007,1.31
600024,27,70,2008,1.42
600024,27,70,2009,1.28
600024,27,70,2010,1.26
600024,27,174,2005,2.91
600024,27,174,2006,2.76
600024,27,174,2007,2.78
600024,27,174,2008,2.83
600024,27,174,2009,3.63
600024,27,174,2010,3.78
600024,27,175,2005,2.53
600024,27,175,2006,2.67
600024,27,175,2007,1.99
600024,27,175,2008,1.78
600024,27,175,2009,1.62
600024,27,175,2010,1.49
600024,27,222,2005,2.85663566414914
600024,27,222,2006,2.74736107835111
600024,27,222,2007,2.66905835441532
600024,27,222,2008,2.68254591409632
600024,27,222,2009,3.34773074984152
600024,27,222,2010,3.4584096602672
600024,27,223,2005,2.53
600024,27,223,2006,2.67
600024,27,223,2007,1.99
600024,27,223,2008,1.78
600024,27,223,2009,1.62
600024,27,223,2010,1.49
600026,21,163,2005,0.562
600026,21,163,2006,0.519
600026,21,163,2007,0.422
600026,21,163,2008,0.4
600026,21,163,2009,0.323
600026,21,163,2010,0.3
600051,21,218,2005,0.649
600051,21,218,2006,0.458
600051,21,218,2007,0.583
600051,21,218,2008,0.542
600051,21,218,2009,0.537
600051,21,218,2010,0.655
600066,37,184,2005,0.769
600066,37,184,2006,0.694
600066,37,184,2007,0.627
600066,37,184,2008,0.678
600066,37,184,2009,0.859
600066,37,184,2010,0.669
600069,21,163,2005,0.0895
600069,21,163,2006,0.1089
600069,21,163,2007,0.1249
600069,21,163,2008,0.14395
600069,21,163,2009,0.148
600069,21,163,2010,0.15
600069,21,218,2005,0.0172
600069,21,218,2006,0.0494
600069,21,218,2007,0.0896
600069,21,218,2008,0.053
600069,21,218,2009,0.0626
600069,21,218,2010,0.0663
600069,27,180,2005,0.137
600069,27,180,2006,0.141
600069,27,180,2007,0.124
600069,27,180,2008,0.159
600069,27,180,2009,0.176
600069,27,180,2010,0.169
600078,21,163,2005,0.84
600078,21,163,2006,0.71
600078,21,163,2007,0.65
600078,21,163,2008,0.59
600078,21,163,2009,0.54
600078,21,163,2010,0.28
600078,21,218,2005,0.84
600078,21,218,2006,0.71
600078,21,218,2007,0.65
600078,21,218,2008,0.59
600078,21,218,2009,0.54
600078,21,218,2010,0.28
600078,27,57,2005,0.45
600078,27,57,2006,0.44
600078,27,57,2007,0.39
600078,27,57,2008,0.36
600078,27,57,2009,0.33
600078,27,57,2010,0.26
600078,27,60,2005,0.45
600078,27,60,2006,0.44
600078,27,60,2007,0.39
600078,27,60,2008,0.36
600078,27,60,2009,0.33
600078,27,60,2010,0.26
600078,27,180,2005,0.45
600078,27,180,2006,0.44
600078,27,180,2007,0.39
600078,27,180,2008,0.36
600078,27,180,2009,0.33
600078,27,180,2010,0.26
600078,27,182,2005,0.45
600078,27,182,2006,0.44
600078,27,182,2007,0.39
600078,27,182,2008,0.36
600078,27,182,2009,0.33
600078,27,182,2010,0.26
600078,27,183,2005,0.45
600078,27,183,2006,0.44
600078,27,183,2007,0.39
600078,27,183,2008,0.36
600078,27,183,2009,0.33
600078,27,183,2010,0.26
600078,31,108,2005,0.84
600078,31,108,2006,0.71
600078,31,108,2007,0.65
600078,31,108,2008,0.59
600078,31,108,2009,0.54
600078,31,108,2010,0.28
600078,31,110,2005,0.84
600078,31,110,2006,0.71
600078,31,110,2007,0.65
600078,31,110,2008,0.59
600078,31,110,2009,0.54
600078,31,110,2010,0.28
600078,31,111,2005,0.84
600078,31,111,2006,0.71
600078,31,111,2007,0.65
600078,31,111,2008,0.59
600078,31,111,2009,0.54
600078,31,111,2010,0.28
600078,31,113,2005,0.84
600078,31,113,2006,0.71
600078,31,113,2007,0.65
600078,31,113,2008,0.59
600078,31,113,2009,0.54
600078,31,113,2010,0.28
600078,31,114,2005,0.84
600078,31,114,2006,0.71
600078,31,114,2007,0.65
600078,31,114,2008,0.59
600078,31,114,2009,0.54
600078,31,114,2010,0.28
600078,31,115,2005,0.84
600078,31,115,2006,0.71
600078,31,115,2007,0.65
600078,31,115,2008,0.59
600078,31,115,2009,0.54
600078,31,115,2010,0.28
600078,31,116,2005,0.84
600078,31,116,2006,0.71
600078,31,116,2007,0.65
600078,31,116,2008,0.59
600078,31,116,2009,0.54
600078,31,116,2010,0.28
600078,31,117,2005,0.84
600078,31,117,2006,0.71
600078,31,117,2007,0.65
600078,31,117,2008,0.59
600078,31,117,2009,0.54
600078,31,117,2010,0.28
600078,31,118,2005,0.84
600078,31,118,2006,0.71
600078,31,118,2007,0.65
600078,31,118,2008,0.59
600078,31,118,2009,0.54
600078,31,118,2010,0.28
600078,31,119,2005,0.84
600078,31,119,2006,0.71
600078,31,119,2007,0.65
600078,31,119,2008,0.59
600078,31,119,2009,0.54
600078,31,119,2010,0.28
600078,31,120,2005,0.84
600078,31,120,2006,0.71
600078,31,120,2007,0.65
600078,31,120,2008,0.59
600078,31,120,2009,0.54
600078,31,120,2010,0.28
600078,31,121,2005,0.84
600078,31,121,2006,0.71
600078,31,121,2007,0.65
600078,31,121,2008,0.59
600078,31,121,2009,0.54
600078,31,121,2010,0.28
600078,31,122,2005,0.84
600078,31,122,2006,0.71
600078,31,122,2007,0.65
600078,31,122,2008,0.59
600078,31,122,2009,0.54
600078,31,122,2010,0.28
600078,31,123,2005,0.84
600078,31,123,2006,0.71
600078,31,123,2007,0.65
600078,31,123,2008,0.59
600078,31,123,2009,0.54
600078,31,123,2010,0.28
600078,31,124,2005,0.84
600078,31,124,2006,0.71
600078,31,124,2007,0.65
600078,31,124,2008,0.59
600078,31,124,2009,0.54
600078,31,124,2010,0.28
600078,31,125,2005,0.84
600078,31,125,2006,0.71
600078,31,125,2007,0.65
600078,31,125,2008,0.59
600078,31,125,2009,0.54
600078,31,125,2010,0.28
600078,31,126,2005,0.84
600078,31,126,2006,0.71
600078,31,126,2007,0.65
600078,31,126,2008,0.59
600078,31,126,2009,0.54
600078,31,126,2010,0.28
600078,31,127,2005,0.84
600078,31,127,2006,0.71
600078,31,127,2007,0.65
600078,31,127,2008,0.59
600078,31,127,2009,0.54
600078,31,127,2010,0.28
600078,31,132,2005,0.84
600078,31,132,2006,0.71
600078,31,132,2007,0.65
600078,31,132,2008,0.59
600078,31,132,2009,0.54
600078,31,132,2010,0.28
600078,31,133,2005,0.84
600078,31,133,2006,0.71
600078,31,133,2007,0.65
600078,31,133,2008,0.59
600078,31,133,2009,0.54
600078,31,133,2010,0.28
600078,31,135,2005,0.84
600078,31,135,2006,0.71
600078,31,135,2007,0.65
600078,31,135,2008,0.59
600078,31,135,2009,0.54
600078,31,135,2010,0.28
600078,31,136,2005,0.84
600078,31,136,2006,0.71
600078,31,136,2007,0.65
600078,31,136,2008,0.59
600078,31,136,2009,0.54
600078,31,136,2010,0.28
600078,31,139,2005,0.84
600078,31,139,2006,0.71
600078,31,139,2007,0.65
600078,31,139,2008,0.59
600078,31,139,2009,0.54
600078,31,139,2010,0.28
600078,31,140,2005,0.84
600078,31,140,2006,0.71
600078,31,140,2007,0.65
600078,31,140,2008,0.59
600078,31,140,2009,0.54
600078,31,140,2010,0.28
600078,31,163,2005,0.84
600078,31,163,2006,0.71
600078,31,163,2007,0.65
600078,31,163,2008,0.59
600078,31,163,2009,0.54
600078,31,163,2010,0.28
600078,31,164,2005,0.84
600078,31,164,2006,0.71
600078,31,164,2007,0.65
600078,31,164,2008,0.59
600078,31,164,2009,0.54
600078,31,164,2010,0.28
600078,31,166,2005,0.84
600078,31,166,2006,0.71
600078,31,166,2007,0.65
600078,31,166,2008,0.59
600078,31,166,2009,0.54
600078,31,166,2010,0.28
600078,31,167,2005,0.84
600078,31,167,2006,0.71
600078,31,167,2007,0.65
600078,31,167,2008,0.59
600078,31,167,2009,0.54
600078,31,167,2010,0.28
600078,31,168,2005,0.84
600078,31,168,2006,0.71
600078,31,168,2007,0.65
600078,31,168,2008,0.59
600078,31,168,2009,0.54
600078,31,168,2010,0.28
600078,31,169,2005,0.84
600078,31,169,2006,0.71
600078,31,169,2007,0.65
600078,31,169,2008,0.59
600078,31,169,2009,0.54
600078,31,169,2010,0.28
600078,31,171,2005,0.84
600078,31,171,2006,0.71
600078,31,171,2007,0.65
600078,31,171,2008,0.59
600078,31,171,2009,0.54
600078,31,171,2010,0.28
600078,31,179,2005,0.84
600078,31,179,2006,0.71
600078,31,179,2007,0.65
600078,31,179,2008,0.59
600078,31,179,2009,0.54
600078,31,179,2010,0.28
600078,31,220,2005,0.84
600078,31,220,2006,0.71
600078,31,220,2007,0.65
600078,31,220,2008,0.59
600078,31,220,2009,0.54
600078,31,220,2010,0.28
600078,31,221,2005,0.84
600078,31,221,2006,0.71
600078,31,221,2007,0.65
600078,31,221,2008,0.59
600078,31,221,2009,0.54
600078,31,221,2010,0.28
600078,31,244,2005,0.84
600078,31,244,2006,0.71
600078,31,244,2007,0.65
600078,31,244,2008,0.59
600078,31,244,2009,0.54
600078,31,244,2010,0.28
600078,31,245,2005,0.84
600078,31,245,2006,0.71
600078,31,245,2007,0.65
600078,31,245,2008,0.59
600078,31,245,2009,0.54
600078,31,245,2010,0.28
600078,31,248,2005,0.84
600078,31,248,2006,0.71
600078,31,248,2007,0.65
600078,31,248,2008,0.59
600078,31,248,2009,0.54
600078,31,248,2010,0.28
600078,31,249,2005,0.84
600078,31,249,2006,0.71
600078,31,249,2007,0.65
600078,31,249,2008,0.59
600078,31,249,2009,0.54
600078,31,249,2010,0.28
600078,31,250,2005,0.84
600078,31,250,2006,0.71
600078,31,250,2007,0.65
600078,31,250,2008,0.59
600078,31,250,2009,0.54
600078,31,250,2010,0.28
600078,34,56,2005,0.45
600078,34,56,2006,0.44
600078,34,56,2007,0.39
600078,34,56,2008,0.36
600078,34,56,2009,0.33
600078,34,56,2010,0.26
600078,34,57,2005,0.45
600078,34,57,2006,0.44
600078,34,57,2007,0.39
600078,34,57,2008,0.36
600078,34,57,2009,0.33
600078,34,57,2010,0.26
600078,34,58,2005,0.45
600078,34,58,2006,0.44
600078,34,58,2007,0.39
600078,34,58,2008,0.36
600078,34,58,2009,0.33
600078,34,58,2010,0.26
600078,34,60,2005,0.45
600078,34,60,2006,0.44
600078,34,60,2007,0.39
600078,34,60,2008,0.36
600078,34,60,2009,0.33
600078,34,60,2010,0.26
600078,34,62,2005,0.45
600078,34,62,2006,0.44
600078,34,62,2007,0.39
600078,34,62,2008,0.36
600078,34,62,2009,0.33
600078,34,62,2010,0.26
600078,34,64,2005,0.45
600078,34,64,2006,0.44
600078,34,64,2007,0.39
600078,34,64,2008,0.36
600078,34,64,2009,0.33
600078,34,64,2010,0.26
600078,34,65,2005,0.45
600078,34,65,2006,0.44
600078,34,65,2007,0.39
600078,34,65,2008,0.36
600078,34,65,2009,0.33
600078,34,65,2010,0.26
600078,34,66,2005,0.45
600078,34,66,2006,0.44
600078,34,66,2007,0.39
600078,34,66,2008,0.36
600078,34,66,2009,0.33
600078,34,66,2010,0.26
600078,34,96,2005,0.45
600078,34,96,2006,0.44
600078,34,96,2007,0.39
600078,34,96,2008,0.36
600078,34,96,2009,0.33
600078,34,96,2010,0.26
600078,34,97,2005,0.45
600078,34,97,2006,0.44
600078,34,97,2007,0.39
600078,34,97,2008,0.36
600078,34,97,2009,0.33
600078,34,97,2010,0.26
600078,34,98,2005,0.45
600078,34,98,2006,0.44
600078,34,98,2007,0.39
600078,34,98,2008,0.36
600078,34,98,2009,0.33
600078,34,98,2010,0.26
600078,34,99,2005,0.45
600078,34,99,2006,0.44
600078,34,99,2007,0.39
600078,34,99,2008,0.36
600078,34,99,2009,0.33
600078,34,99,2010,0.26
600078,34,100,2005,0.45
600078,34,100,2006,0.44
600078,34,100,2007,0.39
600078,34,100,2008,0.36
600078,34,100,2009,0.33
600078,34,100,2010,0.26
600078,34,103,2005,0.45
600078,34,103,2006,0.44
600078,34,103,2007,0.39
600078,34,103,2008,0.36
600078,34,103,2009,0.33
600078,34,103,2010,0.26
600078,34,104,2005,0.45
600078,34,104,2006,0.44
600078,34,104,2007,0.39
600078,34,104,2008,0.36
600078,34,104,2009,0.33
600078,34,104,2010,0.26
600078,34,106,2005,0.45
600078,34,106,2006,0.44
600078,34,106,2007,0.39
600078,34,106,2008,0.36
600078,34,106,2009,0.33
600078,34,106,2010,0.26
600078,34,182,2005,0.45
600078,34,182,2006,0.44
600078,34,182,2007,0.39
600078,34,182,2008,0.36
600078,34,182,2009,0.33
600078,34,182,2010,0.26
600078,34,183,2005,0.45
600078,34,183,2006,0.44
600078,34,183,2007,0.39
600078,34,183,2008,0.36
600078,34,183,2009,0.33
600078,34,183,2010,0.26
600078,34,193,2005,0.45
600078,34,193,2006,0.44
600078,34,193,2007,0.39
600078,34,193,2008,0.36
600078,34,193,2009,0.33
600078,34,193,2010,0.26
600078,34,194,2005,0.45
600078,34,194,2006,0.44
600078,34,194,2007,0.39
600078,34,194,2008,0.36
600078,34,194,2009,0.33
600078,34,194,2010,0.26
600078,34,195,2005,0.45
600078,34,195,2006,0.44
600078,34,195,2007,0.39
600078,34,195,2008,0.36
600078,34,195,2009,0.33
600078,34,195,2010,0.26
600078,34,196,2005,0.45
600078,34,196,2006,0.44
600078,34,196,2007,0.39
600078,34,196,2008,0.36
600078,34,196,2009,0.33
600078,34,196,2010,0.26
600078,34,197,2008,0.36
600078,34,197,2009,0.33
600078,34,197,2010,0.26
600078,34,198,2005,0.45
600078,34,198,2006,0.44
600078,34,198,2007,0.39
600078,34,198,2008,0.36
600078,34,198,2009,0.33
600078,34,198,2010,0.26
600078,34,199,2005,0.45
600078,34,199,2006,0.44
600078,34,199,2007,0.39
600078,34,199,2008,0.36
600078,34,199,2009,0.33
600078,34,199,2010,0.26
600078,34,200,2005,0.45
600078,34,200,2006,0.44
600078,34,200,2007,0.39
600078,34,200,2008,0.36
600078,34,200,2009,0.33
600078,34,200,2010,0.26
600078,37,60,2005,0.45
600078,37,60,2006,0.44
600078,37,60,2007,0.39
600078,37,60,2008,0.36
600078,37,60,2009,0.33
600078,37,60,2010,0.26
600078,37,62,2005,0.45
600078,37,62,2006,0.44
600078,37,62,2007,0.39
600078,37,62,2008,0.36
600078,37,62,2009,0.33
600078,37,62,2010,0.26
600078,37,63,2005,0.45
600078,37,63,2006,0.44
600078,37,63,2007,0.39
600078,37,63,2008,0.36
600078,37,63,2009,0.33
600078,37,63,2010,0.26
600078,37,80,2010,0.26
600078,37,82,2010,0.26
600078,37,84,2005,0.45
600078,37,84,2006,0.44
600078,37,84,2007,0.39
600078,37,84,2008,0.36
600078,37,84,2009,0.33
600078,37,84,2010,0.26
600078,37,182,2005,0.45
600078,37,182,2006,0.44
600078,37,182,2007,0.39
600078,37,182,2008,0.36
600078,37,182,2009,0.33
600078,37,182,2010,0.26
600078,37,184,2005,0.45
600078,37,184,2006,0.44
600078,37,184,2007,0.39
600078,37,184,2008,0.36
600078,37,184,2009,0.33
600078,37,184,2010,0.26
600078,37,186,2010,0.26
600078,37,187,2010,0.26
600078,37,232,2010,0.26
600078,41,171,2005,0.84
600078,41,171,2006,0.71
600078,41,171,2007,0.65
600078,41,171,2008,0.59
600078,41,171,2009,0.54
600078,41,171,2010,0.28
600078,41,173,2005,0.84
600078,41,173,2006,0.71
600078,41,173,2007,0.65
600078,41,173,2008,0.59
600078,41,173,2009,0.54
600078,41,173,2010,0.28
600078,47,100,2005,0.45
600078,47,100,2006,0.44
600078,47,100,2007,0.39
600078,47,100,2008,0.36
600078,47,100,2009,0.33
600078,47,100,2010,0.26
600078,47,101,2005,0.45
600078,47,101,2006,0.44
600078,47,101,2007,0.39
600078,47,101,2008,0.36
600078,47,101,2009,0.33
600078,47,101,2010,0.26
600078,47,102,2005,0.45
600078,47,102,2006,0.44
600078,47,102,2007,0.39
600078,47,102,2008,0.36
600078,47,102,2009,0.33
600078,47,102,2010,0.26
600078,47,198,2005,0.45
600078,47,198,2006,0.44
600078,47,198,2007,0.39
600078,47,198,2008,0.36
600078,47,198,2009,0.33
600078,47,198,2010,0.26
600078,47,199,2005,0.45
600078,47,199,2006,0.44
600078,47,199,2007,0.39
