ord_id,Site Visited (IAATO list),Latitude,Longitude
1,Adelaide Anchorage,67¡46'S,68¡58'W
2,Admiralty Bay,62¡10'S,58¡48'W
3,Admiralty Sound,64¡12's,56¡64'w
4,Aitcho - Barrientos Island,62¡24'S,59¡47'W
5,Aitcho - Other,62¡24'S,59¡47'W
6,Alcock Island,64¡14'S,61¡08'W
7,Almirante Brown,64¡54'S,62¡52'W
8,Alvaro Cove,64¡51'S,63¡01'W
9,Amanda Bay,69¡16'S,76¡50'E
10,Amphibolite Point,60¡42'S,045¡20'W
11,Andvord Bay,64¡52'S,62¡30'W
12,Antarctic Circle,66¡33'S,0
13,Antarctic Sound,63¡20's,56¡45'w
14,Arctowski Station,62¡15'S,58¡51'W
15,Ardley Island,62¡13'S,58¡56'W
16,Argentine Islands Other,65¡15's,64¡16'w
17,Argentine Islands/Wordie Hut,65¡15'S,64¡16'W
18,Armstrong Reefs,65¡53'S,066¡14'W
19,Arturo Prat Station,62¡29'S,59¡40'W
20,"Astrolabe Glacier Area, or Vicinity",66¡36'S,140¡44'E
21,Astrolabe Island,63¡17'S,58¡40'W
22,Atka Bay Rookery,70¡37'S,08¡03'W
23,Audrey Island,68*08'S,67*07'W
24,Auguste Island,64¡03`S,61¡37`W
25,Auster Rookery,67¡23'S,64¡02'E
26,B15A Iceberg,,
27,Baily Head,62¡58'S,60¡30'W
28,Bald Head,63¡38'S,057¡36'W
29,Balleny Islands,66¡56'S,163¡19'E
30,Barcroft Islands,66¡27'S,67¡10'W
31,Bartlett Bay,77¡08.61'S,157¡40'W
32,Bay of Whales,78¡40'S,164¡24'W
33,Beascochea Bay,65¡25'S,64¡08'W
34,Beer Island,66¡00'S,65¡41'W
35,Bellingshausen Sea,64¡46'S,53¡52'W
36,Bellingshausen Station,62¡12'S,58¡55'W
37,Beneden Head,64¡46`S,62¡42`W
38,Bennett Islands,66¡56'S,67¡40'W
39,Berthelot Islands,65¡20'S,64¡09'W
40,Bibby Point,63¼47'S,57¼55'W
41,Bismarck Strait,64*51'S,64*00'W
42,Blaiklock Island,67¡33'S,67¡04'W
43,Boat Harbour,66¼59'S,142¼31'E
44,Bob Island,64¡56`S,63¡26`W
45,Bongrain Point,67¡43'S,67¡48'W
