"ISO3166","WHENCE","SITE","YEAR","VALUE"
"AFG",,,,
"ALA",,,,
"ALB",,,,
"DZA",,,,
"ASM",,,,
"AND",,,,
"AGO",,,,
"AIA",,,,
"ATG",,,,
"ARG","OTHER","Argentina",2003,100
"ARM",,,,
"ABW",,,,
"AUS","OTHER","Australia",2010,5600000
"AUS","OTHER","Australia",1997,5100000
"AUS","WAYCOTT","Urangan",1998,91.48
"AUS","WAYCOTT","Urangan",1999,0
"AUS","WAYCOTT","Urangan",1999,0
"AUS","WAYCOTT","Urangan",2002,92.26
"AUS","WAYCOTT","Northern Great Sandy Strait",1998,1995
"AUS","WAYCOTT","Northern Great Sandy Strait",1999,913.3
"AUS","WAYCOTT","Northern Great Sandy Strait",1999,98.1
"AUS","WAYCOTT","Northern Great Sandy Strait",2002,3712
"AUS","WAYCOTT","Cockburn Sound East",1967,1750
"AUS","WAYCOTT","Cockburn Sound East",1972,310
"AUS","WAYCOTT","Cockburn Sound East",1981,14
"AUS","WAYCOTT","Cockburn Sound East",1994,23
"AUS","WAYCOTT","Cockburn Sound East",1999,13
"AUS","WAYCOTT","Cockburn Sound South",1967,634
"AUS","WAYCOTT","Cockburn Sound South",1972,528
"AUS","WAYCOTT","Cockburn Sound South",1981,283
"AUS","WAYCOTT","Cockburn Sound South",1994,291
"AUS","WAYCOTT","Cockburn Sound South",1999,292
"AUS","WAYCOTT","Cockburn Sound West",1967,545
"AUS","WAYCOTT","Cockburn Sound West",1972,504
"AUS","WAYCOTT","Cockburn Sound West",1981,443
"AUS","WAYCOTT","Cockburn Sound West",1994,372
"AUS","WAYCOTT","Cockburn Sound West",1999,356
"AUS","WAYCOTT","Success Bank East",1965,229.4
"AUS","WAYCOTT","Success Bank East",1972,340.9
"AUS","WAYCOTT","Success Bank East",1982,456.5
"AUS","WAYCOTT","Success Bank East",1995,482.7
"AUS","WAYCOTT","Success Bank Central",1965,53.4
"AUS","WAYCOTT","Success Bank Central",1972,121.9
"AUS","WAYCOTT","Success Bank Central",1982,138.8
"AUS","WAYCOTT","Success Bank Central",1995,94.6
"AUS","WAYCOTT","Success Bank West",1965,224.5
"AUS","WAYCOTT","Success Bank West",1972,297.7
"AUS","WAYCOTT","Success Bank West",1982,382.8
"AUS","WAYCOTT","Success Bank West",1995,458.6
"AUS","WAYCOTT","Parmelia Bank East",1965,487
"AUS","WAYCOTT","Parmelia Bank East",1972,491.5
"AUS","WAYCOTT","Parmelia Bank East",1982,289.2
"AUS","WAYCOTT","Parmelia Bank East",1995,324.1
"AUS","WAYCOTT","Parmelia Bank West",1965,248.1
"AUS","WAYCOTT","Parmelia Bank West",1972,285.2
