"fao_id","year","assessed","unassessed","propUnAssessed"
21,2011,196606.440865207,47217.581233069,19.3654344747202
27,2011,274330.691317603,24513.426493559,8.20274686117426
31,2011,51301.4217084,66185.355950902,56.3343018418905
34,2011,213900.738188875,66220.352114577,23.6399023161167
41,2011,444342.25551434,96271.847868064,17.8078683603942
47,2011,171102.957741696,24910.448617591,12.7085432982736
48,2011,187246.282409387,101.07794118,0.053952156566744
51,2011,363932.400247657,248666.380335349,40.5920462490465
57,2011,226461.9817524,533617.631331038,70.2054919176552
58,2011,4194.0072179,527.82821194,11.1784542215163
61,2011,544125.255854704,959439.659908324,63.8109901241895
67,2011,105201.431880345,18500.585396249,14.9557669337617
71,2011,934920.660744543,276700.721846585,22.837226696581
77,2011,539615.978162882,159482.63706226,22.8126094929968
81,2011,196327.856360889,118287.612207838,37.5975195199273
87,2011,1844604.5057108,86804.042816793,4.49433874997437
88,2011,1623.323151143,142.663767653,8.07841587808952
