iucn_sid,am_sid,sciname,pop_cat,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
60469175,Fis-50764,Abyssobrotula galatheae,LC,Unknown,am,258700,Antarctica,43,NA,858
60469175,Fis-50764,Abyssobrotula galatheae,LC,Unknown,am,258600,Antarctica,71,NA,1495
60469175,Fis-50764,Abyssobrotula galatheae,LC,Unknown,am,258510,Antarctica,209,NA,867
60469175,Fis-50764,Abyssobrotula galatheae,LC,Unknown,am,258520,Antarctica,44,NA,731
60469175,Fis-50764,Abyssobrotula galatheae,LC,Unknown,am,248600,Antarctica,82,NA,1184
60469175,Fis-50764,Abyssobrotula galatheae,LC,Unknown,am,258441,Antarctica,4,NA,868
60469175,Fis-50764,Abyssobrotula galatheae,LC,Unknown,am,258442,Antarctica,5,NA,963
60469175,Fis-50764,Abyssobrotula galatheae,LC,Unknown,am,248300,Antarctica,4,NA,842
60469175,Fis-50764,Abyssobrotula galatheae,LC,Unknown,am,258410,Antarctica,14,NA,1019
190341,Fis-131546,Acanthochaenus luetkenii,LC,Unknown,am,258700,Antarctica,38,NA,858
190341,Fis-131546,Acanthochaenus luetkenii,LC,Unknown,am,258600,Antarctica,41,NA,1495
190341,Fis-131546,Acanthochaenus luetkenii,LC,Unknown,am,258510,Antarctica,203,NA,867
190341,Fis-131546,Acanthochaenus luetkenii,LC,Unknown,am,258520,Antarctica,33,NA,731
190341,Fis-131546,Acanthochaenus luetkenii,LC,Unknown,am,248300,Antarctica,23,NA,842
190341,Fis-131546,Acanthochaenus luetkenii,LC,Unknown,am,248600,Antarctica,98,NA,1184
190341,Fis-131546,Acanthochaenus luetkenii,LC,Unknown,am,258442,Antarctica,2,NA,963
190341,Fis-131546,Acanthochaenus luetkenii,LC,Unknown,am,258410,Antarctica,5,NA,1019
NA,Fis-32200,Achiropsetta tricholepis,NA,NA,am,258600,Antarctica,7,NA,1495
NA,Fis-32200,Achiropsetta tricholepis,NA,NA,am,258510,Antarctica,1,NA,867
NA,Fis-32200,Achiropsetta tricholepis,NA,NA,am,248600,Antarctica,9,NA,1184
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258700,Antarctica,74,NA,858
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258600,Antarctica,176,NA,1495
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258510,Antarctica,282,NA,867
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258520,Antarctica,161,NA,731
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,248300,Antarctica,177,NA,842
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,248400,Antarctica,248,NA,472
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,248600,Antarctica,3869,NA,1184
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258441,Antarctica,624,NA,868
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258442,Antarctica,816,NA,963
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258432,Antarctica,437,NA,486
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258410,Antarctica,2827,NA,1019
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258431,Antarctica,323,NA,392
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,248200,Antarctica,462,NA,868
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,288100,Antarctica,1876,NA,784
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,288200,Antarctica,3833,NA,686
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,288300,Antarctica,1447,NA,745
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,248100,Antarctica,335,NA,909
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,258420,Antarctica,1017,NA,682
NA,Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,NA,am,248500,Antarctica,1446,NA,616
NA,Fis-50293,Agrostichthys parkeri,NA,NA,am,258700,Antarctica,15,NA,858
NA,Fis-50293,Agrostichthys parkeri,NA,NA,am,258600,Antarctica,32,NA,1495
NA,Fis-50293,Agrostichthys parkeri,NA,NA,am,258510,Antarctica,115,NA,867
154740,Fis-26397,Akarotaxis nudiceps,LC,Unknown,am,248100,Antarctica,27,NA,909
154740,Fis-26397,Akarotaxis nudiceps,LC,Unknown,am,248500,Antarctica,608,NA,616
154740,Fis-26397,Akarotaxis nudiceps,LC,Unknown,am,258420,Antarctica,143,NA,682
154740,Fis-26397,Akarotaxis nudiceps,LC,Unknown,am,258410,Antarctica,126,NA,1019
154740,Fis-26397,Akarotaxis nudiceps,LC,Unknown,am,288100,Antarctica,579,NA,784
154740,Fis-26397,Akarotaxis nudiceps,LC,Unknown,am,288300,Antarctica,199,NA,745
154740,Fis-26397,Akarotaxis nudiceps,LC,Unknown,am,248600,Antarctica,83,NA,1184
154740,Fis-26397,Akarotaxis nudiceps,LC,Unknown,am,288200,Antarctica,352,NA,686
190356,Fis-26565,Aldrovandia affinis,LC,Unknown,am,258600,Antarctica,21,NA,1495
190356,Fis-26565,Aldrovandia affinis,LC,Unknown,am,258510,Antarctica,30,NA,867
190356,Fis-26565,Aldrovandia affinis,LC,Unknown,am,258700,Antarctica,6,NA,858
190356,Fis-26565,Aldrovandia affinis,LC,Unknown,am,248300,Antarctica,14,NA,842
190356,Fis-26565,Aldrovandia affinis,LC,Unknown,am,248600,Antarctica,69,NA,1184
190356,Fis-26565,Aldrovandia affinis,LC,Unknown,am,258520,Antarctica,6,NA,731
190356,Fis-26565,Aldrovandia affinis,LC,Unknown,am,258442,Antarctica,1,NA,963
190356,Fis-26565,Aldrovandia affinis,LC,Unknown,am,258441,Antarctica,1,NA,868
190356,Fis-26565,Aldrovandia affinis,LC,Unknown,am,258410,Antarctica,5,NA,1019
195838,Fis-27254,Aldrovandia phalacra,LC,Unknown,am,258600,Antarctica,21,NA,1495
195838,Fis-27254,Aldrovandia phalacra,LC,Unknown,am,258510,Antarctica,20,NA,867
195838,Fis-27254,Aldrovandia phalacra,LC,Unknown,am,258700,Antarctica,4,NA,858
195838,Fis-27254,Aldrovandia phalacra,LC,Unknown,am,248300,Antarctica,6,NA,842
195838,Fis-27254,Aldrovandia phalacra,LC,Unknown,am,248600,Antarctica,51,NA,1184
195838,Fis-27254,Aldrovandia phalacra,LC,Unknown,am,258520,Antarctica,5,NA,731
195838,Fis-27254,Aldrovandia phalacra,LC,Unknown,am,258442,Antarctica,1,NA,963
195838,Fis-27254,Aldrovandia phalacra,LC,Unknown,am,258410,Antarctica,3,NA,1019
60469186,Fis-29601,Alepisaurus brevirostris,LC,Unknown,am,258700,Antarctica,74,NA,858
60469186,Fis-29601,Alepisaurus brevirostris,LC,Unknown,am,258600,Antarctica,168,NA,1495
60469186,Fis-29601,Alepisaurus brevirostris,LC,Unknown,am,258510,Antarctica,268,NA,867
60469186,Fis-29601,Alepisaurus brevirostris,LC,Unknown,am,258520,Antarctica,86,NA,731
60469186,Fis-29601,Alepisaurus brevirostris,LC,Unknown,am,248300,Antarctica,174,NA,842
