"rgn_id","rgn_name","area_km2","zone"
1,"Hainan",34020.5,"inland"
2,"Guangxi",236681,"inland"
3,"Guangdong",177618,"inland"
4,"Fujian",121865,"inland"
5,"Zhejiang",101886,"inland"
6,"Shanghai",6417.16,"inland"
7,"Jiangsu",100354,"inland"
8,"Shandong",155572,"inland"
9,"Tianjin",11704,"inland"
10,"Hebei",187628,"inland"
11,"Liaoning",146171,"inland"
1,"Hainan",1385.05,"inland1km"
2,"Guangxi",870.252,"inland1km"
3,"Guangdong",5311.64,"inland1km"
4,"Fujian",3580.73,"inland1km"
5,"Zhejiang",3281.99,"inland1km"
6,"Shanghai",600.026,"inland1km"
7,"Jiangsu",1401.1,"inland1km"
8,"Shandong",2363.7,"inland1km"
9,"Tianjin",101.353,"inland1km"
10,"Hebei",412.33,"inland1km"
11,"Liaoning",2192.95,"inland1km"
1,"Hainan",17760.7,"inland25km"
2,"Guangxi",8409.37,"inland25km"
3,"Guangdong",43802.3,"inland25km"
4,"Fujian",22465.7,"inland25km"
5,"Zhejiang",25817,"inland25km"
6,"Shanghai",4856.34,"inland25km"
7,"Jiangsu",25256.8,"inland25km"
8,"Shandong",28733.1,"inland25km"
9,"Tianjin",2484.59,"inland25km"
10,"Hebei",7504.99,"inland25km"
11,"Liaoning",22117.1,"inland25km"
1,"Hainan",156325,"offshore"
2,"Guangxi",17922.2,"offshore"
3,"Guangdong",154437,"offshore"
4,"Fujian",66096.5,"offshore"
5,"Zhejiang",153365,"offshore"
6,"Shanghai",42389.1,"offshore"
7,"Jiangsu",94313.1,"offshore"
8,"Shandong",113045,"offshore"
9,"Tianjin",1211.9,"offshore"
10,"Hebei",15443.6,"offshore"
11,"Liaoning",60644.2,"offshore"
1,"Hainan",140024,"offshore100nm"
2,"Guangxi",17922.2,"offshore100nm"
3,"Guangdong",138585,"offshore100nm"
4,"Fujian",66096.5,"offshore100nm"
5,"Zhejiang",113958,"offshore100nm"
6,"Shanghai",42389.1,"offshore100nm"
7,"Jiangsu",91300.9,"offshore100nm"
8,"Shandong",109692,"offshore100nm"
9,"Tianjin",1211.9,"offshore100nm"
10,"Hebei",15443.6,"offshore100nm"
11,"Liaoning",60644.2,"offshore100nm"
1,"Hainan",1417.91,"offshore1km"
2,"Guangxi",758.487,"offshore1km"
3,"Guangdong",5461.38,"offshore1km"
4,"Fujian",5148.64,"offshore1km"
5,"Zhejiang",5335.57,"offshore1km"
6,"Shanghai",1037.09,"offshore1km"
7,"Jiangsu",1301.6,"offshore1km"
8,"Shandong",2612.13,"offshore1km"
9,"Tianjin",90.953,"offshore1km"
10,"Hebei",433.372,"offshore1km"
11,"Liaoning",2413.36,"offshore1km"
1,"Hainan",6249.8,"offshore3nm"
2,"Guangxi",2461.01,"offshore3nm"
3,"Guangdong",18752.7,"offshore3nm"
4,"Fujian",14302,"offshore3nm"
5,"Zhejiang",17442.3,"offshore3nm"
6,"Shanghai",4735.99,"offshore3nm"
7,"Jiangsu",5147.82,"offshore3nm"
8,"Shandong",11370.5,"offshore3nm"
9,"Tianjin",444.939,"offshore3nm"
10,"Hebei",2149.64,"offshore3nm"
11,"Liaoning",9806.16,"offshore3nm"
