ISSCAAP,TAXOCODE,speciesIDpresent,3A_CODE,Scientific_name,English_name
25,1020100101,1,LAU,Petromyzon marinus,Sea lamprey
25,1020100201,1,LAR,Lampetra fluviatilis,River lamprey
25,1020100203,3,IDK,Lampetra aepyptera,Least brook lamprey
25,1020100204,4,IDL,Lampetra ayresii,Western American river lamprey
25,1020100205,5,IDN,Lampetra planeri,European brook lamprey
25,1020100206,6,IDO,Lampetra richardsoni,Western brook lamprey
25,1020100207,7,IKQ,Lampetra lanceolata,Turkish brook lamprey
25,1020100208,8,IKR,Lampetra pacifica,Pacific brook lamprey
25,1020100401,1,LAY,Ichthyomyzon unicuspis,Silver lamprey
25,1020100402,2,IDE,Ichthyomyzon bdellium,Ohio lamprey
25,1020100403,3,IDG,Ichthyomyzon castaneus,Chestnut lamprey
25,1020100404,4,IDH,Ichthyomyzon fossor,Northern brook lamprey
25,1020100405,5,IDI,Ichthyomyzon gagei,Southern brook lamprey
25,1020100406,6,IDJ,Ichthyomyzon greeleyi,Mountain brook lamprey
25,1020100501,1,LAF,Eudontomyzon mariae,Ukrainian brook lamprey
25,1020100502,2,ICJ,Eudontomyzon danfordi,Carpathian lamprey
25,1020100503,3,IKG,Eudontomyzon graecus,
25,1020100504,4,IKJ,Eudontomyzon hellenicus,Greek brook lamprey
25,1020100505,5,IKL,Eudontomyzon morii,Korean lamprey
25,1020100901,1,LAW,Caspiomyzon wagneri,Caspian lamprey
25,1020101101,1,LSZ,Lethenteron camtschaticum,Arctic lamprey
25,1020101102,2,IDQ,Lethenteron kessleri,Siberian lamprey
25,1020101103,3,IDT,Lethenteron ninae,Western Transcaucasian lamprey
25,1020101104,4,IDU,Lethenteron reissneri,Far Eastern brook lamprey
25,1020101105,5,IDV,Lethenteron zanandreai,Lombardy brook lamprey
25,1020101106,6,IKT,Lethenteron alaskense,Alaskan brook lamprey
25,1020101107,7,IKU,Lethenteron appendix,American brook lamprey
25,1020101202,2,LAO,Entosphenus tridentatus,Pacific lamprey
25,1020101203,3,IJX,Entosphenus folletti,Northern California lamprey
25,1020101204,4,IJY,Entosphenus hubbsi,Kern brook lamprey
25,1020101205,5,IJZ,Entosphenus lethophagus,Pit_Klamath brook lamprey
25,1020101206,6,IKD,Entosphenus macrostomus,Vancouver lamprey
25,1020101207,7,IKE,Entosphenus minimus,Miller Lake lamprey
25,1020101208,8,IKF,Entosphenus similis,Klamath lamprey
25,1020101301,1,IKV,Tetrapleurodon geminis,Jacona lamprey
25,1020101302,2,IKW,Tetrapleurodon spadiceus,Chapala lamprey
25,10201XXXXX,XX,LAS,Petromyzontidae,Lampreys nei
25,1020200101,1,ICE,Mordacia lapicida,Chilean lamprey
25,1020200102,2,ICF,Mordacia praecox,
25,1020200103,3,LAK,Mordacia mordax,Australian lamprey
25,1020300701,1,LAE,Geotria australis,Pouched lamprey
33,1030300201,1,MYP,Paramyxine atami,Brown hagfish
33,1030300301,1,MYG,Myxine glutinosa,Hagfish
33,1030300401,1,MYE,Nemamyxine elongata,
33,1030300601,1,MYB,Eptatretus burgeri,Inshore hagfish
33,1030300602,2,MYU,Eptatretus stoutii,Pacific hagfish
33,1030300603,3,MWC,Eptatretus cirrhatus,Broadgilled hagfish
33,10303XXXXX,XX,MYX,Myxinidae,Hagfishes nei
38,1040100101,1,HEF,Heterodontus francisci,Horn shark
38,1040100102,2,HEG,Heterodontus galeatus,Crested bullhead shark
38,1040100103,3,HEJ,Heterodontus japonicus,Japanese bullhead shark
38,1040100104,4,HEM,Heterodontus mexicanus,Mexican hornshark
38,1040100105,5,HEK,Heterodontus portusjacksoni,Port Jackson shark
38,1040100106,6,HEQ,Heterodontus quoyi,Galapagos bullhead shark
38,1040100107,7,HEA,Heterodontus ramalheira,Whitespotted bullhead shark
38,1040100108,8,HEZ,Heterodontus zebra,Zebra bullhead shark
38,104XXXXXXX,XX,HDQ,Heterodontiformes,Bullhead sharks
38,1050100101,1,HXC,Chlamydoselachus anguineus,Frilled shark
38,1050100102,2,HWR,Chlamydoselachus africana,African frilled shark
38,1050200201,1,SBL,Hexanchus griseus,Bluntnose sixgill shark
38,1050200202,2,HXN,Hexanchus nakamurai,Bigeyed sixgill shark
38,1050200301,1,HXT,Heptranchias perlo,Sharpnose sevengill shark
38,1050200502,2,NTC,Notorynchus cepedianus,Broadnose sevengill shark
38,105XXXXXXX,XX,HXW,Hexanchiformes,Frilled and cow sharks
38,1060100301,1,BSK,Cetorhinus maximus,Basking shark
38,1060200501,1,CCT,Carcharias taurus,Sand tiger shark
38,1060200502,2,LOU,Carcharias tricuspidatus,Indian sand tiger
38,1060200601,1,LOO,Odontaspis ferox,Smalltooth sand tiger
38,1060200602,2,ODH,Odontaspis noronhai,Bigeye sand tiger shark
38,1060301201,1,LMO,Mitsukurina owstoni,Goblin shark
38,1060403601,1,PSK,Pseudocarcharias kamoharai,Crocodile shark
38,1060500101,1,LMP,Megachasma pelagios,Megamouth shark
38,1060600601,1,ALV,Alopias vulpinus,Thresher
38,1060600602,2,PTH,Alopias pelagicus,Pelagic thresher
38,1060600603,3,BTH,Alopias superciliosus,Bigeye thresher
38,10606006XX,XX,THR,Alopias spp,Thresher sharks nei
38,1060800201,1,SMA,Isurus oxyrinchus,Shortfin mako
38,1060800203,3,LMA,Isurus paucus,Longfin mako
38,10608002XX,XX,MAK,Isurus spp,Mako sharks
38,1060800301,1,POR,Lamna nasus,Porbeagle
38,1060800303,3,LMD,Lamna ditropis,Salmon shark
38,1060800701,1,WSH,Carcharodon carcharias,Great white shark
38,10608XXXXX,XX,MSK,Lamnidae,"Mackerel sharks,porbeagles nei"
38,106XXXXXXX,XX,LMZ,Lamniformes,Mackerel sharks
38,1070100101,1,OSF,Stegostoma fasciatum,Zebra shark
38,1070200101,1,ORE,Eucrossorhinus dasypogon,Tasselled wobbegong
38,1070200201,1,ORJ,Orectolobus japonicus,Japanese wobbegong
38,1070200202,2,ORT,Orectolobus maculatus,Spotted wobbegong
38,1070200203,3,ORO,Orectolobus ornatus,Ornate wobbegong
38,1070200204,4,ORV,Orectolobus wardi,Northern wobbegong
38,1070200301,1,ORS,Sutorectus tentaculatus,Cobbler wobbegong
38,1070300901,1,GNC,Ginglymostoma cirratum,Nurse shark
38,1070300902,2,ORX,Ginglymostoma brevicaudatum,Short-tail nurse shark
38,10703009XX,XX,GNG,Ginglymostoma spp,Nurse sharks nei
38,1070302401,1,ORZ,Nebrius ferrugineus,Tawny nurse shark
38,1070400201,1,ORF,Hemiscyllium freycineti,Indonesia speckled carpetshark
38,1070400202,2,ORK,Hemiscyllium hallstromi,Papuan epaulette shark
38,1070400203,3,ORN,Hemiscyllium ocellatum,Epaulette shark
38,1070400204,4,ORQ,Hemiscyllium strahani,Hooded carpetshark
38,1070400205,5,ORW,Hemiscyllium trispeculare,Speckled carpetshark
38,1070401501,1,ORA,Chiloscyllium arabicum,Arabian carpetshark
38,1070401502,2,ORP,Chiloscyllium caerulopunctatum,Bluespotted bambooshark
38,1070401503,3,ORR,Chiloscyllium griseum,Grey bambooshark
38,1070401504,4,ORI,Chiloscyllium indicum,Slender bambooshark
38,1070401505,5,ORH,Chiloscyllium plagiosum,Whitespotted bambooshark
38,1070401506,6,ORB,Chiloscyllium punctatum,Brownbanded bambooshark
38,1070401507,7,KYL,Chiloscyllium burmensis,Burmese bambooshark
38,1070401508,8,YYL,Chiloscyllium hasselti,Hasselt's bambooshark
38,10704015XX,XX,OQX,Chiloscyllium spp,Bamboosharks nei
38,1070500401,1,RHN,Rhincodon typus,Whale shark
38,1070600101,1,OBW,Brachaelurus waddi,Blind shark
38,1070600201,1,OBH,Heteroscyllium colcloughi,Bluegray carpetshark
38,1070700101,1,OPC,Cirrhoscyllium expolitum,Barbelthroat carpetshark
38,1070700102,2,OPF,Cirrhoscyllium formosanum,Taiwan saddled carpetshark
38,1070700103,3,OPJ,Cirrhoscyllium japonicum,Saddle carpetshark
38,1070700201,1,OPY,Parascyllium collare,Collared carpetshark
38,1070700202,2,OPE,Parascyllium ferrugineum,Rusty carpetshark
38,1070700204,4,OPV,Parascyllium variolatum,Necklace carpetshark
38,107XXXXXXX,XX,OCX,Orectolobiformes,Carpet sharks
38,1080100101,1,GAA,Galeus arae,Roughtail catshark
38,1080100102,2,GAB,Galeus boardmani,Australian sawtail catshark
38,1080100103,3,GAE,Galeus eastmani,Gecko catshark
38,1080100104,4,SHO,Galeus melastomus,Blackmouth catshark
38,1080100105,5,GAO,Galeus longirostris,
