"sp_id","sp_type","rgn_id","rgn_name","mean"
0,"eez",16,"Australia",0.157341136206386
1,"eez",1,"Cocos Islands",0.0892364762911824
2,"eez",2,"Christmas Island",0.109041595991209
3,"eez",3,"Norfolk Island",0.146176979614035
4,"eez",4,"Macquarie Island",0.00995844519805153
5,"eez",5,"New Caledonia",0.115602988177211
6,"eez",6,"Vanuatu",0.06928900807779
7,"eez",7,"Solomon Islands",0.0507195858314467
8,"eez",8,"Palau",0.0995222579319728
9,"eez",9,"Micronesia",0.0896060369130482
10,"eez",10,"Nauru",0.0309221647127973
11,"eez",11,"Marshall Islands",0.0535929301172784
12,"eez",12,"Wake Island",0.138798915953477
13,"eez",13,"Northern Mariana Islands and Guam",0.168989692239165
14,"eez",14,"Taiwan",0.363039224128396
15,"eez",15,"Philippines",0.173235330935132
17,"eez",17,"Papua New Guinea",0.108649015726034
18,"eez",18,"Fiji",0.0785693056104695
19,"eez",19,"Tuvalu",0.0232092576210097
20,"eez",20,"South Korea",0.389587961875838
21,"eez",21,"North Korea",0.219106316074378
24,"eez",24,"Cambodia",0.267672322696243
25,"eez",25,"Thailand",0.230472884190245
26,"eez",26,"Andaman and Nicobar",0.0673530476274182
28,"eez",28,"Comoro Islands",0.108903425022677
29,"eez",29,"Mayotte",0.0889380714142053
30,"eez",30,"Glorioso Islands",0.0819875179046774
31,"eez",31,"Seychelles",0.0654296217077123
32,"eez",32,"Reunion",0.182963364224875
33,"eez",33,"Juan de Nova Island",0.127218704641387
34,"eez",34,"Bassas da India",0.122993503111024
35,"eez",35,"Ile Europa",0.0601242932425751
36,"eez",36,"Ile Tromelin",0.0660228089396886
37,"eez",37,"Mauritius",0.0945086305187543
38,"eez",38,"British Indian Ocean Territory",0.0860367682704734
39,"eez",39,"Maldives",0.0977111159877084
40,"eez",40,"Sri Lanka",0.145626265210657
41,"eez",41,"Mozambique",0.12791415558404
42,"eez",42,"Madagascar",0.0687536692816223
43,"eez",43,"Kenya",0.0607375698026894
44,"eez",44,"Somalia",0.0784211656216529
45,"eez",45,"Eritrea",0.219368702762672
46,"eez",46,"Djibouti",0.22401778995882
47,"eez",47,"Yemen",0.26797686389221
48,"eez",48,"Oman",0.25344987955433
49,"eez",49,"Sudan",0.245594596993603
50,"eez",50,"Saudi Arabia",0.271176084846989
51,"eez",51,"Kuwait",0.436802178040453
52,"eez",52,"Bahrain",0.328991872318789
53,"eez",53,"Pakistan",0.356510444153595
54,"eez",54,"United Arab Emirates",0.408269015009049
55,"eez",55,"Azores",0.292921626102079
56,"eez",56,"Cape Verde",0.188369499867036
57,"eez",57,"Madeira",0.294327547501479
58,"eez",58,"Canary Islands",0.28567117021564
59,"eez",59,"Belgium",0.745812411830824
