Number of people engaged in,,,Year,,,,,,,
Country,Working domain,Status,2005,2006,2007,2008,2009,2010,2011,2012
Albania,Aquaculture,Full time,250,430,360,460,430,400,820,400
,Inland Waters Fishing,Full time,"1,100","1,100","1,850","1,600","1,700","1,750","1,900","1,800"
,,Part time,,50,50,100,100,,100,
,Marine Waters Fishing,Full time,"1,770","1,550","1,600","1,630","1,540","1,500","1,700","1,820"
,,Part time,,150,100,120,100,100,100,100
Algeria,Marine Waters Fishing,Status Unspecified,"29,661","32,246","37,152","38,419","40,678","41,544","42,760","43,698"
American Samoa,Aquaculture,Occasional,5,,,,,5,,
,Marine Waters Fishing,Full time,38,,,,,38,,
,,Part time,37,,,,,37,,
,,Occasional,30,,,,,30,,
Angola,Unspecified,Status Unspecified,"41,500","46,444","47,444","48,948","54,000","54,000","54,000",
Anguilla,Marine Waters Fishing,Full time,330,175,100,123,95,95,95,97
,,Part time,120,350,300,202,155,155,155,158
Antigua and Barbuda,Aquaculture,Part time,1,1,1,1,1,1,1,
,,Occasional,1,1,1,1,1,1,1,
,Marine Waters Fishing,Full time,523,569,594,632,670,707,734,
,,Part time,340,372,388,414,456,489,507,
,,Occasional,64,65,66,64,75,82,88,
,,Status Unspecified,206,221,221,223,233,241,244,
Argentina,Aquaculture,Status Unspecified,,,,,,,"1,050","1,238"
,Inland Waters Fishing,Full time,,,,470,500,502,492,
,,Status Unspecified,,,,,,,"10,000","7,000"
,Marine Waters Fishing,Full time,"13,713","16,918","16,554","22,598","15,008","14,769","15,158","14,268"
,,Status Unspecified,"1,836",,,,,,,
Armenia,Aquaculture,Full time,72,91,107,215,150,248,247,255
,,Part time,17,24,38,95,62,130,127,135
,Inland Waters Fishing,Full time,36,50,65,150,110,175,173,
,,Part time,20,25,38,45,22,52,51,
Aruba,Aquaculture,Full time,10,10,1,1,3,3,2,
,Marine Waters Fishing,Full time,,,10,8,8,8,8,7
,,Part time,150,150,130,140,145,162,179,202
,,Occasional,790,790,840,860,940,940,940,"1,440"
Australia,Aquaculture,Full time,"2,590","3,066","2,664","3,667","4,053","2,887","3,574","3,223"
,,Part time,"1,536",853,816,503,565,895,780,419
,Marine Waters Fishing,Full time,"5,662","5,058","4,949","6,920","2,479","5,558","5,161","4,993"
,,Part time,"3,951","3,409","1,343","2,606","2,130","2,070","2,128","1,997"
Austria,Aquaculture,Full time,,,,,,,100,
,,Part time,,,,,,,400,
,,Occasional,,,,,,,"1,500",
,Inland Waters Fishing,Full time,330,330,330,380,380,380,10,
,,Part time,520,520,520,520,520,520,10,
,,Occasional,"1,500","1,500","1,500","1,500","1,500","1,500",150,
Azerbaijan,Aquaculture,Full time,442,,,467,,218,240,190
,,Part time,,,,,,36,50,
,,Status Unspecified,,,,,,36,50,54
,Inland Waters Fishing,Full time,222,,,250,,250,250,250
,Marine Waters Fishing,Part time,"1,200",,,"1,400",,"1,400","1,400","1,400"
Bahamas,Aquaculture,Full time,,,,,5,5,,
,,Occasional,,,,,15,15,,
,Marine Waters Fishing,Occasional,"8,000",,,,"7,000","7,000",,
Bahrain,Aquaculture,Full time,36,38,42,42,42,42,42,42
,,Part time,2,4,4,4,4,4,4,4
,Marine Waters Fishing,Full time,"4,707","4,707","4,707","4,707","4,707","4,707","4,707","8,592"
,,Part time,"2,145","2,145","2,145","2,145","2,145","2,145","2,145","2,742"
,,Occasional,"1,385","1,385","1,385","1,385","1,385","1,385","1,385",487
,,Status Unspecified,927,927,927,927,927,927,927,
Bangladesh,Aquaculture,Full time,"680,000","708,500","708,500","708,500","708,500","708,500","708,500","708,500"
