EEZID,Name,EEZ Area (km_),Shelf Area (km_)
8,Albania,"11,105","6,090"
12,Algeria,"128,842","10,525"
16,American Samoa,"404,367",552
357,Andaman & Nicobar Isl. (India),"659,573","30,403"
24,Angola,"490,692","50,857"
660,Anguilla (UK),"92,182","2,120"
28,Antigua & Barbuda,"107,937","3,886"
32,Argentina,"1,082,475","795,722"
967,Aruba (Netherlands),"25,175","1,501"
855,Ascension Isl. (UK),"441,641",123
36,Australia,"6,415,339","2,184,844"
622,Azores Isl. (Portugal),"955,648","2,166"
44,Bahamas,"628,025","117,344"
48,Bahrain,"8,826","8,826"
903,Balearic Island (Spain),"128,034","11,182"
50,Bangladesh,"84,846","65,546"
52,Barbados,"188,086",332
56,Belgium,"3,479","3,479"
84,Belize,"36,182","10,394"
204,Benin,"30,288","3,248"
60,Bermuda (UK),"450,347","1,140"
907,Bonaire (Netherlands),"13,208",264
70,Bosnia & Herzegovina,14,14
74,Bouvet Isl. (Norway),"441,176",213
76,Brazil,"2,400,917","742,308"
969,Brazil (Fernando de Noronha),"363,362",549
970,Brazil (St Paul and St. Peter Archipelago),"413,636",11
92,British Virgin Isl. (UK),"80,113","3,093"
96,Brunei Darussalam,"25,340","8,925"
100,Bulgaria,"35,132","11,902"
384,Cote d'Ivoire,"173,764","12,268"
116,Cambodia,"47,676","47,676"
120,Cameroon,"14,669","11,793"
924,Canada (Arctic),"3,477,294","1,830,364"
926,Canada (East Coast),"2,276,469","850,770"
723,Canary Isl. (Spain),"455,328","6,366"
132,Cape Verde,"796,556","5,382"
136,Cayman Isl. (UK),"119,134",506
86,Chagos Archipelago (UK),"638,556","21,654"
830,Channel Isl. (UK),"11,647","11,647"
152,Chile,"1,975,760","215,534"
156,China,"2,276,307","1,028,908"
162,Christmas Isl. (Australia),"327,993",394
898,Clipperton Isl.  (France),"431,274",28
166,Cocos (Keeling) Isl. (Australia),"467,229",479
927,Colombia (Caribbean),"417,656","33,158"
928,Colombia (Pacific),"326,655","16,525"
174,Comoros Isl.,"164,671","1,602"
180,Congo (ex-Zaire),"13,137","2,617"
178,"Congo, R. of","39,617","7,769"
184,Cook Islands,"1,960,013","1,213"
899,Corsica (France),"23,844","4,365"
929,Costa Rica (Caribbean),"26,966","2,207"
930,Costa Rica (Pacific),"545,199","17,118"
900,Crete (Greece),"96,529","3,978"
191,Croatia,"55,962","44,844"
896,Crozet Isl. (France),"574,542","7,449"
192,Cuba,"364,521","63,996"
906,Cura_¼ao (Netherlands),"30,427",251
197,Cyprus (North),"17,677","1,464"
198,Cyprus (South),"80,411","1,730"
931,Denmark (Baltic Sea),"52,787","51,996"
932,Denmark (North Sea),"49,907","49,907"
154,Desventuradas Isl. (Chile),"449,836",503
262,Djibouti,"7,037","2,217"
212,Dominica,"28,599",356
214,Dominican Republic,"269,471","11,719"
153,Easter Isl. (Chile),"720,412",291
218,Ecuador,"236,556","27,855"
933,Egypt (Mediterranean),"169,122","31,017"
934,Egypt (Red Sea),"91,279","23,136"
222,El Salvador,"93,716","17,681"
226,Equatorial Guinea,"308,277","12,111"
111,Eritrea,"78,383","61,896"
233,Estonia,"36,512","36,512"
234,Faeroe Isl. (Denmark),"267,923","27,410"
238,Falkland Isl. (UK),"549,974","165,343"
242,Fiji,"1,282,140","27,700"
246,Finland,"81,473","81,185"
919,France (Atlantic Coast),"245,299","142,926"
918,France (Mediterranean),"64,547","13,693"
254,French Guiana,"134,667","43,076"
258,French Polynesia,"4,771,094","27,653"
266,Gabon,"191,942","36,572"
219,Galapagos Isl. (Ecuador),"835,538","8,500"
270,Gambia,"22,651","5,808"
274,Gaza Strip,"2,591","1,016"
268,Georgia,"22,948","2,523"
278,Germany (Baltic Sea),"15,464","15,464"
277,Germany (North Sea),"41,000","41,000"
288,Ghana,"225,653","23,821"
972,Glorieuse Islands (France),"43,432","1,291"
300,Greece,"397,140","67,921"
304,Greenland,"2,277,713","260,007"
308,Grenada,"26,133","2,709"
312,Guadeloupe (France),"90,578","2,150"
316,Guam (USA),"221,586",395
935,Guatemala (Caribbean),"1,600","1,481"
936,Guatemala (Pacific),"116,072","13,921"
324,Guinea,"109,414","49,699"
624,Guinea-Bissau,"105,836","38,155"
328,Guyana,"136,056","50,506"
332,Haiti,"123,530","4,982"
842,Hawaii Main Islands (USA),"895,895","6,746"
488,Hawaii Northwest Islands (USA),"1,578,813","13,702"
334,Heard & McDonald Isl. (Australia),"417,040","5,922"
921,Honduras (Caribbean),"218,057","60,303"
920,Honduras (Pacific),747,747
344,Hong Kong (China),"2,008","2,008"
846,Howland & Baker Isl. (USA),"434,922",148
