rgn_id,year,jobs_ct
6,1988,1622
6,1989,2931
6,1990,4704
6,1991,4683
6,1992,5525
6,1993,5824
6,1994,5733
6,1995,5948
6,1996,6977
6,1997,6358
6,1998,9146
6,1999,9414
6,2000,10186
6,2001,9255
6,2002,7891
6,2003,8988
6,2004,9006
6,2005,8272
6,2006,7127
6,2007,8284
6,2008,8812
6,2009,9452
6,2010,9196
6,2011,8608
6,2012,9751
6,2013,11305
6,2014,10646
6,2015,10371
6,2016,10392
6,2017,10848
6,2018,11289
6,2019,11846
6,2020,12589
6,2021,13099
6,2022,13387
6,2023,13654
6,2024,13907
6,2025,14251
6,2026,14551
7,1988,1281
7,1989,1772
7,1990,1529
7,1991,1837
7,1992,2561
7,1993,1690
7,1994,3329
7,1995,2574
7,1996,2618
7,1997,1567
7,1998,1474
7,1999,1747
7,2000,1401
7,2001,2446
7,2002,1301
7,2003,1144
7,2004,1251
7,2005,2035
7,2006,5339
7,2007,5366
7,2008,3992
7,2009,4989
7,2010,5682
7,2011,6438
7,2012,5236
7,2013,5451
7,2014,5151
7,2015,5340
7,2016,5392
7,2017,5508
7,2018,5613
7,2019,5723
7,2020,5938
7,2021,6160
7,2022,6291
7,2023,6402
7,2024,6494
7,2025,6612
7,2026,6831
14,1988,155126
14,1989,160794
14,1990,144721
14,1991,156724
14,1992,152679
14,1993,147165
14,1994,170524
14,1995,171792
14,1996,175789
14,1997,169009
14,1998,169634
14,1999,160523
14,2000,164036
14,2001,174517
14,2002,183544
14,2003,155655
14,2004,140355
14,2005,153223
14,2006,180471
14,2007,182479
14,2008,168861
14,2009,166173
14,2010,214812
14,2011,245863
14,2012,256522
14,2013,244862
14,2014,263847
14,2015,259005
14,2016,269786
14,2017,278316
14,2018,284896
14,2019,291517
14,2020,298159
14,2021,303623
14,2022,305250
14,2023,306517
14,2024,306873
14,2025,308912
14,2026,311014
15,1988,362916
15,1989,400397
15,1990,396903
15,1991,372545
15,1992,397460
15,1993,454907
15,1994,501660
15,1995,590857
15,1996,729890
15,1997,978154
15,1998,1017490
15,1999,869470
15,2000,1043950
15,2001,1052490
15,2002,1080320
15,2003,1088140
15,2004,1112970
15,2005,1154650
15,2006,1207160
15,2007,1336330
15,2008,1163820
15,2009,1229990
15,2010,1121200
15,2011,1136940
15,2012,1226710
15,2013,1243320
15,2014,1223640
15,2015,1264670
15,2016,1304220
15,2017,1299270
15,2018,1327930
15,2019,1363220
15,2020,1399940
15,2021,1435630
15,2022,1471760
15,2023,1511650
15,2024,1552380
15,2025,1596870
15,2026,1648500
16,1988,286933
16,1989,276605
16,1990,284869
16,1991,305356
16,1992,297934
16,1993,304915
16,1994,343485
16,1995,353485
16,1996,366349
16,1997,370536
16,1998,379803
16,1999,384123
16,2000,443883
16,2001,451255
16,2002,454971
16,2003,445806
16,2004,462878
16,2005,475220
16,2006,479527
16,2007,493460
16,2008,489301
16,2009,491741
16,2010,498057
16,2011,501154
