"rgn_id","pcgdp_cia"
5,38800
6,2500
7,1900
8,15100
9,NA
10,14800
11,3200
13,26275.8992093082
14,NA
15,7300
16,65400
17,2700
18,9000
19,3400
20,NA
21,NA
24,3500
25,16100
28,1500
31,26300
37,19500
39,14900
40,10600
41,1200
42,1500
43,3200
44,400
45,NA
46,3200
47,NA
48,44600
49,4300
50,53600
51,70200
52,50100
53,5000
54,67600
56,6500
59,43600
60,43000
61,11400
62,8200
63,NA
64,4400
65,1600
66,2500
67,14600
68,35900
69,24700
70,28600
71,19100
72,20800
73,NA
74,9600
75,7500
76,20400
77,NA
78,18200
79,33700
80,26400
81,32800
82,11900
84,14500
85,NA
86,NA
88,NA
95,NA
96,1600
97,900
98,1500
99,2100
100,NA
101,11400
102,13200
103,3200
104,31800
106,4300
108,85700
110,25200
111,29100
112,10200
113,43800
114,1800
115,15000
116,NA
117,42300
118,NA
119,NA
120,23600
121,NA
122,NA
123,10700
124,16600
125,13100
126,32600
127,NA
129,21800
130,15500
131,5000
132,13800
133,4900
134,8300
135,17500
136,7700
137,11300
138,12200
139,NA
141,36600
143,46100
145,37900
147,26100
151,13000
152,5200
153,NA
154,NA
155,5100
156,NA
161,NA
162,36200
163,55800
164,8400
166,8800
167,7500
168,16300
171,15600
172,22600
173,21500
174,41100
175,45700
176,46900
177,49200
178,26500
179,41200
181,55500
182,34800
183,27800
184,35700
185,78700
186,16100
187,21600
188,31000
189,28400
190,132100
191,NA
192,15500
193,1500
194,1200
195,3300
196,6100
197,3100
198,18600
199,NA
200,7300
202,2900
203,6200
204,3600
205,NA
206,26300
207,6000
208,85300
209,NA
210,38100
212,1800
214,NA
215,12100
216,11100
218,45600
219,NA
220,NA
221,NA
222,47900
223,68400
224,23500
227,57000
228,52300
231,5600
232,10500
244,15000
247,NA
250,25300
255,18000
