"ISO3166","REF_VALUE","REF_YEAR","CUR_VALUE","CUR_YEAR","TREND"
"AFG",,,,,
"ALA",,,,,
"ALB",,,,,
"DZA",,,,,
"ASM",,,,,
"AND",,,,,
"AGO",,,,,
"AIA",,,,,
"ATG",,,,,
"ARG",,,,,
"ARM",,,,,
"ABW",,,,,
"AUS",,,1302895,2007,"STABLE"
"AUT",,,,,
"AZE",,,,,
"BHS",,,,,
"BHR",,,,,
"BGD",,,,,
"BRB",,,,,
"BLR",,,,,
"BEL",,,422,2006,"INCREASING"
"BLZ",,,,,
"BEN",,,,,
"BMU",,,,,
"BTN",,,,,
"BOL",,,,,
"BES",,,,,
"BIH",,,,,
"BWA",,,,,
"BRA",,,,,
"VGB",,,,,
"BRN",,,,,
"BGR",,,,,
"BFA",,,,,
"BDI",,,,,
"KHM",,,,,
"CMR",,,,,
"CAN",130000,1988,44000,2006,"DECREASING"
"CPV",,,,,
"CYM",,,,,
"CAF",,,,,
"TCD",,,,,
"CHL",,,,,
"CHN",1281460,1949,573440,1994,"DECREASING"
"HKG",,,,,
"MAC",,,,,
"COL",,,,,
"COM",,,,,
"COG",,,,,
"COK",,,,,
"CRI",,,,,
"CIV",,,,,
"HRV",,,,,
"CUB",,,,,
"CUW",,,,,
"CYP",,,,,
"CZE",,,,,
"PRK",,,,,
"COD",,,,,
"DNK",,,38200,2006,
"DJI",,,,,
"DMA",,,,,
"DOM",,,,,
"ECU",,,,,
"EGY",,,,,
"SLV",,,,,
"GNQ",,,,,
"ERI",,,,,
"EST",,,500,2006,"STABLE"
"ETH",,,,,
"FRO",,,,,
"FLK",,,,,
"FJI",,,,,
"FIN",,,,,
"FRA",,,114710,2006,"DECREASING"
"GUF",,,,,
"PYF",,,,,
"GAB",,,,,
"GMB",,,,,
"GEO",,,,,
"DEU",,,28345,2006,"INCREASING"
"GHA",,,,,
"GIB",,,,,
"GRC",,,,,
"GRL",,,,,
"GRD",,,,,
"GLP",,,,,
"GUM",,,,,
"GTM",,,,,
"GGY",,,,,
"GIN",,,,,
"GNB",,,,,
"GUY",,,,,
"HTI",,,,,
"VAT",,,,,
"HND",,,,,
"HUN",,,,,
"ISL",,,,,
"IND",,,,,
"IDN",,,,,
"IRN",,,,,
"IRQ",,,,,
"IRL",,,5634,2007,"DECREASING"
"IMN",,,,,
"ISR",,,,,
"ITA",192000,1972,34900,2006,"STABLE"
"JAM",,,,,
"JPN",,,,,
"JEY",,,,,
"JOR",,,,,
"KAZ",,,,,
"KEN",,,,,
"KIR",,,,,
"KWT",,,,,
"KGZ",,,,,
"LAO",,,,,
"LVA",,,82,2004,"DECREASING"
"LBN",,,,,
"LSO",,,,,
"LBR",,,,,
"LBY",,,,,
"LIE",,,,,
"LTU",,,,,
"LUX",,,,,
"MDG",,,,,
"MWI",,,,,
"MYS",,,,,
"MDV",,,,,
"MLI",,,,,
"MLT",,,,,
"MHL",,,,,
"MTQ",,,,,
"MRT",,,,,
"MUS",,,,,
"MYT",,,,,
"MEX",,,,,
"FSM",,,,,
"MCO",,,,,
"MNG",,,,,
"MNE",,,,,
"MSR",,,,,
"MAR",,,,,
"MOZ",,,,,
"MMR",,,,,
"NAM",,,,,
"NRU",,,,,
"NPL",,,,,
"NLD",,,11230,2006,"STABLE"
"NCL",,,,,
"NZL",,,19200,2002,"DECREASING"
"NIC",,,,,
"NER",,,,,
"NGA",,,,,
"NIU",,,,,
"NFK",,,,,
"MNP",,,,,
"NOR",,,,,
"PSE",,,,,
"OMN",,,,,
"PAK",,,,,
"PLW",,,,,
"PAN",,,,,
"PNG",,,,,
"PRY",,,,,
"PER",,,,,
"PHL",,,,,
"PCN",,,,,
"POL",,,705,2006,"DECREASING"
"PRT",,,,,
"PRI",,,,,
"QAT",,,,,
"KOR",,,,,
"MDA",,,,,
"REU",,,,,
"ROU",,,,,
"RUS",,,,,
"RWA",,,,,
"BLM",,,,,
"SHN",,,,,
"KNA",,,,,
"LCA",,,,,
"MAF",,,,,
"SPM",,,,,
"VCT",,,,,
"WSM",,,,,
"SMR",,,,,
"STP",,,,,
"SAU",,,,,
"SEN",,,,,
"SRB",,,,,
"SYC",,,,,
"SLE",,,,,
"SGP",,,,,
"SXM",,,,,
"SVK",,,,,
"SVN",,,,,
"SLB",,,,,
"SOM",,,,,
"ZAF",,,,,
"ESP",,,,,
"LKA",,,,,
"SDN",,,,,
"SUR",,,,,
"SJM",,,,,
"SWZ",,,,,
"SWE",,,2930,2006,"DECREASING"
"CHE",,,,,
"SYR",,,,,
"TJK",,,,,
"THA",,,,,
"MKD",,,,,
"TLS",,,,,
"TGO",,,,,
"TKL",,,,,
"TON",,,,,
"TTO",,,,,
"TUN",,,,,
"TUR",,,,,
"TKM",,,,,
"TCA",,,,,
"TUV",,,,,
"UGA",,,,,
"UKR",,,,,
"ARE",,,,,
"GBR",40500,1977,31805,2007,"DECREASING"
"TZA",,,,,
"USA",1601300,1986,1574700,2004,"DECREASING"
"VIR",,,,,
"URY",,,,,
"UZB",,,,,
"VUT",,,,,
"VEN",,,,,
"VNM",,,,,
"WLF",,,,,
"ESH",,,,,
"YEM",,,,,
"ZMB",,,,,
"ZWE",,,,,
