"","cntry_key","sector","cur_adj_value"
"1","ABW","cf",10323696146
"2","ABW","og",10314044641.4
"3","ABW","tour",10314044641.4
"4","AGO","cf",61796534508
"5","AGO","og",65161070140
"6","AGO","tour",1.04332e+11
"7","AIA","tour",18763481397.7127
"8","Alaska","aqf",103191713123.326
"9","Alaska","tour",108794239445.381
"10","ALB","aqf",12968653525
"11","ALB","cf",10704660840
"12","ALB","mar",12118583126
"13","ALB","og",12118583126
"14","ALB","tour",12959563902
"15","ANT","aqf",65773031636.2238
"16","ANT","cf",65773031636.2238
"17","ANT","mmw",70433751925
"18","ANT","og",69058940974.0752
"19","ANT","tour",69058940974.0752
"20","ARE","aqf",3.14845e+11
"21","ARE","cf",2.5815e+11
"22","ARE","mar",3.14845e+11
"23","ARE","og",2.70335e+11
"24","ARE","tour",3.60245e+11
"25","ARG","aqf",3.26583e+11
"26","ARG","cf",2.60769e+11
"27","ARG","mar",3.68736e+11
"28","ARG","mmw",2.14066e+11
"29","ARG","og",3.07155e+11
"30","ARG","tour",4.46044e+11
"31","ASM","mmw",788809473.563282
"32","ASM","og",293848590.407653
"33","ATA","mmw",NA
"34","ATA","og",NA
"35","ATG","aqf",849234753.9
"36","ATG","cf",1295824296
"37","ATG","mmw",1354616665
"38","ATG","og",1214286802
"39","ATG","tour",1118317379
"40","AUS","aqf",1.05282e+12
"41","AUS","cf",8.50326e+11
"42","AUS","mmw",1.05282e+12
"43","AUS","og",9.21972e+11
"44","AUS","tour",1.37938e+12
"45","Azores","mmw",466302747698.9
"46","BEL","aqf",5.07379e+11
"47","BEL","cf",4.59619e+11
"48","BEL","og",4.73405e+11
"49","BEL","tour",5.13661e+11
"50","BEN","cf",5506275948
"51","BEN","mmw",6633561835
"52","BEN","og",6585134688
"53","BEN","tour",7294900431
"54","BGD","aqf",61901116736
"55","BGD","cf",68415421373
"56","BGD","mar",1.00357e+11
"57","BGD","mmw",79554350678
"58","BGD","og",89359767442
"59","BGD","tour",1.11879e+11
"60","BGR","aqf",51824867998
"61","BGR","cf",42113656147
"62","BGR","mar",47727325909
"63","BGR","og",48568714012
"64","BGR","tour",53514380731
"65","BHR","cf",18473097689
"66","BHR","mmw",21902892584
"67","BHR","og",19318822541
"68","BHR","tour",24796735525.8003
"69","BHS","cf",8318996000
"70","BHS","mar",7965588000
"71","BHS","mmw",8246650000
"72","BHS","og",7717078000
"73","BHS","tour",7787514000
"74","BIH","cf",15280615815
"75","BIH","mar",16647485125
"76","BIH","og",17082889410
"77","BIH","tour",18088238053
"78","BLZ","aqf",1363500000
"79","BLZ","cf",1276751656
"80","BLZ","mar",932676403.2
"81","BLZ","mmw",1213104430
"82","BLZ","og",1.349e+09
"83","BLZ","tour",1447500000
"84","BMU","cf",5895048000
"85","BMU","mmw",6109928000
"86","BMU","og",5806378000
"87","BMU","tour",6555894266.66663
"88","BRA","aqf",1.65282e+12
"89","BRA","cf",1.36598e+12
"90","BRA","mar",5.04221e+11
"91","BRA","mmw",1.08892e+12
"92","BRA","og",1.62166e+12
"93","BRA","tour",2.47665e+12
"94","BRB","aqf",3.005e+09
"95","BRB","cf",3409200000
"96","BRB","og",3595210913
"97","BRB","tour",3.685e+09
"98","BRN","aqf",82059475389.8
"99","BRN","cf",132427825400
"100","BRN","mar",77279325378.1
"101","BRN","og",168253739418
"102","BRN","tour",168253739418
"103","CAN","aqf",1.50268e+12
"104","CAN","cf",1.42407e+12
"105","CAN","mar",7.34662e+11
"106","CAN","mmw",1.50268e+12
"107","CAN","og",1.33758e+12
"108","CAN","tour",1.73605e+12
"109","CAN","wte",1.27861e+12
"110","Canary Islands","mmw",466302747698.9
"111","CHL","aqf",124275500798.939
"112","CHL","cf",172689441433.643
"113","CHL","mar",70911247150.4976
"114","CHL","mmw",154252504978.664
"115","CHL","og",172412727552.085
"116","CHL","tour",248328231938.717
"117","CHN","aqf",4761837302459
"118","CHN","cf",3723718715594
"119","CHN","mar",5226618049798
"120","CHN","mmw",4761837302459
"121","CHN","og",5226618049798
"122","CHN","tour",7603540443915
"123","CIV","aqf",19795705245
"124","CIV","cf",19795705245
"125","CIV","mar",11486664265
"126","CIV","og",23041633639
"127","CIV","tour",24073812829
"128","CMR","cf",20431779034
"129","CMR","og",22188223918
"130","CMR","tour",25235747212
"131","COD","aqf",11675330310
"132","COD","cf",10013852849
"133","COD","og",11204008249
"134","COD","tour",15653634042
"135","COG","aqf",11859015181
"136","COG","og",9593536719
"137","COG","tour",14425606793
"138","COK","aqf",788809473.563282
"139","COK","mar",963178715.804992
"140","COK","mmw",788809473.563282
"141","COK","og",293848590.407653
"142","COL","aqf",2.44078e+11
"143","COL","cf",2.0752e+11
"144","COL","mar",97933392356
"145","COL","mmw",1.62774e+11
"146","COL","og",2.3436e+11
"147","COL","tour",3.33372e+11
"148","COM","og",535336461.8
"149","COM","tour",610372697.4
"150","CPV","cf",1331208452
"151","CPV","og",1600829246
"152","CPV","tour",1901136230
"153","CRI","aqf",29831164903
