"","cntry_key","sector","ref_base_value"
"94","CYP","cf",1464.932
"95","CYP","mar",435.94551324
"96","CYP","mmw",0
"97","CYP","tour",84938.1212264
"98","DEU","cf",3181.402
"99","DEU","mmw",0
"100","DEU","tour",238483.556131
"101","DMA","cf",1058.4371
"102","DMA","mmw",3.83
"103","DMA","tour",8300
"104","DNK","cf",5511.5298
"105","DNK","mar",189.884593116
"106","DNK","mmw",0
"107","DNK","tour",373813.04663
"108","DOM","cf",16631.9615
"109","DOM","mmw",21.065
"110","DOM","tour",421149.479794
"111","DZA","tour",11483.2505449
"112","ECU","cf",17196.34
"113","ECU","mar",69378.36676854
"114","ECU","mmw",15.32
"115","ECU","tour",42681.329861
"116","EGY","cf",195598.9546
"117","EGY","mar",56792.20171579
"118","EGY","mmw",17.235
"119","EGY","tour",353053.056277
"120","ERI","mmw",0
"121","ESP","cf",70407.1473
"122","ESP","mar",18033.0450903
"123","ESP","mmw",55.535
"124","ESP","tour",580181.981197
"125","EST","cf",9450.5516
"126","EST","mar",0
"127","EST","tour",48271.431645
"128","FIN","cf",2432.4041
"129","FIN","mar",1830.09183786
"130","FIN","tour",36668.87183
"131","FJI","cf",1577.254
"132","FJI","mmw",0
"133","FJI","tour",104500
"134","FLK","cf",1408.4546
"135","FLK","mar",5.805
"136","FLK","mmw",0
"137","FRA","cf",20900.5139
"138","FRA","mar",24989.0550687
"139","FRA","mmw",1.915
"140","FRA","tour",542884.235473
"141","FRA","wte",109.04
"142","FSM","mmw",0
"143","GAB","cf",9794.3993
"144","GAB","mmw",0
"145","GAB","tour",1525.08385095
"146","GBR","cf",19880.9149
"147","GBR","mar",4129.2711765
"148","GBR","mmw",268.1
"149","GBR","tour",1789993.83154
"150","GEO","mmw",0
"151","GHA","cf",260414.602
"152","GHA","mar",0
"153","GHA","tour",26879.0033979
"154","GIB","mmw",22
"155","GIN","tour",6953.01473497
"156","GLP","cf",1385.2783
"157","GLP","tour",18300
"158","GMB","cf",8087.975
"159","GMB","mmw",1.915
"160","GMB","tour",22613.5899061
"161","GNQ","cf",3184.566
"162","GNQ","mar",0
"163","GRC","cf",22473.2592
"164","GRC","mar",9855.6415875
"165","GRC","mmw",7.66
"166","GRC","tour",650995.292713
"167","GRD","cf",3342.766
"168","GRD","mmw",1.915
"169","GRD","tour",7900
"170","GRL","mmw",5.745
"171","GTM","cf",4171.734
"172","GTM","mar",2104.022577562
"173","GTM","mmw",0
"174","GTM","tour",36723.1974782
"175","GUF","cf",298.9189
"176","GUM","cf",1771.5236
"177","GUM","mar",4.7400000012
"178","GUM","mmw",296.825
"179","GUY","cf",10352.608
"180","GUY","mar",66.39135527627
"181","GUY","tour",4418.05483649
"182","HKG","cf",15183.245
"183","HKG","mar",2796.0314049
"184","HKG","mmw",239.375
"185","HKG","tour",342200
"186","HND","cf",75575.304
