"","cntry_key","sector","cur_base_value"
"1","ABW","cf",862.19
"2","ABW","mar",0.861585822
"3","ABW","tour",36400
"4","AGO","cf",41508.516
"5","AGO","tour",6678.58700947
"6","AIA","cf",242.5206
"7","AIA","tour",3900
"8","ALB","cf",5162.066
"9","ALB","mar",682.0084378912
"10","ALB","tour",104529.506166
"11","ANT","mmw",0
"12","ANT","tour",18600
"13","ARE","cf",32666.718
"14","ARE","mar",108
"15","ARE","tour",104797.678395
"16","ARG","cf",36493.576
"17","ARG","mmw",367.68
"18","ARG","tour",109852.002086
"19","ASM","cf",97.3721
"20","ASM","mar",1.136927561326
"21","ASM","mmw",0
"22","ATA","mmw",84
"23","ATG","cf",1335.208
"24","ATG","mar",0.472196896335
"25","ATG","mmw",0
"26","ATG","tour",19200
"27","AUS","cf",5774.3
"28","AUS","mar",8112.4887042
"29","AUS","tour",193760.840876
"30","Azores","mmw",46
"31","BEL","cf",606.4597
"32","BEL","tour",48240.2058727
"33","BEN","cf",45187.457
"34","BEN","mmw",0
"35","BEN","tour",3712.47770619
"36","BGD","cf",2908044.8978
"37","BGD","mmw",0
"38","BGD","tour",657293.855076
"39","BGR","tour",42148.1502504
"40","BHR","cf",10003.3815
"41","BHR","mar",115.02
"42","BHR","mmw",13.405
"43","BHR","tour",78500
"44","BHS","mmw",3.83
"45","BHS","tour",86600
"46","BIH","tour",8224.56235229
"47","BLZ","cf",3586.394
"48","BLZ","mmw",0
"49","BLZ","tour",23623.4984327
"50","BMU","cf",290.1388
"51","BMU","mmw",0
"52","BMU","tour",9300
"53","BRA","mmw",310.23
"54","BRA","tour",319687.483978
"55","BRB","cf",3550.4035
"56","BRB","tour",63300
"57","BRN","cf",477.764
"58","BRN","mar",47.349514629
"59","BRN","tour",8487.81070815
"60","CAN","cf",38904.544
"61","CAN","tour",289748.450708
"62","CAN","wte",8.695
"63","Canary Islands","mmw",576
"64","CHL","cf",111953.394
"65","CHL","mmw",19.15
"66","CHL","tour",269935.179586
"67","CHN","cf",2879486.792
"68","CHN","mar",3273754.458175
"69","CHN","mmw",545.775
"70","CHN","tour",2003709.61375
"71","CIV","cf",9836.876
"72","CIV","tour",13003.7545951
"73","CMR","cf",23730
"74","CMR","tour",8336.55999946
"75","COD","cf",192399.7551
"76","COD","mar",0
"77","COD","tour",255.600906227
"78","COG","cf",16611
"79","COG","tour",296.511647602
"80","COK","cf",32.8265
"81","COK","mmw",13.405
"82","COL","mmw",11.49
"83","COL","tour",71188.0003087
"84","COM","cf",8918.525
"85","COM","tour",7700
"86","CPV","cf",7620.494
"87","CPV","tour",40600
"88","CRI","mmw",97.665
"89","CRI","tour",144628.241694
"90","CUB","cf",7827.736
"91","CUB","mar",2173.160477103
"92","CUB","tour",457198.451692
"93","CYM","tour",7800
"94","CYP","cf",1198.6023
"95","CYP","mar",797.53147722
"96","CYP","mmw",0
"97","CYP","tour",68138.2055363
"98","DEU","cf",2510.634
"99","DEU","mmw",0
"100","DEU","tour",233318.222785
"101","DMA","cf",1280.4708
"102","DMA","mmw",13.405
"103","DMA","tour",8600
"104","DNK","cf",1660.309
"105","DNK","mar",192.811564215
"106","DNK","mmw",0
"107","DNK","tour",332474.182459
"108","DOM","cf",14966.5901
"109","DOM","mmw",26.81
"110","DOM","tour",456018.169095
"111","DZA","tour",12440.649265
"112","ECU","cf",36673.924
"113","ECU","mar",69908.44097865
"114","ECU","mmw",57.45
"115","ECU","tour",47034.7166721
"116","EGY","cf",627327.2292
"117","EGY","mar",80774.29037089
"118","EGY","mmw",63.195
"119","EGY","tour",393483.360562
"120","ERI","mmw",0
"121","ESP","cf",26931.4143
"122","ESP","mar",18254.779839
"123","ESP","mmw",164.69
"124","ESP","tour",496999.033548
"125","EST","cf",4419.317
"126","EST","mar",0
"127","EST","tour",38271.9868143
"128","FIN","cf",1762.2689
"129","FIN","mar",1438.18113411
"130","FIN","tour",30315.5296549
"131","FJI","cf",2127.79
"132","FJI","mmw",0
"133","FJI","tour",77400
"134","FLK","cf",1202.32
"135","FLK","mar",5.4
"136","FLK","mmw",0
"137","FRA","cf",18703.1159
"138","FRA","mar",22549.6448235
"139","FRA","mmw",11.49
"140","FRA","tour",490980.670481
"141","FRA","wte",109.04
"142","FSM","mmw",0
"143","GAB","cf",5225.9788
"144","GAB","mmw",0
"145","GAB","tour",1227.21591131
"146","GBR","cf",16997.6408
"147","GBR","mar",6365.9175102
"148","GBR","mmw",587.905
"149","GBR","tour",1762457.76101
"150","GEO","mmw",0
"151","GHA","cf",403996.922
"152","GHA","mar",0
"153","GHA","tour",25438.240028
"154","GIB","mmw",41
"155","GIN","tour",7678.06172605
"156","GLP","cf",1426.6476
"157","GLP","tour",19700
"158","GMB","cf",6913.1818
"159","GMB","mmw",17.235
"160","GMB","tour",25215.3982919
"161","GNQ","cf",345.667
"162","GNQ","mar",0
"163","GRC","cf",19663.2317
"164","GRC","mar",12313.7134605
"165","GRC","mmw",7.66
"166","GRC","tour",579888.608598
"167","GRD","cf",3726.401
"168","GRD","mmw",3.83
"169","GRD","tour",10000
"170","GRL","mmw",7.66
"171","GTM","cf",4110.036
"172","GTM","mar",295.95
"173","GTM","mmw",0
"174","GTM","tour",42228.591117
"175","GUF","cf",249.4814
"176","GUM","cf",1186.5
"177","GUM","mar",4.7400000012
"178","GUM","mmw",779.405
"179","GUY","cf",10520.3
"180","GUY","mar",53.11308421707
"181","GUY","tour",3016.98036403
"182","HKG","cf",11316.837
"183","HKG","mar",2828.8088487
"184","HKG","mmw",143.625
"185","HKG","tour",422600
"186","HND","cf",4503.954
"187","HND","mar",45352.12894353
"188","HND","mmw",0
"189","HND","tour",91198.5930215
"190","HRV","cf",18953.942
"191","HRV","mmw",0
"192","HRV","tour",135948.808096
"193","HTI","tour",147380.970382
"194","IDN","cf",2696085.2156
"195","IDN","mar",0
"196","IDN","mmw",65.11
"197","IDN","tour",4456116.9172
"198","IND","cf",7976022.6343
"199","IND","mar",0
"200","IND","mmw",180.01
"201","IND","tour",2699334.06205
"202","IRL","mmw",258.525
"203","IRL","tour",77356.1978323
"204","IRN","cf",232297.716
"205","IRN","mar",0
