"","cntry_key","sector","cur_base_value"
"1","ABW","cf",1769564.668928
"2","ABW","og",0
"3","ABW","tour",1941871921.18
"4","AGO","cf",2195425966.048
"5","AGO","og",70427763028.728
"6","AGO","tour",4.402e+09
"7","AIA","tour",1.5e+08
"8","Alaska","aqf",16103.6345966862
"9","Alaska","tour",9782504445.08384
"10","ALB","aqf",7840
"11","ALB","cf",21758501.21088
"12","ALB","mar",7595398.2
"13","ALB","og",16360895.931212
"14","ALB","tour",2.699e+09
"15","ANT","aqf",93730.4964539104
"16","ANT","cf",9738516.593792
"17","ANT","mmw",0
"18","ANT","og",0
"19","ANT","tour",1724137931.03
"20","ARE","aqf",4586400
"21","ARE","cf",655829602.5568
"22","ARE","mar",2902792.4
"23","ARE","og",56666765197.308
"24","ARE","tour",5.2706e+10
"25","ARG","aqf",87808
"26","ARG","cf",7308482376.832
"27","ARG","mar",2099356.5
"28","ARG","mmw",62566162.6
"29","ARG","og",285078709.3644
"30","ARG","tour",4.5995e+10
"31","ASM","mmw",0
"32","ASM","og",0
"33","ATA","mmw",37437248.98
"34","ATA","og",0
"35","ATG","aqf",7840
"36","ATG","cf",12266013.880512
"37","ATG","mmw",48272.36
"38","ATG","og",0
"39","ATG","tour",8.84e+08
"40","AUS","aqf",3838464
"41","AUS","cf",2353583101.408
"42","AUS","mar",1244323757.5264
"43","AUS","mmw",174768087.4
"44","AUS","og",11696447380.268
"45","AUS","tour",1.50707e+11
"46","Azores","mmw",7795511.18
"47","BEL","aqf",4119136
"48","BEL","cf",238108944.976
"49","BEL","og",33920878.30012
"50","BEL","tour",2.5249e+10
"51","BEN","cf",28660368.95904
"52","BEN","mmw",0
"53","BEN","og",0
"54","BEN","tour",4.81e+08
"55","BGD","aqf",11541.5352260701
"56","BGD","cf",1486814038.2816
"57","BGD","mar",914897909.1
"58","BGD","mmw",1783.54
"59","BGD","og",0
"60","BGD","tour",4.813e+09
"61","BGR","aqf",23520
"62","BGR","cf",53318430.2896
"63","BGR","mar",1380390.3
"64","BGR","og",8844320.83346
"65","BGR","tour",6.949e+09
"66","BHR","cf",92335942.12192
"67","BHR","mar",11247.634070023
"68","BHR","mmw",452926.83
"69","BHR","og",0
"70","BHR","tour",3.594e+09
"71","BHS","cf",242721024.896
"72","BHS","mar",59466
"73","BHS","mmw",4048079.27
"74","BHS","og",0
"75","BHS","tour",3.785e+09
"76","BIH","cf",37262.67086528
"77","BIH","mar",3243123
"78","BIH","og",0
"79","BIH","tour",1.541e+09
"80","BLZ","aqf",186592
"81","BLZ","cf",93089505.4544
"82","BLZ","mar",54922712.9325
"83","BLZ","mmw",197154.47
"84","BLZ","og",0
"85","BLZ","tour",5.2e+08
"86","BMU","cf",4847444.7952
"87","BMU","mmw",32418.7
"88","BMU","og",0
"89","BMU","tour",9.65e+08
"90","BRA","aqf",11143776
"91","BRA","cf",3250326243.36
"92","BRA","mar",323625356.4
"93","BRA","mmw",28817229.88
"94","BRA","og",49355074846.644
"95","BRA","tour",2.05607e+11
"96","BRB","aqf",7840
"97","BRB","cf",15144340.862336
"98","BRB","og",0
"99","BRB","tour",1.836e+09
"100","BRN","aqf",149171.891891837
"101","BRN","cf",14705861.45056
"102","BRN","mar",7841350.578771
"103","BRN","og",4573764417.908
"104","BRN","tour",489520572.103
"105","CAN","aqf",23520
"106","CAN","cf",9861465220.544
"107","CAN","mar",1589835079.5815
"108","CAN","mmw",152810975.6
"109","CAN","og",566984717.7064
"110","CAN","tour",7.9575e+10
"111","CAN","wte",2115002.914416
"112","Canary Islands","mmw",57446646.34
"113","CHL","aqf",3390.27027026688
"114","CHL","cf",42506378386.08
"115","CHL","mar",8167483911.06
"116","CHL","mmw",2493725.61
"117","CHL","og",0
"118","CHL","tour",21755505099.5087
"119","CHN","aqf",10734528
"120","CHN","cf",44920579114.656
"121","CHN","mar",29067410131.8
"122","CHN","mmw",13465569.11
"123","CHN","og",56442842440.432
"124","CHN","tour",8.4267e+11
"125","CIV","aqf",1568
"126","CIV","cf",333829821.5392
"127","CIV","mar",768583.596264
"128","CIV","og",741580332.5728
"129","CIV","tour",1.109e+09
"130","CMR","aqf",189049.645390816
"131","CMR","cf",291239099.9392
"132","CMR","og",973051398.102
"133","CMR","tour",1.38e+09
"134","COD","aqf",613088
"135","COD","cf",81554466.46144
"136","COD","og",277174343.0036
"137","COD","tour",4.1e+08
"138","COG","aqf",86240
"139","COG","og",3950132798.948
"140","COG","tour",4.14e+08
"141","COK","aqf",122304
"142","COK","mar",3678233.43876
"143","COK","mmw",517518.29
"144","COK","og",0
"145","COL","aqf",13328000
"146","COL","cf",961051635.0848
"147","COL","mar",271520504.67
"148","COL","mmw",2599085.37
"149","COL","og",0
"150","COL","tour",1.9648e+10
"151","COM","og",0
"152","COM","tour",4e+07
"153","CPV","cf",117854243.53248
"154","CPV","og",0
"155","CPV","tour",8.03e+08
"156","CRI","aqf",236768
"157","CRI","cf",146323253.83424
"158","CRI","mar",29174115
"159","CRI","mmw",21505118.9
"160","CRI","og",0
"161","CRI","tour",5.522e+09
"162","CUB","aqf",216384
"163","CUB","cf",67732983.38464
"164","CUB","mar",14976210
"165","CUB","og",0
"166","CUB","tour",8.095e+09
"167","CYM","cf",476088.3281504
"168","CYM","og",0
"169","CYM","tour",8.29e+08
"170","CYP","aqf",9408
"171","CYP","cf",35919697.83808
"172","CYP","mar",50496628.07466
"173","CYP","mmw",5516.26
"174","CYP","og",0
"175","CYP","tour",4.465e+09
"176","DEU","aqf",1121588.65248282
"177","DEU","cf",2148845896.512
"178","DEU","mar",15387557.04
"179","DEU","mmw",0
"180","DEU","og",1404667871.18
"181","DEU","tour",1.53864e+11
"182","DJI","aqf",11143776
"183","DJI","cf",9118637.223584
"184","DJI","og",0
"185","DMA","cf",3343747.634752
"186","DMA","mmw",1814024.39
