"","cntry_key","sector","ref_year"
"1","AIA","ph",1995
"2","AIA","tour",1997
"3","AIA","tran",1995
"4","ARG","sb",2003
"5","AUS","ph",2000
"6","AUS","sb",2000
"7","AUS","tour",2000
"8","AUS","tran",2000
"9","BEL","cf",1999
"10","BHR","cf",1995
"11","BHR","sb",2000
"12","BHR","tour",2001
"13","BHR","tran",2002
"14","BHS","ph",2000
"15","BHS","tour",2000
"16","BMU","tour",1995
"17","BRA","cf",2001
"18","BRA","ph",2001
"19","BRA","tour",1999
"20","BRA","tran",1999
"21","CAN","cf",2003
"22","CAN","ph",2002
"23","CAN","sb",1997
"24","CAN","tour",2003
"25","CHN","cf",2004
"26","CHN","ph",2004
"27","CHN","tour",2003
"28","CHN","tran",2004
"29","CIV","cf",1994
"30","CIV","ph",1996
"31","CIV","tour",1996
"32","CIV","tran",1996
"33","CRI","cf",2003
"34","CRI","ph",2003
"35","CRI","sb",2003
"36","CRI","tour",2003
"37","CRI","tran",2003
"38","CYP","tour",2001
"39","CYP","tran",2001
"40","DEU","cf",2002
"41","DEU","ph",2003
"42","DEU","sb",2003
"43","DEU","tour",2003
"44","DEU","tran",2003
"45","DNK","sb",2003
"46","DNK","tour",2003
"47","DNK","tran",2003
"48","EGY","ph",1995
"49","EGY","tour",1995
"50","EGY","tran",1995
"51","ERI","ph",1993
"52","ERI","tour",1993
"53","ERI","tran",1993
"54","FIN","sb",2002
"55","FIN","tour",2002
"56","FIN","tran",1997
"57","GBR","cf",2003
"58","GBR","ph",2003
"59","GBR","sb",2003
"60","GBR","tour",2003
"61","GBR","tran",2003
"62","GHA","cf",2006
"63","GHA","ph",2006
"64","GHA","sb",2006
"65","GHA","tour",2006
"66","GHA","tran",2006
"67","GUY","cf",1999
"68","GUY","sb",1999
"69","GUY","tour",2000
"70","GUY","tran",1998
"71","IDN","cf",2005
"72","IDN","ph",2005
"73","IDN","sb",2005
"74","IDN","tour",2005
"75","IDN","tran",2005
"76","IND","cf",1993
"77","IND","tour",1996
"78","ISL","sb",1998
"79","ITA","ph",2003
"80","ITA","sb",2003
"81","ITA","tour",2003
"82","ITA","tran",2003
"83","JOR","ph",2003
"84","JOR","sb",2003
"85","JOR","tour",2001
"86","JOR","tran",2005
"87","JPN","ph",1995
"88","JPN","tour",2003
"89","KHM","tour",1996
"90","KNA","tour",1999
"91","KOR","cf",2001
"92","KOR","ph",2001
"93","KOR","sb",2001
"94","KOR","tour",2001
"95","KOR","tran",2001
"96","LKA","tour",1995
"97","LTU","cf",1995
"98","LTU","ph",2002
"99","LTU","sb",1995
"100","LTU","tour",2000
"101","LTU","tran",2000
"102","LVA","cf",2001
"103","LVA","ph",1997
"104","LVA","sb",2001
"105","LVA","tour",2001
"106","LVA","tran",2001
"107","MDG","ph",1998
"108","MDG","sb",1998
"109","MDG","tour",2000
"110","MEX","cf",2003
"111","MEX","ph",1999
"112","MEX","tour",2003
"113","MEX","tran",2000
"114","MMR","cf",1999
"115","MMR","ph",2002
"116","MMR","sb",1999
"117","MMR","tour",1999
"118","MMR","tran",2002
"119","MUS","cf",2003
"120","MUS","ph",2003
"121","MUS","tour",2003
"122","MYS","tour",2001
"123","NIC","ph",1997
"124","NIC","tour",1997
"125","NOR","tour",2006
"126","NOR","tran",2006
"127","PAK","cf",2002
"128","PAK","ph",2002
"129","PAK","sb",2002
"130","PAK","tour",1999
"131","PAK","tran",2002
"132","PER","cf",2001
"133","PER","ph",1997
"134","PER","sb",2002
"135","PER","tour",2002
"136","PER","tran",1999
"137","PHL","ph",2002
"138","PHL","sb",2002
"139","PHL","tour",2002
"140","PHL","tran",2002
"141","POL","cf",1996
"142","POL","ph",2001
"143","POL","sb",2001
"144","POL","tour",2001
"145","POL","tran",2001
"146","PRI","tour",2003
"147","PRT","cf",2002
"148","PRT","ph",2002
"149","PRT","tour",2002
"150","PRT","tran",2002
"151","ROU","cf",2003
"152","ROU","ph",2003
"153","ROU","sb",2003
"154","ROU","tour",2003
"155","ROU","tran",2003
"156","RUS","tour",2004
"157","RUS","tran",2004
"158","SGP","ph",2001
"159","SGP","sb",1995
"160","SGP","tour",2002
"161","SGP","tran",2001
"162","SHN","cf",2005
"163","SHN","tour",2001
"164","SHN","tran",1999
"165","SLV","ph",2003
"166","SLV","tour",2003
"167","THA","ph",2005
"168","THA","sb",2005
"169","THA","tour",2005
"170","THA","tran",2005
"171","Trindade","cf",2001
"172","Trindade","ph",2001
"173","Trindade","tour",1999
"174","Trindade","tran",1999
"175","TTO","cf",1996
"176","TTO","ph",1996
"177","TTO","sb",1996
"178","TTO","tour",1996
"179","TTO","tran",1996
"180","TWN","tour",2003
"181","USA","ph",2002
"182","USA","sb",2002
"183","USA","tour",2002
"184","USA","tran",2002
"185","VCT","ph",1998
"186","VCT","tour",1998
"187","VEN","ph",1997
"188","VEN","tour",1997
"189","VEN","tran",1997
"190","VIR","tour",2003
"191","WSM","tour",2002
