"","cntry_key","sector","cur_base_value"
"1","ABW","cf",1363.98458
"2","ABW","mar",2.3262817194
"3","ABW","tour",36400
"4","AGO","cf",65666.472312
"5","AGO","tour",6678.58700947
"6","AIA","cf",383.6675892
"7","AIA","tour",3900
"8","ALB","cf",8166.388412
"9","ALB","mar",1345.60264795934
"10","ALB","tour",104529.506166
"11","ANT","mmw",0
"12","ANT","tour",18600
"13","ARE","cf",51678.747876
"14","ARE","mar",291.6
"15","ARE","tour",104797.678395
"16","ARG","cf",57732.837232
"17","ARG","mmw",704.1072
"18","ARG","tour",109852.002086
"19","ASM","cf",154.0426622
"20","ASM","mar",2.2431580784962
"21","ASM","mmw",0
"22","ATA","mmw",84
"23","ATG","cf",2112.299056
"24","ATG","mar",0.931644476468955
"25","ATG","mmw",0
"26","ATG","tour",19200
"27","AUS","cf",9134.9426
"28","AUS","mar",21903.71950134
"29","AUS","tour",193760.840876
"30","Azores","mmw",46
"31","BEL","cf",959.4192454
"32","BEL","tour",48240.2058727
"33","BEN","cf",71486.556974
"34","BEN","mmw",0
"35","BEN","tour",3712.47770619
"36","BGD","cf",4600527.0283196
"37","BGD","mmw",0
"38","BGD","tour",657293.855076
"39","BGR","tour",42148.1502504
"40","BHR","cf",15825.349533
"41","BHR","mar",310.554
"42","BHR","mmw",25.670575
"43","BHR","tour",78500
"44","BHS","mmw",7.33445
"45","BHS","tour",86600
"46","BIH","tour",8224.56235229
"47","BLZ","cf",5673.675308
"48","BLZ","mmw",0
"49","BLZ","tour",23623.4984327
"50","BMU","cf",458.9995816
"51","BMU","mmw",0
"52","BMU","tour",9300
"53","BRA","mmw",594.09045
"54","BRA","tour",319687.483978
"55","BRB","cf",5616.738337
"56","BRB","tour",63300
"57","BRN","cf",755.822648
"58","BRN","mar",127.8436894983
"59","BRN","tour",8487.81070815
"60","CAN","cf",61546.988608
"61","CAN","tour",289748.450708
"62","CAN","wte",16.3466
"63","Canary Islands","mmw",576
"64","CHL","cf",177110.269308
"65","CHL","mmw",36.67225
"66","CHL","tour",269935.179586
"67","CHN","cf",4555348.104944
"68","CHN","mar",6459117.54597927
"69","CHN","mmw",1045.159125
"70","CHN","tour",2003709.61375
"71","CIV","cf",15561.937832
"72","CIV","tour",13003.7545951
"73","CMR","cf",37540.86
"74","CMR","tour",8336.55999946
"75","COD","cf",304376.4125682
"76","COD","mar",0
"77","COD","tour",255.600906227
"78","COG","cf",26278.602
"79","COG","tour",296.511647602
"80","COK","cf",51.931523
"81","COK","mmw",25.670575
"82","COL","mmw",22.00335
"83","COL","tour",71188.0003087
"84","COM","cf",14109.10655
"85","COM","tour",7700
"86","CPV","cf",12055.621508
"87","CPV","tour",40600
"88","CRI","mmw",187.028475
"89","CRI","tour",144628.241694
"90","CUB","cf",12383.478352
"91","CUB","mar",4287.64562132422
"92","CUB","tour",457198.451692
"93","CYM","tour",7800
"94","CYP","cf",1896.1888386
"95","CYP","mar",2153.334988494
"96","CYP","mmw",0
"97","CYP","tour",68138.2055363
"98","DEU","cf",3971.822988
"99","DEU","mmw",0
"100","DEU","tour",233318.222785
"101","DMA","cf",2025.7048056
"102","DMA","mmw",25.670575
"103","DMA","tour",8600
"104","DNK","cf",2626.608838
"105","DNK","mar",520.5912233805
"106","DNK","mmw",0
"107","DNK","tour",332474.182459
"108","DOM","cf",23677.1455382
"109","DOM","mmw",51.34115
"110","DOM","tour",456018.169095
"111","DZA","tour",12440.649265
"112","ECU","cf",58018.147768
"113","ECU","mar",137929.354050876
"114","ECU","mmw",110.01675
"115","ECU","tour",47034.7166721
"116","EGY","cf",992431.6765944
"117","EGY","mar",159367.674901766
"118","EGY","mmw",121.018425
"119","EGY","tour",393483.360562
"120","ESP","cf",42605.4974226
"121","ESP","mar",49287.9055653
"122","ESP","mmw",315.38135
"123","ESP","tour",496999.033548
"124","EST","cf",6991.359494
"125","EST","mar",0
"126","EST","tour",38271.9868143
"127","FIN","cf",2787.9093998
"128","FIN","mar",3883.089062097
"129","FIN","tour",30315.5296549
"130","FJI","cf",3366.16378
"131","FJI","mmw",0
"132","FJI","tour",77400
"133","FLK","cf",1902.07024
"134","FLK","mar",14.58
"135","FLK","mmw",0
"136","FRA","cf",29588.3293538
"137","FRA","mar",60884.04102345
"138","FRA","mmw",22.00335
"139","FRA","tour",490980.670481
"140","FRA","wte",204.9952
"141","FSM","mmw",0
"142","GAB","cf",8267.4984616
"143","GAB","mmw",0
"144","GAB","tour",1227.21591131
"145","GBR","cf",26890.2677456
"146","GBR","mar",17187.97727754
"147","GBR","mmw",1125.838075
"148","GBR","tour",1762457.76101
"149","GEO","mmw",0
"150","GHA","cf",639123.130604
"151","GHA","mar",0
"152","GHA","tour",25438.240028
"153","GIB","mmw",41
"154","GIN","tour",7678.06172605
"155","GLP","cf",2256.9565032
"156","GLP","tour",19700
"157","GMB","cf",10936.6536076
"158","GMB","mmw",33.005025
