"","cntry_key","sector","cur_adj_value"
"1","ARG","sb",1
"2","AUS","ph",1
"3","AUS","sb",1
"4","AUS","tour",1
"5","AUS","tran",1
"6","BEL","cf",1
"7","BHR","sb",1
"8","BHR","tour",1
"9","BHR","tran",1
"10","BHS","ph",1
"11","BHS","tour",1
"12","BRA","cf",1
"13","BRA","ph",1
"14","BRA","tour",1
"15","CAN","cf",1
"16","CAN","ph",1
"17","CAN","tour",1
"18","CHN","cf",1
"19","CHN","ph",1
"20","CHN","tour",1
"21","CHN","tran",1
"22","CIV","cf",1
"23","CIV","ph",1
"24","CIV","tour",1
"25","CIV","tran",1
"26","CRI","cf",1
"27","CRI","ph",1
"28","CRI","sb",1
"29","CRI","tour",1
"30","CRI","tran",1
"31","CYP","tour",1
"32","CYP","tran",1
"33","DEU","cf",1
"34","DEU","ph",1
"35","DEU","sb",1
"36","DEU","tour",1
"37","DEU","tran",1
"38","DNK","sb",1
"39","DNK","tour",1
"40","DNK","tran",1
"41","FIN","sb",1
"42","FIN","tour",1
"43","FIN","tran",1
"44","GBR","cf",1
"45","GBR","ph",1
"46","GBR","sb",1
"47","GBR","tour",1
"48","GBR","tran",1
"49","GUY","tour",1
"50","IND","tour",1
"51","ITA","ph",1
"52","ITA","sb",1
"53","ITA","tour",1
"54","ITA","tran",1
"55","JOR","ph",1
"56","JOR","sb",1
"57","JOR","tour",1
"58","JOR","tran",1
"59","JPN","tour",1
"60","KHM","tour",1
"61","KOR","cf",1
"62","KOR","ph",1
"63","KOR","sb",1
"64","KOR","tour",1
"65","KOR","tran",1
"66","LTU","ph",1
"67","LTU","sb",1
"68","LTU","tour",1
"69","LTU","tran",1
"70","LVA","cf",1
"71","LVA","ph",1
"72","LVA","sb",1
"73","LVA","tour",1
"74","LVA","tran",1
"75","MDG","tour",1
"76","MEX","cf",1
"77","MEX","ph",1
"78","MEX","tour",1
"79","MEX","tran",1
"80","MMR","cf",1
"81","MMR","ph",1
"82","MMR","sb",1
"83","MMR","tour",1
"84","MMR","tran",1
"85","MUS","cf",1
"86","MUS","ph",1
"87","MUS","tour",1
"88","NIC","ph",1
"89","NIC","tour",1
"90","NOR","tour",1
"91","NOR","tran",1
"92","PAK","cf",1
"93","PAK","ph",1
"94","PAK","sb",1
"95","PAK","tour",1
"96","PAK","tran",1
"97","PER","cf",1
"98","PER","sb",1
"99","PER","tour",1
"100","PER","tran",1
"101","PHL","ph",1
"102","PHL","sb",1
"103","PHL","tour",1
"104","PHL","tran",1
"105","POL","cf",1
"106","POL","ph",1
"107","POL","sb",1
"108","POL","tour",1
"109","POL","tran",1
"110","PRI","tour",1
"111","PRT","cf",1
"112","PRT","ph",1
"113","PRT","tour",1
"114","PRT","tran",1
"115","ROU","cf",1
"116","ROU","ph",1
"117","ROU","sb",1
"118","ROU","tour",1
"119","ROU","tran",1
"120","RUS","tour",1
"121","RUS","tran",1
"122","SGP","ph",1
"123","SGP","tour",1
"124","SGP","tran",1
"125","SHN","cf",1
"126","SHN","tour",1
"127","SLV","ph",1
"128","SLV","tour",1
"129","THA","ph",1
"130","THA","sb",1
"131","THA","tour",1
"132","Trindade","cf",1
"133","Trindade","ph",1
"134","Trindade","tour",1
"135","USA","ph",1
"136","USA","sb",1
"137","USA","tour",1
"138","USA","tran",1
"139","VCT","ph",1
"140","VCT","tour",1
"141","VEN","tour",1
"142","VIR","tour",1
"143","WSM","tour",1
