"target","layer","name","description","citation_2012n","citation_2013a","fld_value","units","dir_2012a","fn_2012a","dir_2013a","fn_2013a"
"LE","le_2012_status_model_curref_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_cur_base_value.csv",,
"LE","le_2012_status_model_curref_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_ref_base_value.csv",,
"LE","le_2012_status_model_curref_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_cur_adj_value.csv",,
"LE","le_2012_status_model_curref_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_ref_adj_value.csv",,
"LE","le_2012_status_model_curref_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_cur_base_value.csv",,
"LE","le_2012_status_model_curref_rev_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_ref_base_value.csv",,
"LE","le_2012_status_model_curref_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_cur_adj_value.csv",,
"LE","le_2012_status_model_curref_rev_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_ref_adj_value.csv",,
"LE","le_2012_status_model_curref_wage_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_cur_base_value.csv",,
"LE","le_2012_status_model_curref_wage_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_ref_base_value.csv",,
"LE","le_2012_status_model_curref_wage_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_cur_adj_value.csv",,
"LE","le_2012_status_model_curref_wage_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_ref_adj_value.csv",,
"LE","le_2013_status_model_curref_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,"Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_base_value.csv"
"LE","le_2013_status_model_curref_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,"Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_base_value.csv"
"LE","le_2013_status_model_curref_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,"Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_adj_value.csv"
"LE","le_2013_status_model_curref_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,"Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_adj_value.csv"
"LE","le_2013_status_model_curref_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,"Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_base_value.csv"
"LE","le_2013_status_model_curref_rev_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,"Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_base_value.csv"
"LE","le_2013_status_model_curref_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,"Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_adj_value.csv"
"LE","le_2013_status_model_curref_rev_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,"Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_adj_value.csv"
