"","cntry_key","sector","ref_adj_value"
"1","ABW","cf",10288207336.6
"2","ABW","og",10321800655.5
"3","ABW","tour",10321800655.5
"4","AGO","cf",6670024587
"5","AGO","og",18954402780
"6","AGO","tour",43784512970
"7","AIA","tour",14589005800.8362
"8","Alaska","aqf",80476807180.2758
"9","Alaska","tour",96625436159.3412
"10","ALB","aqf",7464446950
"11","ALB","cf",4449373456
"12","ALB","mar",4449373456
"13","ALB","og",7464446950
"14","ALB","tour",9132562332
"15","ANT","aqf",49152912338.2132
"16","ANT","cf",44998754281
"17","ANT","mmw",35298806560
"18","ANT","og",49152912338.2132
"19","ANT","tour",49152912338.2132
"20","ARE","aqf",1.24346e+11
"21","ARE","cf",1.09816e+11
"22","ARE","mar",1.24346e+11
"23","ARE","og",1.47824e+11
"24","ARE","tour",2.22106e+11
"25","ARG","aqf",1.29597e+11
"26","ARG","cf",1.0204e+11
"27","ARG","mar",1.83193e+11
"28","ARG","mmw",2.98948e+11
"29","ARG","og",1.53129e+11
"30","ARG","tour",2.14066e+11
"31","ASM","mmw",232957698.223333
"32","ASM","og",212279158.58
"33","ATA","mmw",NA
"34","ATA","og",NA
"35","ATG","aqf",806505874.3
"36","ATG","cf",806505874.3
"37","ATG","mmw",620037014.2
"38","ATG","og",905113766.5
"39","ATG","tour",1141418340
"40","AUS","aqf",4.6646e+11
"41","AUS","cf",3.95013e+11
"42","AUS","mmw",4.6646e+11
"43","AUS","og",6.11386e+11
"44","AUS","tour",7.44836e+11
"45","Azores","mmw",237895536749.333
"46","BEL","aqf",3.1169e+11
"47","BEL","cf",2.52795e+11
"48","BEL","og",3.61683e+11
"49","BEL","tour",3.99966e+11
"50","BEN","cf",2268301645
"51","BEN","mmw",2455092688
"52","BEN","og",4050869968
"53","BEN","tour",4705087452
"54","BGD","aqf",46987842847
"55","BGD","cf",47571130071
"56","BGD","mar",68415421373
"57","BGD","mmw",44091754148
"58","BGD","og",56560744012
"59","BGD","tour",61901116736
"60","BGR","aqf",20668176834
"61","BGR","cf",15979194511
"62","BGR","mar",28895083540
"63","BGR","og",25283228366
"64","BGR","tour",33209188739
"65","BHR","cf",8491183201
"66","BHR","mmw",6183941092
"67","BHR","og",11235671061
"68","BHR","tour",15854942951
"69","BHS","cf",6957996000
"70","BHS","mar",6957996000
"71","BHS","mmw",5353524000
"72","BHS","og",7094413000
"73","BHS","tour",7965588000
"74","BIH","cf",6651226179
"75","BIH","mar",10948051122
"76","BIH","og",10022840635
"77","BIH","tour",12400102623
"78","BLZ","aqf",988199088.3
"79","BLZ","cf",932676403.2
"80","BLZ","mar",654198121.1
"81","BLZ","mmw",688872472.7
"82","BLZ","og",1056303706
"83","BLZ","tour",1213104430
"84","BMU","cf",2932827000
"85","BMU","mmw",3130748000
"86","BMU","og",4484703000
"87","BMU","tour",5414229000
"88","BRA","aqf",5.52469e+11
"89","BRA","cf",5.04221e+11
"90","BRA","mar",8.712e+11
"91","BRA","mmw",8.43827e+11
"92","BRA","og",6.6376e+11
"93","BRA","tour",1.08892e+12
"94","BRB","aqf",2558850048
"95","BRB","cf",2476105824
"96","BRB","og",2.824e+09
"97","BRB","tour",3190900000
"98","BRN","aqf",81510712071.8
"99","BRN","cf",77279325378.1
"100","BRN","mar",91333200179.2
"101","BRN","og",90365953110.6
"102","BRN","tour",90365953110.6
"103","CAN","aqf",8.65873e+11
"104","CAN","cf",7.34662e+11
"105","CAN","mar",6.37536e+11
"106","CAN","mmw",6.16766e+11
"107","CAN","og",9.92226e+11
"108","CAN","tour",1.27861e+12
"109","CAN","wte",7.15424e+11
"110","Canary Islands","mmw",237895536749.333
"111","CHL","aqf",79246700238.7981
"112","CHL","cf",70911247150.4976
"113","CHL","mar",82723451252.8792
"114","CHL","mmw",79291610618.0683
"115","CHL","og",100527056371.965
"116","CHL","tour",154252504978.664
"117","CHN","aqf",1810271208510
"118","CHN","cf",1627187026539
"119","CHN","mar",1627187026539
"120","CHN","mmw",1194532475688
"121","CHN","og",2110998324479
"122","CHN","tour",2921053828106
"123","CIV","aqf",12782570246
"124","CIV","cf",11486664265
"125","CIV","mar",11722213507
"126","CIV","og",15481092597
"127","CIV","tour",17367303156
"128","CMR","cf",10879778328
"129","CMR","og",15775356737
"130","CMR","tour",17953103009
"131","COD","aqf",5670128142
"132","COD","cf",5544467552
"133","COD","og",6511032844
"134","COD","tour",8823784633
"135","COG","aqf",3495868725
"136","COG","og",4648628840
"137","COG","tour",7731261169
"138","COK","aqf",176078465.976667
"139","COK","mar",232957698.223333
"140","COK","mmw",232957698.223333
"141","COK","og",212279158.58
"142","COL","aqf",94684582573
"143","COL","cf",97933392356
