"","cntry_key","sector","cur_base_value"
"1","ARG","sb",10197.0180065883
"2","AUS","ph",24129.6713630699
"3","AUS","sb",25532.9610710471
"4","AUS","tour",82535.3440504808
"5","AUS","tran",125556.337362002
"6","BEL","cf",16123.7410412216
"7","BHR","sb",7516.11258569266
"8","BHR","tour",15493.165105836
"9","BHR","tran",4369.83409566417
"10","BHS","ph",12635.9870236822
"11","BHS","tour",47675.0008346688
"12","BRA","cf",2517.83843733307
"13","BRA","ph",2329.30170912349
"14","BRA","tour",4550.25062669716
"15","CAN","cf",35464.5265758547
"16","CAN","ph",34343.040531517
"17","CAN","tour",78447.2197182159
"18","CHN","cf",1918.96409254808
"19","CHN","ph",2004.84125294916
"20","CHN","tour",61937.46869992
"21","CHN","tran",4027.52928991943
"22","CIV","cf",3062.92411608574
"23","CIV","ph",1019.43900170829
"24","CIV","tour",3429.78957303909
"25","CIV","tran",3996.40005606193
"26","CRI","cf",6636.43913595086
"27","CRI","ph",6159.51842392273
"28","CRI","sb",3949.36933816329
"29","CRI","tour",14280.7436342593
"30","CRI","tran",5800.30792323273
"31","CYP","tour",72822.7191283831
"32","CYP","tran",86071.6173655626
"33","DEU","cf",28407.4936565172
"34","DEU","ph",46644.9040687322
"35","DEU","sb",40064.1415153134
"36","DEU","tour",121454.571759259
"37","DEU","tran",195041.800213675
"38","DNK","sb",67350.5664618946
"39","DNK","tour",197022.84210292
"40","DNK","tran",214452.646456553
"41","FIN","sb",30665.192085114
"42","FIN","tour",103254.977408297
"43","FIN","tran",50176.0998152599
"44","GBR","cf",58597.1777065527
"45","GBR","ph",39907.1625712251
"46","GBR","sb",40804.4343171295
"47","GBR","tour",98014.0544315347
"48","GBR","tran",153481.793091168
"49","GUY","tour",4925.69474005631
"50","IND","tour",1689.72413152711
"51","ITA","ph",22317.0086026531
"52","ITA","sb",20167.0645254631
"53","ITA","tour",77202.9970174502
"54","ITA","tran",92596.7909766739
"55","JOR","ph",3446.82081608351
"56","JOR","sb",3305.80769508992
"57","JOR","tour",8936.68550235934
"58","JOR","tran",24055.893596421
"59","JPN","tour",45006.0819533475
"60","KHM","tour",3067.26256802551
"61","KOR","cf",32026.1863425926
"62","KOR","ph",15542.2996238426
"63","KOR","sb",15173.1576077278
"64","KOR","tour",49811.8100071225
"65","KOR","tran",58101.41365073
"66","LTU","ph",2500.31039246127
"67","LTU","sb",4205.12820512821
"68","LTU","tour",5535.73477981437
"69","LTU","tran",8340.97750845797
"70","LVA","cf",3181.61697605058
"71","LVA","ph",1015.04264462028
"72","LVA","sb",3999.58197004096
"73","LVA","tour",13044.3452579683
"74","LVA","tran",14337.5720597401
"75","MDG","tour",1573.86558076255
"76","MEX","cf",8682.74447449252
"77","MEX","ph",2841.5696016404
"78","MEX","tour",10763.7516902043
"79","MEX","tran",15117.7808104078
"80","MMR","cf",16136.5379050926
"81","MMR","ph",60525.0122418091
"82","MMR","sb",8068.26895254631
"83","MMR","tour",33398.8805700232
"84","MMR","tran",419640.152021011
"85","MUS","cf",2425.93079482728
"86","MUS","ph",8346.48910478988
"87","MUS","tour",9913.24000344995
"88","NIC","ph",912.226663355814
"89","NIC","tour",5278.1752887954
"90","NOR","tour",30896.0280893875
"91","NOR","tran",95590.9232549858
"92","PAK","cf",2627.31429314682
"93","PAK","ph",680.556511946893
"94","PAK","sb",590.008249310007
"95","PAK","tour",2466.25794848146
"96","PAK","tran",4889.38603849492
"97","PER","cf",4279.34104289085
"98","PER","sb",4331.50401753916
"99","PER","tour",8062.42331480369
"100","PER","tran",5006.81124521457
"101","PHL","ph",1919.06338335782
"102","PHL","sb",1918.65717787349
"103","PHL","tour",6939.29471181669
"104","PHL","tran",7028.567583133
"105","POL","cf",7931.03757678954
"106","POL","ph",7946.32801371083
"107","POL","sb",5366.42690805289
"108","POL","tour",15621.6147224448
"109","POL","tran",27852.394386574
"110","PRI","tour",56355.5605635685
"111","PRT","cf",21745.6722422543
"112","PRT","ph",18383.3633814103
"113","PRT","tour",33176.4051649306
"114","PRT","tran",40424.1139990651
"115","ROU","cf",2511.30576283164
"116","ROU","ph",6792.03948539886
"117","ROU","sb",5945.93502381589
"118","ROU","tour",13534.4770382613
"119","ROU","tran",15823.5757072427
"120","RUS","tour",10643.9132473068
"121","RUS","tran",5419.23257767984
"122","SGP","ph",5539.16509470708
"123","SGP","tour",35286.797069756
"124","SGP","tran",6747.27689302884
"125","SHN","cf",39070.5336872329
"126","SHN","tour",13813.3164104234
"127","SLV","ph",1686.66428786058
"128","SLV","tour",13188.1473899907
"129","THA","ph",1934.76246021412
"130","THA","sb",2559.57674640536
"131","THA","tour",12139.2761404358
"132","Trindade","cf",0
"133","Trindade","ph",0
"134","Trindade","tour",0
"135","USA","ph",36774.2220886752
"136","USA","sb",35655.7686743235
"137","USA","tour",38298.7961293625
"138","USA","tran",110409.537203971
"139","VCT","ph",9726.55415331197
"140","VCT","tour",13473.8477397169
"141","VEN","tour",7186.41388721954
"142","VIR","tour",56355.5605635685
"143","WSM","tour",25946.538419805
