"","cntry_key","sector","ref_year"
"1","ABW","cf",2003
"2","ABW","mar",2003
"3","ABW","tour",2005
"4","AGO","cf",1995
"5","AGO","tour",2005
"6","AIA","cf",2003
"7","AIA","tour",2005
"8","ALB","cf",2003
"9","ALB","mar",2003
"10","ALB","tour",2005
"11","ANT","mmw",1998
"12","ANT","tour",2005
"13","ARE","cf",2003
"14","ARE","mar",2004
"15","ARE","tour",2005
"16","ARG","cf",2003
"17","ARG","mmw",1998
"18","ARG","tour",2005
"19","ASM","cf",1999
"20","ASM","mar",1999
"21","ASM","mmw",2005
"22","ATA","mmw",1998
"23","ATG","cf",2003
"24","ATG","mar",2003
"25","ATG","mmw",1998
"26","ATG","tour",2005
"27","AUS","cf",2002
"28","AUS","mar",1999
"29","AUS","tour",2005
"30","Azores","mmw",1998
"31","BEL","cf",2003
"32","BEL","tour",2005
"33","BEN","cf",2003
"34","BEN","mmw",1998
"35","BEN","tour",2005
"36","BGD","cf",2003
"37","BGD","mmw",1998
"38","BGD","tour",2005
"39","BGR","tour",2005
"40","BHR","cf",2002
"41","BHR","mar",2002
"42","BHR","mmw",1998
"43","BHR","tour",2005
"44","BHS","mmw",1998
"45","BHS","tour",2005
"46","BIH","tour",2005
"47","BLZ","cf",2003
"48","BLZ","mmw",1998
"49","BLZ","tour",2005
"50","BMU","cf",2003
"51","BMU","mmw",1998
"52","BMU","tour",2005
"53","BRA","mmw",1998
"54","BRA","tour",2005
"55","BRB","cf",1996
"56","BRB","tour",2005
"57","BRN","cf",2003
"58","BRN","mar",1998
"59","BRN","tour",2005
"60","CAN","cf",1999
"61","CAN","tour",2005
"62","CAN","wte",2005
"63","Canary Islands","mmw",1998
"64","CHL","cf",2003
"65","CHL","mmw",1998
"66","CHL","tour",2005
"67","CHN","cf",2003
"68","CHN","mar",2003
"69","CHN","mmw",1998
"70","CHN","tour",2005
"71","CIV","cf",1999
"72","CIV","tour",2005
"73","CMR","cf",2000
"74","CMR","tour",2005
"75","COD","cf",2001
"76","COD","mar",1998
"77","COD","tour",2005
"78","COG","cf",1995
"79","COG","tour",2005
"80","COK","cf",1996
"81","COK","mmw",2005
"82","COL","mmw",1998
"83","COL","tour",2005
"84","COM","cf",2000
"85","COM","tour",2005
"86","CPV","cf",2002
"87","CPV","tour",2005
"88","CRI","mmw",1998
"89","CRI","tour",2005
"90","CUB","cf",2004
"91","CUB","mar",2004
"92","CUB","tour",2005
"93","CYM","tour",2005
"94","CYP","cf",2003
"95","CYP","mar",2003
"96","CYP","mmw",1998
"97","CYP","tour",2005
"98","DEU","cf",2003
"99","DEU","mmw",1998
"100","DEU","tour",2005
"101","DMA","cf",2002
"102","DMA","mmw",1998
"103","DMA","tour",2005
"104","DNK","cf",2003
"105","DNK","mar",2003
"106","DNK","mmw",1998
"107","DNK","tour",2005
"108","DOM","cf",2004
"109","DOM","mmw",1998
"110","DOM","tour",2005
"111","DZA","tour",2005
"112","ECU","cf",1997
"113","ECU","mar",2004
"114","ECU","mmw",1998
"115","ECU","tour",2005
"116","EGY","cf",1994
"117","EGY","mar",1996
"118","EGY","mmw",1998
"119","EGY","tour",2005
"120","ERI","mmw",1998
"121","ESP","cf",2001
"122","ESP","mar",2001
"123","ESP","mmw",1998
"124","ESP","tour",2005
"125","EST","cf",2003
"126","EST","mar",2003
"127","EST","tour",2005
"128","FIN","cf",2003
"129","FIN","mar",2003
"130","FIN","tour",2005
"131","FJI","cf",2003
"132","FJI","mmw",2005
"133","FJI","tour",2005
"134","FLK","cf",2003
"135","FLK","mar",2003
"136","FLK","mmw",1998
"137","FRA","cf",2002
"138","FRA","mar",2001
"139","FRA","mmw",1998
"140","FRA","tour",2005
"141","FRA","wte",2003
"142","FSM","mmw",2005
"143","GAB","cf",2002
"144","GAB","mmw",1998
"145","GAB","tour",2005
"146","GBR","cf",2001
"147","GBR","mar",2005
"148","GBR","mmw",1998
"149","GBR","tour",2005
"150","GEO","mmw",1998
"151","GHA","cf",1995
"152","GHA","mar",1995
"153","GHA","tour",2005
"154","GIB","mmw",1998
"155","GIN","tour",2005
"156","GLP","cf",2003
"157","GLP","tour",2005
"158","GMB","cf",1998
"159","GMB","mmw",1998
"160","GMB","tour",2005
"161","GNQ","cf",2000
"162","GNQ","mar",2000
"163","GRC","cf",2003
"164","GRC","mar",2003
"165","GRC","mmw",1998
"166","GRC","tour",2005
"167","GRD","cf",2003
"168","GRD","mmw",1998
"169","GRD","tour",2005
"170","GRL","mmw",1998
"171","GTM","cf",2003
"172","GTM","mar",2003
"173","GTM","mmw",1998
"174","GTM","tour",2005
"175","GUF","cf",2003
"176","GUM","cf",2006
"177","GUM","mar",2006
"178","GUM","mmw",2005
"179","GUY","cf",2003
"180","GUY","mar",2003
"181","GUY","tour",2005
"182","HKG","cf",2003
"183","HKG","mar",2003
"184","HKG","mmw",2004
"185","HKG","tour",2005
"186","HND","cf",2002
"187","HND","mar",1998
"188","HND","mmw",1998
"189","HND","tour",2005
"190","HRV","cf",2003
"191","HRV","mmw",1998
"192","HRV","tour",2005
"193","HTI","tour",2005
"194","IDN","cf",2003
"195","IDN","mar",2001
"196","IDN","mmw",1998
"197","IDN","tour",2005
"198","IND","cf",2003
"199","IND","mar",2003
"200","IND","mmw",1998
"201","IND","tour",2005
"202","IRL","mmw",1998
"203","IRL","tour",2005
"204","IRN","cf",2003
"205","IRN","mar",2003
"206","IRN","tour",2005
"207","IRQ","cf",2003
"208","ISL","cf",2003
"209","ISL","mmw",1998
"210","ISL","tour",2005
"211","ISR","tour",2005
"212","ITA","mmw",1998
"213","ITA","tour",2005
"214","JAM","cf",2002
"215","JAM","mmw",1998
"216","JAM","tour",2005
"217","JOR","cf",2003
"218","JOR","mar",2003
"219","JOR","tour",2005
"220","JPN","cf",2002
"221","JPN","mmw",1998
"222","JPN","tour",2005
"223","KEN","cf",2003
"224","KEN","mar",2003
"225","KEN","mmw",1998
"226","KEN","tour",2005
"227","KHM","mar",1998
"228","KHM","tour",2005
"229","KIR","cf",2005
"230","KIR","tour",2005
"231","KNA","cf",1997
"232","KNA","mmw",1998
"233","KNA","tour",2005
"234","KOR","cf",2003
"235","KOR","mar",2003
"236","KOR","tour",2005
"237","KWT","tour",2005
"238","LBN","cf",2001
"239","LBN","mar",2001
"240","LBN","tour",2005
"241","LBR","cf",2004
"242","LBR","mar",2004
"243","LBY","tour",2005
"244","LCA","cf",2003
"245","LCA","mar",2003
"246","LCA","mmw",1998
"247","LCA","tour",2005
"248","LKA","cf",2003
"249","LKA","mar",2003
"250","LKA","mmw",1998
"251","LKA","tour",2005
"252","LTU","cf",2003
"253","LTU","mar",2003
"254","LTU","tour",2005
"255","LVA","cf",2003
"256","LVA","mar",2003
"257","LVA","tour",2005
"258","MAR","cf",2003
"259","MAR","mmw",1998
"260","MAR","tour",2005
"261","MDG","cf",2003
"262","MDG","mar",2003
"263","MDG","mmw",1998
"264","MDG","tour",2005
"265","MDV","cf",2003
"266","MDV","mmw",1998
"267","MDV","tour",2005
"268","MEX","cf",2003
"269","MEX","mar",2003
"270","MEX","mmw",1998
"271","MEX","tour",2005
"272","MLT","cf",2003
"273","MLT","mar",2003
"274","MLT","tour",2005
"275","MMR","cf",2003
"276","MMR","mar",2002
"277","MMR","mmw",1998
"278","MMR","tour",2005
"279","MNE","tour",2005
"280","MOZ","mmw",1998
"281","MOZ","tour",2005
"282","MRT","mmw",1998
"283","MTQ","cf",2003
"284","MTQ","tour",2005
"285","MUS","cf",2003
"286","MUS","mar",2003
"287","MUS","mmw",1998
"288","MUS","tour",2005
"289","MYS","cf",2006
"290","MYS","mar",2006
"291","MYS","mmw",1998
"292","MYS","tour",2005
"293","MYT","cf",2003
"294","MYT","mar",2003
"295","MYT","mmw",1998
"296","NAM","mmw",1998
"297","NAM","tour",2005
"298","NCL","cf",2003
"299","NCL","mmw",2005
"300","NGA","cf",2003
"301","NGA","tour",2005
"302","NIC","cf",2000
"303","NIC","mar",2000
"304","NIC","mmw",1998
"305","NIC","tour",2005
"306","NIU","mmw",2005
"307","NLD","cf",1998
"308","NLD","tour",2005
"309","NOR","cf",2003
"310","NOR","mar",2003
"311","NOR","mmw",1998
"312","NOR","tour",2005
"313","NZL","cf",2003
"314","NZL","mmw",1998
"315","NZL","tour",2005
"316","OMN","cf",2003
"317","OMN","mmw",1998
"318","OMN","tour",2005
"319","PAK","cf",2003
"320","PAK","tour",2005
"321","PAN","cf",2003
"322","PAN","mmw",1998
"323","PAN","tour",2005
"324","PER","cf",2001
"325","PER","mar",2001
"326","PER","mmw",1998
"327","PER","tour",2005
"328","PHL","cf",1995
"329","PHL","mmw",1998
"330","PHL","tour",2005
"331","PLW","cf",2004
"332","PLW","mmw",2005
"333","PNG","mmw",2005
"334","PNG","tour",2005
"335","POL","cf",2003
"336","POL","mar",2003
"337","POL","tour",2005
"338","PRI","cf",1998
"339","PRI","mmw",1998
"340","PRI","tour",2005
"341","PRT","mmw",1998
"342","PRT","tour",2005
"343","PYF","cf",2002
"344","PYF","mar",2002
"345","PYF","mmw",2005
"346","QAT","cf",2003
"347","QAT","tour",2005
"348","REU","cf",2003
"349","REU","mmw",1998
"350","REU","tour",2005
"351","ROU","cf",2001
"352","ROU","mar",2001
"353","ROU","tour",2005
"354","RUS","cf",2000
"355","RUS","mar",2000
"356","RUS","mmw",1998
"357","RUS","tour",2005
"358","SAU","cf",2001
"359","SAU","mar",2001
"360","SAU","tour",2005
"361","SDN","cf",2002
"362","SDN","mar",2002
"363","SDN","tour",2005
"364","SEN","cf",1996
"365","SEN","mmw",1998
"366","SEN","tour",2005
"367","SGP","cf",2003
"368","SGP","mar",2003
"369","SGP","tour",2005
"370","SHN","cf",2003
"371","SLB","mmw",2005
"372","SLB","tour",2005
"373","SLE","tour",2005
"374","SLV","cf",2003
"375","SLV","mar",2003
"376","SLV","tour",2005
"377","SPM","mmw",1998
"378","STP","cf",1997
"379","STP","mmw",1998
"380","STP","tour",2005
"381","SUR","cf",2002
"382","SUR","mar",2003
"383","SUR","mmw",1998
"384","SUR","tour",2005
"385","SVN","cf",1995
"386","SVN","mar",2002
"387","SVN","mmw",1998
"388","SVN","tour",2005
"389","SWE","cf",1999
"390","SWE","tour",2005
"391","SYC","cf",2002
"392","SYC","mar",2002
"393","SYC","mmw",1998
"394","SYC","tour",2005
"395","SYR","cf",2003
"396","SYR","mar",2003
"397","SYR","tour",2005
"398","TCA","cf",2003
"399","TCA","mmw",1998
"400","TGO","cf",2002
"401","TGO","mar",2002
"402","TGO","tour",2005
"403","THA","cf",1990
