"","cntry_key","sector","cur_adj_value"
"1","AIA","ph",1
"2","AIA","tour",1
"3","AIA","tran",1
"4","ARG","sb",1
"5","AUS","ph",1
"6","AUS","sb",1
"7","AUS","tour",1
"8","AUS","tran",1
"9","BEL","cf",1
"10","BHR","cf",1
"11","BHR","sb",1
"12","BHR","tour",1
"13","BHR","tran",1
"14","BHS","ph",1
"15","BHS","tour",1
"16","BMU","tour",1
"17","BRA","cf",1
"18","BRA","ph",1
"19","BRA","tour",1
"20","BRA","tran",1
"21","CAN","cf",1
"22","CAN","ph",1
"23","CAN","sb",1
"24","CAN","tour",1
"25","CHN","cf",1
"26","CHN","ph",1
"27","CHN","tour",1
"28","CHN","tran",1
"29","CIV","cf",1
"30","CIV","ph",1
"31","CIV","tour",1
"32","CIV","tran",1
"33","CRI","cf",1
"34","CRI","ph",1
"35","CRI","sb",1
"36","CRI","tour",1
"37","CRI","tran",1
"38","CYP","tour",1
"39","CYP","tran",1
"40","DEU","cf",1
"41","DEU","ph",1
"42","DEU","sb",1
"43","DEU","tour",1
"44","DEU","tran",1
"45","DNK","sb",1
"46","DNK","tour",1
"47","DNK","tran",1
"48","EGY","ph",1
"49","EGY","tour",1
"50","EGY","tran",1
"51","ERI","ph",1
"52","ERI","tour",1
"53","ERI","tran",1
"54","FIN","sb",1
"55","FIN","tour",1
"56","FIN","tran",1
"57","GBR","cf",1
"58","GBR","ph",1
"59","GBR","sb",1
"60","GBR","tour",1
"61","GBR","tran",1
"62","GHA","cf",1
"63","GHA","ph",1
"64","GHA","sb",1
"65","GHA","tour",1
"66","GHA","tran",1
"67","GUY","cf",1
"68","GUY","sb",1
"69","GUY","tour",1
"70","GUY","tran",1
"71","IDN","cf",1
"72","IDN","ph",1
"73","IDN","sb",1
"74","IDN","tour",1
"75","IDN","tran",1
"76","IND","cf",1
"77","IND","tour",1
"78","ISL","sb",1
"79","ITA","ph",1
"80","ITA","sb",1
"81","ITA","tour",1
"82","ITA","tran",1
"83","JOR","ph",1
"84","JOR","sb",1
"85","JOR","tour",1
"86","JOR","tran",1
"87","JPN","ph",1
"88","JPN","tour",1
"89","KHM","tour",1
"90","KNA","tour",1
"91","KOR","cf",1
"92","KOR","ph",1
"93","KOR","sb",1
"94","KOR","tour",1
"95","KOR","tran",1
"96","LKA","tour",1
"97","LTU","cf",1
"98","LTU","ph",1
"99","LTU","sb",1
"100","LTU","tour",1
"101","LTU","tran",1
"102","LVA","cf",1
"103","LVA","ph",1
"104","LVA","sb",1
"105","LVA","tour",1
"106","LVA","tran",1
"107","MDG","ph",1
"108","MDG","sb",1
"109","MDG","tour",1
"110","MEX","cf",1
"111","MEX","ph",1
"112","MEX","tour",1
"113","MEX","tran",1
"114","MMR","cf",1
"115","MMR","ph",1
"116","MMR","sb",1
"117","MMR","tour",1
"118","MMR","tran",1
"119","MUS","cf",1
"120","MUS","ph",1
"121","MUS","tour",1
"122","MYS","tour",1
"123","NIC","ph",1
"124","NIC","tour",1
"125","NOR","tour",1
"126","NOR","tran",1
"127","PAK","cf",1
"128","PAK","ph",1
"129","PAK","sb",1
"130","PAK","tour",1
"131","PAK","tran",1
"132","PER","cf",1
"133","PER","ph",1
"134","PER","sb",1
"135","PER","tour",1
"136","PER","tran",1
"137","PHL","ph",1
"138","PHL","sb",1
"139","PHL","tour",1
"140","PHL","tran",1
"141","POL","cf",1
"142","POL","ph",1
"143","POL","sb",1
"144","POL","tour",1
"145","POL","tran",1
"146","PRI","tour",1
"147","PRT","cf",1
"148","PRT","ph",1
"149","PRT","tour",1
"150","PRT","tran",1
"151","ROU","cf",1
"152","ROU","ph",1
"153","ROU","sb",1
"154","ROU","tour",1
"155","ROU","tran",1
"156","RUS","tour",1
"157","RUS","tran",1
"158","SGP","ph",1
"159","SGP","sb",1
"160","SGP","tour",1
"161","SGP","tran",1
"162","SHN","cf",1
"163","SHN","tour",1
"164","SHN","tran",1
"165","SLV","ph",1
"166","SLV","tour",1
"167","THA","ph",1
"168","THA","sb",1
"169","THA","tour",1
"170","THA","tran",1
"171","Trindade","cf",1
"172","Trindade","ph",1
"173","Trindade","tour",1
"174","Trindade","tran",1
"175","TTO","cf",1
"176","TTO","ph",1
"177","TTO","sb",1
"178","TTO","tour",1
"179","TTO","tran",1
"180","TWN","tour",1
"181","USA","ph",1
"182","USA","sb",1
"183","USA","tour",1
"184","USA","tran",1
"185","VCT","ph",1
"186","VCT","tour",1
"187","VEN","ph",1
"188","VEN","tour",1
"189","VEN","tran",1
"190","VIR","tour",1
"191","WSM","tour",1
