"","cntry_key","sector","cur_base_value"
"1","AIA","ph",9729.48523192659
"2","AIA","tour",11916.1199586005
"3","AIA","tran",12757.1885850694
"4","ARG","sb",15382.2198851497
"5","AUS","ph",31820.4237891738
"6","AUS","sb",35397.2300124644
"7","AUS","tour",90670.3920717594
"8","AUS","tran",128159.388354701
"9","BEL","cf",23000.573139245
"10","BHR","cf",31462.7466446314
"11","BHR","sb",5302.06490106392
"12","BHR","tour",15279.7639417513
"13","BHR","tran",4369.83409566417
"14","BHS","ph",11526.0736623042
"15","BHS","tour",66172.8404335827
"16","BMU","tour",11444.4673978366
"17","BRA","cf",3285.2696258458
"18","BRA","ph",2952.25242332176
"19","BRA","tour",3610.46789446446
"20","BRA","tran",18145.2128961895
"21","CAN","cf",29320.9440660613
"22","CAN","ph",37635.8868634258
"23","CAN","sb",21789.0541533119
"24","CAN","tour",79921.5119190706
"25","CHN","cf",5303.93455918359
"26","CHN","ph",2757.49393474004
"27","CHN","tour",44066.9334824609
"28","CHN","tran",2495.70284677708
"29","CIV","cf",2968.79634150752
"30","CIV","ph",988.110316784634
"31","CIV","tour",3324.38764001569
"32","CIV","tran",3873.58558415688
"33","CRI","cf",5616.40951911948
"34","CRI","ph",3075.113584513
"35","CRI","sb",4147.19906016292
"36","CRI","tour",15420.4331096421
"37","CRI","tran",34662.688774261
"38","CYP","tour",73456.6473023504
"39","CYP","tran",64914.4130608974
"40","DEU","cf",30993.172409188
"41","DEU","ph",52334.8635594729
"42","DEU","sb",43592.5758992165
"43","DEU","tour",133928.429932336
"44","DEU","tran",219724.158653846
"45","DNK","sb",80986.3392539174
"46","DNK","tour",230426.159633191
"47","DNK","tran",238506.443643162
"48","EGY","ph",739.633587350873
"49","EGY","tour",3256.27540523171
"50","EGY","tran",3131.8849742922
"51","ERI","ph",664.867129420963
"52","ERI","tour",1256.39332393635
"53","ERI","tran",2460.30619477274
"54","FIN","sb",35862.5578703704
"55","FIN","tour",113991.923188213
"56","FIN","tran",101501.499621617
"57","GBR","cf",60654.1800213675
"58","GBR","ph",38100.530292913
"59","GBR","sb",42941.6733440171
"60","GBR","tour",94517.9147747508
"61","GBR","tran",89492.115162037
"62","GHA","cf",592.594853153935
"63","GHA","ph",226.133667166076
"64","GHA","sb",592.594853153935
"65","GHA","tour",807.087803158666
"66","GHA","tran",2397.01734580885
"67","GUY","cf",2414.48192107371
"68","GUY","sb",2197.17937589031
"69","GUY","tour",5673.68675297142
"70","GUY","tran",13883.2736545139
"71","IDN","cf",1967.45469835069
"72","IDN","ph",1017.22999855324
"73","IDN","sb",1521.51254507212
"74","IDN","tour",3051.28622462607
"75","IDN","tran",4481.82839070291
"76","IND","cf",339.853248704872
"77","IND","tour",727.441684472935
"78","ISL","sb",23013.3797409187
"79","ITA","ph",24635.1273148148
"80","ITA","sb",21931.8298165954
"81","ITA","tour",84617.8788839921
"82","ITA","tran",101602.024350071
"83","JOR","ph",4968.78999454683
"84","JOR","sb",3688.29780426461
"85","JOR","tour",10266.11588959
"86","JOR","tran",30162.0745971332
"87","JPN","ph",46533.6733217594
"88","JPN","tour",51947.5076789529
"89","KHM","tour",3007.62878591859
"90","KNA","tour",16247.2991508636
"91","KOR","cf",42298.9533253206
"92","KOR","ph",15109.8479789886
"93","KOR","sb",17765.2674835293
"94","KOR","tour",56816.7651575856
"95","KOR","tran",64434.1515869836
"96","LKA","tour",831.72311810007
