"","cntry_key","sector","cur_year"
"1","AIA","ph",2000
"2","AIA","tour",2002
"3","AIA","tran",2000
"4","ARG","sb",2008
"5","AUS","ph",2006
"6","AUS","sb",2006
"7","AUS","tour",2006
"8","AUS","tran",2006
"9","BEL","cf",2004
"10","BHR","cf",2000
"11","BHR","sb",2006
"12","BHR","tour",2006
"13","BHR","tran",2006
"14","BHS","ph",2004
"15","BHS","tour",2007
"16","BMU","tour",2000
"17","BRA","cf",2006
"18","BRA","ph",2006
"19","BRA","tour",2003
"20","BRA","tran",2001
"21","CAN","cf",2008
"22","CAN","ph",2008
"23","CAN","sb",2005
"24","CAN","tour",2008
"25","CHN","cf",2006
"26","CHN","ph",2006
"27","CHN","tour",2008
"28","CHN","tran",2006
"29","CIV","cf",2001
"30","CIV","ph",2001
"31","CIV","tour",2001
"32","CIV","tran",2001
"33","CRI","cf",2008
"34","CRI","ph",2008
"35","CRI","sb",2008
"36","CRI","tour",2008
"37","CRI","tran",2008
"38","CYP","tour",2006
"39","CYP","tran",2006
"40","DEU","cf",2007
"41","DEU","ph",2008
"42","DEU","sb",2008
"43","DEU","tour",2008
"44","DEU","tran",2008
"45","DNK","sb",2007
"46","DNK","tour",2007
"47","DNK","tran",2007
"48","EGY","ph",2000
"49","EGY","tour",2000
"50","EGY","tran",2000
"51","ERI","ph",2000
"52","ERI","tour",2000
"53","ERI","tran",2000
"54","FIN","sb",2007
"55","FIN","tour",2007
"56","FIN","tran",2002
"57","GBR","cf",2008
"58","GBR","ph",2008
"59","GBR","sb",2008
"60","GBR","tour",2008
"61","GBR","tran",2008
"62","GHA","cf",2007
"63","GHA","ph",2007
"64","GHA","sb",2007
"65","GHA","tour",2007
"66","GHA","tran",2007
"67","GUY","cf",2000
"68","GUY","sb",2000
"69","GUY","tour",2006
"70","GUY","tran",2000
"71","IDN","cf",2006
"72","IDN","ph",2006
"73","IDN","sb",2006
"74","IDN","tour",2006
"75","IDN","tran",2006
"76","IND","cf",2001
"77","IND","tour",2001
"78","ISL","sb",2000
"79","ITA","ph",2008
"80","ITA","sb",2008
"81","ITA","tour",2008
"82","ITA","tran",2008
"83","JOR","ph",2006
"84","JOR","sb",2006
"85","JOR","tour",2006
"86","JOR","tran",2006
"87","JPN","ph",2000
"88","JPN","tour",2008
"89","KHM","tour",2001
"90","KNA","tour",2000
"91","KOR","cf",2006
"92","KOR","ph",2006
"93","KOR","sb",2006
"94","KOR","tour",2006
"95","KOR","tran",2006
"96","LKA","tour",2000
"97","LTU","cf",2000
"98","LTU","ph",2006
"99","LTU","sb",2002
"100","LTU","tour",2006
"101","LTU","tran",2006
"102","LVA","cf",2006
"103","LVA","ph",2002
"104","LVA","sb",2006
"105","LVA","tour",2006
"106","LVA","tran",2006
"107","MDG","ph",2000
"108","MDG","sb",2000
"109","MDG","tour",2005
"110","MEX","cf",2008
"111","MEX","ph",2004
"112","MEX","tour",2008
"113","MEX","tran",2004
"114","MMR","cf",2004
"115","MMR","ph",2007
"116","MMR","sb",2004
"117","MMR","tour",2004
"118","MMR","tran",2007
"119","MUS","cf",2008
"120","MUS","ph",2008
"121","MUS","tour",2008
"122","MYS","tour",2002
"123","NIC","ph",2002
"124","NIC","tour",2002
"125","NOR","tour",2008
"126","NOR","tran",2008
"127","PAK","cf",2004
"128","PAK","ph",2004
"129","PAK","sb",2004
"130","PAK","tour",2004
"131","PAK","tran",2004
"132","PER","cf",2007
"133","PER","ph",2001
"134","PER","sb",2007
"135","PER","tour",2008
"136","PER","tran",2004
"137","PHL","ph",2006
"138","PHL","sb",2006
"139","PHL","tour",2006
"140","PHL","tran",2006
"141","POL","cf",2002
"142","POL","ph",2006
"143","POL","sb",2006
"144","POL","tour",2006
"145","POL","tran",2006
"146","PRI","tour",2008
"147","PRT","cf",2007
"148","PRT","ph",2007
"149","PRT","tour",2007
"150","PRT","tran",2007
"151","ROU","cf",2008
"152","ROU","ph",2008
"153","ROU","sb",2008
"154","ROU","tour",2008
"155","ROU","tran",2008
"156","RUS","tour",2007
"157","RUS","tran",2007
"158","SGP","ph",2006
"159","SGP","sb",2000
"160","SGP","tour",2007
"161","SGP","tran",2007
"162","SHN","cf",2007
"163","SHN","tour",2006
"164","SHN","tran",2002
"165","SLV","ph",2008
"166","SLV","tour",2008
"167","THA","ph",2006
"168","THA","sb",2006
"169","THA","tour",2006
"170","THA","tran",2006
"171","Trindade","cf",2006
"172","Trindade","ph",2006
"173","Trindade","tour",2003
"174","Trindade","tran",2001
"175","TTO","cf",2000
"176","TTO","ph",2000
"177","TTO","sb",2000
"178","TTO","tour",2000
"179","TTO","tran",2000
"180","TWN","tour",2004
"181","USA","ph",2007
"182","USA","sb",2007
"183","USA","tour",2007
"184","USA","tran",2007
"185","VCT","ph",2003
"186","VCT","tour",2003
"187","VEN","ph",2001
"188","VEN","tour",2001
"189","VEN","tran",2001
"190","VIR","tour",2008
"191","WSM","tour",2005
