"","cntry_key","sector","ref_base_value"
"1","ABW","cf",1244.8549176
"2","ABW","mar",21.41042723901
"3","ABW","tour",29700
"4","AGO","cf",75992.711536
"5","AGO","tour",7472.28929676
"6","AIA","cf",788.35806
"7","AIA","tour",4000
"8","ALB","cf",6306.86448
"9","ALB","mar",331.533865416478
"10","ALB","tour",74564.9966688
"11","ANT","mmw",0
"12","ANT","tour",17600
"13","ARE","cf",30638.8477528
"14","ARE","mar",204.12
"15","ARE","tour",70552.0301819
"16","ARG","cf",19063.248708
"17","ARG","mmw",242.03685
"18","ARG","tour",110777.545539
"19","ASM","cf",154.0426622
"20","ASM","mar",2.06358433315433
"21","ASM","mmw",0
"22","ATA","mmw",5
"23","ATG","cf",1677.450761
"24","ATG","mar",1.07182344230702
"25","ATG","mmw",0
"26","ATG","tour",17500
"27","AUS","cf",9576.673386
"28","AUS","mar",0
"29","AUS","tour",196307.180307
"30","Azores","mmw",11
"31","BEL","cf",1626.7706
"32","BEL","tour",59596.7543386
"33","BEN","cf",156032.32778
"34","BEN","mmw",0
"35","BEN","tour",3000.91947917
"36","BGD","cf",2300288.5413998
"37","BGD","mmw",0
"38","BGD","tour",615960.771724
"39","BGR","tour",63227.1596006
"40","BHR","cf",13823.0451968
"41","BHR","mar",116.64
"42","BHR","mmw",0
"43","BHR","tour",58100
"44","BHS","mmw",3.667225
"45","BHS","tour",88500
"46","BIH","tour",10327.3156993
"47","BLZ","cf",5697.451186
"48","BLZ","mmw",0
"49","BLZ","tour",18538.3311951
"50","BMU","cf",480.523008
"51","BMU","mmw",0
"52","BMU","tour",7400
"53","BRA","mmw",432.73255
"54","BRA","tour",330978.911177
"55","BRB","cf",5616.738337
"56","BRB","tour",59000
"57","BRN","cf",690.751824
"58","BRN","mar",178.3682740899
"59","BRN","tour",8683.68326295
"60","CAN","cf",59926.8502266
"61","CAN","tour",332943.422695
"62","CAN","wte",16.3466
"63","Canary Islands","mmw",943
"64","CHL","cf",124903.446668
"65","CHL","mmw",11.001675
"66","CHL","tour",240057.233924
"67","CHN","cf",4683174.733244
"68","CHN","mar",8280738.82891214
"69","CHN","mmw",0
"70","CHN","tour",2067526.17273
"71","CIV","cf",7280.424116
"72","CIV","tour",11112.5301591
"73","CMR","cf",52056.6592
"74","CMR","tour",8621.67356399
"75","COD","cf",137399.5476
"76","COD","mar",0
"77","COD","tour",307.29763087
"78","COG","cf",29657.2794
"79","COG","tour",324.944271344
"80","COK","cf",165.805465
"81","COK","mmw",25.670575
"82","COL","mmw",0
"83","COL","tour",76082.0820738
"84","COM","cf",14156.4080336
"85","COM","tour",9700
"86","CPV","cf",12521.128172
"87","CPV","tour",25400
"88","CRI","mmw",3.667225
"89","CRI","tour",172247.802348
"90","CUB","cf",12806.438708
"91","CUB","mar",2651.16167517734
"92","CUB","tour",501335.04047
"93","CYM","tour",6100
"94","CYP","cf",2317.522424
"95","CYP","mar",1177.052885748
"96","CYP","mmw",0
"97","CYP","tour",84938.1212264
"98","DEU","cf",5032.977964
"99","DEU","mmw",0
"100","DEU","tour",238483.556131
"101","DMA","cf",1674.4474922
"102","DMA","mmw",7.33445
"103","DMA","tour",8300
"104","DNK","cf",8719.2401436
"105","DNK","mar",512.6884014132
"106","DNK","mmw",0
"107","DNK","tour",373813.04663
"108","DOM","cf",26311.763093
"109","DOM","mmw",40.339475
"110","DOM","tour",421149.479794
"111","DZA","tour",11483.2505449
"112","ECU","cf",27204.60988
"113","ECU","mar",136883.517634329
"114","ECU","mmw",29.3378
"115","ECU","tour",42681.329861
"116","EGY","cf",309437.5461772
"117","EGY","mar",112051.013985254
"118","EGY","mmw",33.005025
"119","EGY","tour",353053.056277
"120","ESP","cf",111384.1070286
"121","ESP","mar",48689.22174381
"122","ESP","mmw",106.349525
"123","ESP","tour",580181.981197
"124","EST","cf",14950.7726312
"125","EST","mar",0
"126","EST","tour",48271.431645
"127","FIN","cf",3848.0632862
"128","FIN","mar",4941.247962222
"129","FIN","tour",36668.87183
"130","FJI","cf",2495.215828
"131","FJI","mmw",0
"132","FJI","tour",104500
"133","FLK","cf",2228.1751772
"134","FLK","mar",15.6735
"135","FLK","mmw",0
"136","FRA","cf",33064.6129898
"137","FRA","mar",67470.44868549
"138","FRA","mmw",3.667225
"139","FRA","tour",542884.235473
"140","FRA","wte",204.9952
"141","FSM","mmw",0
"142","GAB","cf",15494.7396926
"143","GAB","mmw",0
"144","GAB","tour",1525.08385095
"145","GBR","cf",31451.6073718
"146","GBR","mar",11149.03217655
"147","GBR","mmw",513.4115
"148","GBR","tour",1789993.83154
"149","GEO","mmw",0
"150","GHA","cf",411975.900364
"151","GHA","mar",0
"152","GHA","tour",26879.0033979
"153","GIB","mmw",22
"154","GIN","tour",6953.01473497
"155","GLP","cf",2191.5102706
"156","GLP","tour",18300
"157","GMB","cf",12795.17645
"158","GMB","mmw",3.667225
"159","GMB","tour",22613.5899061
"160","GNQ","cf",5037.983412
"161","GNQ","mar",0
"162","GRC","cf",35552.6960544
"163","GRC","mar",26610.23228625
"164","GRC","mmw",14.6689
"165","GRC","tour",650995.292713
"166","GRD","cf",5288.255812
"167","GRD","mmw",3.667225
"168","GRD","tour",7900
"169","GRL","mmw",11.001675
"170","GTM","cf",6599.683188
"171","GTM","mar",4151.23654552983
"172","GTM","mmw",0
"173","GTM","tour",36723.1974782
"174","GUF","cf",472.8896998
"175","GUM","cf",2802.5503352
"176","GUM","mar",12.79800000324
"177","GUM","mmw",568.419875
"178","GUY","cf",16377.825856
"179","GUY","mar",130.990143960081
"180","GUY","tour",4418.05483649
"181","HKG","cf",24019.89359
"182","HKG","mar",7549.28479323
"183","HKG","mmw",458.403125
"184","HKG","tour",342200
"185","HND","cf",119560.130928
"186","HND","mar",78731.1044264748
"187","HND","mmw",0
"188","HND","tour",71518.1148857
"189","HRV","cf",30353.036672
"190","HRV","mmw",0
"191","HRV","tour",155777.417731
"192","HTI","tour",90852.4440768
"193","IDN","cf",6227953.8425524
"194","IDN","mar",3357232.64899098
"195","IDN","mmw",139.35455
"196","IDN","tour",4186761.00003
"197","IND","cf",12890185.3590328
"198","IND","mar",1617201.79029396
"199","IND","mmw",7.33445
"200","IND","tour",3067748.63152
"201","IRL","mmw",748.1139
"202","IRL","tour",94733.8460658
"203","IRN","cf",353437.186004
"204","IRN","mar",8282.66447241567
"205","IRN","tour",51338.9061848
"206","IRQ","cf",5666.167136
"207","ISL","cf",6381.9462
"208","ISL","mmw",128.352875
"209","ISL","tour",17223.5961979
"210","ISR","tour",78796.6519793
"211","ITA","mmw",22.00335
"212","ITA","tour",1150962.46319
"213","JAM","cf",35290.285443
"214","JAM","mmw",0
"215","JAM","tour",255000
"216","JOR","cf",1089.0603486
"217","JOR","mar",33.2147201072808
"218","JOR","tour",7476.41284607
"219","JPN","cf",304481.40184
"220","JPN","mmw",348.386375
"221","JPN","tour",3259817.80205
"222","KEN","cf",141794.5812164
"223","KEN","mar",0
"224","KEN","mmw",0
"225","KEN","tour",26334.1890603
"226","KHM","mar",2961.56224234811
"227","KHM","tour",124499.751921
"228","KIR","cf",9169.980736
"229","KIR","tour",3100
"230","KNA","cf",334.113654
"231","KNA","mmw",0
"232","KNA","tour",8700
"233","KOR","cf",4329.71252
"234","KOR","mar",142651.9754109
"235","KOR","tour",830877.725851
"236","KWT","tour",58404.0694641
"237","LBN","cf",14152.90422
"238","LBN","mar",0
"239","LBN","tour",301088.413155
"240","LBR","cf",10353.769188
"241","LBR","mar",0
"242","LBY","tour",3618.5117382
"243","LCA","cf",3547.8615424
"244","LCA","mar",14.889688425
"245","LCA","mmw",0
"246","LCA","tour",42800
"247","LKA","cf",213357.221
"248","LKA","mar",10658.8897344307
"249","LKA","mmw",0
"250","LKA","tour",354125.00584
"251","LTU","cf",4075.1854892
"252","LTU","mar",0
"253","LTU","tour",7234.59401794
"254","LVA","cf",10200.9778878
"255","LVA","mar",0
"256","LVA","tour",20256.3349575
"257","MAR","cf",288113.58688
"258","MAR","mmw",0
"259","MAR","tour",266768.651409
"260","MDG","cf",287825.77362
"261","MDG","mar",27878.6062381526
"262","MDG","mmw",14.6689
"263","MDG","tour",91713.6585788
"264","MDV","cf",37268.063084
"265","MDV","mmw",0
"266","MDV","tour",55800
"267","MEX","cf",39110.067948
"268","MEX","mar",850909.331117888
"269","MEX","mmw",528.0804
"270","MEX","tour",1397783.01082
"271","MLT","cf",2004.056243
"272","MLT","mar",546.75
"273","MLT","tour",39200
"274","MMR","cf",3481914.765
"275","MMR","mar",11017.3282735235
"276","MMR","mmw",0
"277","MMR","tour",116044.054818
"278","MNE","tour",7244.7021504
"279","MOZ","mmw",0
"280","MOZ","tour",55662.24793
"281","MRT","mmw",0
"282","MTQ","cf",2267.2176716
"283","MTQ","tour",14700
"284","MUS","cf",44025.9184288
"285","MUS","mar",2.01663125974406
"286","MUS","mmw",0
"287","MUS","tour",143600
"288","MYS","cf",245134.307628
"289","MYS","mar",60178.4180772833
"290","MYS","mmw",0
"291","MYS","tour",537112.997842
"292","MYT","cf",6027.810754
"293","MYT","mar",97.318225
"294","MYT","mmw",0
"295","NAM","mmw",25.670575
"296","NAM","tour",3906.47583727
"297","NCL","cf",643.200068
"298","NCL","mmw",33.005025
"299","NGA","cf",1030744.8772208
"300","NGA","tour",86148.3230496
"301","NIC","cf",34520.072132
"302","NIC","mar",44766.3835
"303","NIC","mmw",0
"304","NIC","tour",40658.538443
"305","NIU","mmw",0
"306","NLD","cf",9367.695932
"307","NLD","tour",536821.023443
"308","NOR","cf",34499.8000676
"309","NOR","mar",27555.1065
"310","NOR","mmw",95.34785
"311","NOR","tour",100681.539844
"312","NZL","cf",4543.695422
"313","NZL","mmw",1554.9034
"314","NZL","tour",288494.453209
"315","OMN","cf",41405.065856
"316","OMN","mmw",14.6689
"317","OMN","tour",18995.9793952
"318","PAK","cf",500653.7936302
"319","PAK","tour",117800.009602
