"","cntry_key","sector","ref_base_value"
"1","AIA","ph",9729.49496972935
"2","AIA","tour",23712.5125895878
"3","AIA","tran",22450.8442674947
"4","ARG","sb",5370.53799968839
"5","AUS","ph",19013.6969150642
"6","AUS","sb",17960.9152421652
"7","AUS","tour",56584.2166911502
"8","AUS","tran",55357.1575632122
"9","BEL","cf",16661.3498263888
"10","BHR","cf",25898.5529625179
"11","BHR","sb",12063.5043847934
"12","BHR","tour",15347.1575353899
"13","BHR","tran",6385.23443064458
"14","BHS","ph",6975.80573361823
"15","BHS","tour",49592.2169916312
"16","BMU","tour",71594.6180555557
"17","BRA","cf",2604.53531205485
"18","BRA","ph",1044.00460876291
"19","BRA","tour",3591.41553569044
"20","BRA","tran",4157.65780804843
"21","CAN","cf",18890.2396612358
"22","CAN","ph",15095.1508524751
"23","CAN","sb",18812.6933649395
"24","CAN","tour",50923.739093661
"25","CHN","cf",2358.33479400374
"26","CHN","ph",1635.48274461361
"27","CHN","tour",60528.2778835026
"28","CHN","tran",1961.45482076878
"29","CIV","cf",1764.80128622463
"30","CIV","ph",1114.22877298122
"31","CIV","tour",6798.21881677349
"32","CIV","tran",7173.02406071937
"33","CRI","cf",4916.63988770922
"34","CRI","ph",3383.06846509972
"35","CRI","sb",2767.20617571447
"36","CRI","tour",13031.176097033
"37","CRI","tran",5182.2494115585
"38","CYP","tour",57392.7061075499
"39","CYP","tran",32392.1260127315
"40","DEU","cf",21386.1553485577
"41","DEU","ph",27080.7764645654
"42","DEU","sb",23282.8010928597
"43","DEU","tour",73963.1758035078
"44","DEU","tran",81183.1263354701
"45","DNK","sb",58413.9512108262
"46","DNK","tour",169770.396523327
"47","DNK","tran",170878.277466168
"48","EGY","ph",990.753260772792
"49","EGY","tour",2073.04199740418
"50","EGY","tran",3288.84557305577
"51","ERI","ph",950.154535451168
"52","ERI","tour",2297.5337362697
"53","ERI","tran",5741.35865648927
"54","FIN","sb",21142.7631432514
"55","FIN","tour",74668.6976940883
"56","FIN","tran",65543.3248753561
