"sp_id","extent_health","extent_trend","extent_km2","shoreline_health","shoreline_trend","shoreline_km2"
248100,0.94,0.01,130115.43,0.87,-0.01,25830.27
248200,0.97,-0.02,223383.67,NA,NA,NA
248400,0.97,-0.01,55203.4,NA,NA,NA
248500,1,0.01,1612638.15,1,0,57990.2
248600,1,-0.01,1639311.8,1,0.03,44730.39
258410,1,0,774960.06,0.98,0,87516.85
258420,1,0.01,749902.36,1,-0.01,51588.54
258431,1,0,51778.37,NA,NA,NA
258432,0.96,-0.02,133407.86,NA,NA,NA
258441,1,0.12,49870.97,NA,NA,NA
258442,1,0.09,60183.11,NA,NA,NA
288100,1,-0.02,1111296.18,1,0,45251.23
288200,0.99,0.01,1749712.13,0.98,-0.01,48345.59
288300,1,0.03,475211.54,0.9,-0.04,46228.55
