"X","id","stock_id","res","ct","yr"
41359,107,"Aphanopus carbo_34","",1795.000279344,1986
42860,107,"Aphanopus carbo_34","",2300.000360517,1987
44374,107,"Aphanopus carbo_34","",2724.000426846,1988
45895,107,"Aphanopus carbo_34","",2533.000383759,1989
47441,107,"Aphanopus carbo_34","",3556.000552449,1990
49007,107,"Aphanopus carbo_34","",2495.000389646,1991
50579,107,"Aphanopus carbo_34","",2495.000391466,1992
52174,107,"Aphanopus carbo_34","",3467.000543235,1993
53777,107,"Aphanopus carbo_34","",3133.000491344,1994
55401,107,"Aphanopus carbo_34","",3469.000544135,1995
57064,107,"Aphanopus carbo_34","",6748.251058508,1996
58745,107,"Aphanopus carbo_34","",4023.250630588,1997
60486,107,"Aphanopus carbo_34","",4440.250700864,1998
62265,107,"Aphanopus carbo_34","",4404.000690498,1999
64085,107,"Aphanopus carbo_34","",4203.00065864,2000
65983,107,"Aphanopus carbo_34","",4008.00062869,2001
67889,107,"Aphanopus carbo_34","",3873.00060703,2002
69802,107,"Aphanopus carbo_34","",3665.000575155,2003
71715,107,"Aphanopus carbo_34","",3747.00058802,2004
73628,107,"Aphanopus carbo_34","",3195.000501536,2005
75541,107,"Aphanopus carbo_34","",2640.000413837,2006
77454,107,"Aphanopus carbo_34","",3086.989999965,2007
79367,107,"Aphanopus carbo_34","",3118.99000024,2008
81280,107,"Aphanopus carbo_34","",2428.990000172,2009
83193,107,"Aphanopus carbo_34","",1859.989999709,2010
85106,107,"Aphanopus carbo_34","",1940.990000469,2011
127,439,"Clupea pallasii pallasii_77","Medium",646.94210454,1950
917,439,"Clupea pallasii pallasii_77","Medium",2230.8051277,1951
1737,439,"Clupea pallasii pallasii_77","Medium",4306.6406615,1952
2571,439,"Clupea pallasii pallasii_77","Medium",3538.7292212,1953
3417,439,"Clupea pallasii pallasii_77","Medium",413.9728302,1954
4275,439,"Clupea pallasii pallasii_77","Medium",884.9457773,1955
5137,439,"Clupea pallasii pallasii_77","Medium",786.9517816,1956
6016,439,"Clupea pallasii pallasii_77","Medium",538.9669762,1957
6902,439,"Clupea pallasii pallasii_77","Medium",1087.9333398,1958
7821,439,"Clupea pallasii pallasii_77","Medium",782.9520266,1959
8753,439,"Clupea pallasii pallasii_77","Medium",816.9499435,1960
9710,439,"Clupea pallasii pallasii_77","Medium",635.9610332,1961
10692,439,"Clupea pallasii pallasii_77","Medium",591.963729,1962
11707,439,"Clupea pallasii pallasii_77","Medium",285.98247714,1963
12753,439,"Clupea pallasii pallasii_77","Medium",157.99031953,1964
13869,439,"Clupea pallasii pallasii_77","Medium",233.9856631,1965
15000,439,"Clupea pallasii pallasii_77","Medium",109.99326045,1966
16138,439,"Clupea pallasii pallasii_77","Medium",122.99246396,1967
17293,439,"Clupea pallasii pallasii_77","Medium",161.99060405,1968
18460,439,"Clupea pallasii pallasii_77","Medium",76.995534034,1969
19637,439,"Clupea pallasii pallasii_77","Medium",99.994200052,1970
20897,439,"Clupea pallasii pallasii_77","Medium",99.994200052,1971
22169,439,"Clupea pallasii pallasii_77","Medium",99.994200052,1972
23456,439,"Clupea pallasii pallasii_77","Medium",1299.92460064,1973
24752,439,"Clupea pallasii pallasii_77","Medium",2329.8648609,1974
26062,439,"Clupea pallasii pallasii_77","Medium",1336.93695982,1975
27385,439,"Clupea pallasii pallasii_77","Medium",2174.873851,1976
28718,439,"Clupea pallasii pallasii_77","Medium",3791.7800663,1977
30069,439,"Clupea pallasii pallasii_77","Medium",4238.7541398,1978
31449,439,"Clupea pallasii pallasii_77","Medium",4300.7505444,1979
32848,439,"Clupea pallasii pallasii_77","Medium",7867.5436602,1980
34254,439,"Clupea pallasii pallasii_77","Medium",5901.6576874,1981
35678,439,"Clupea pallasii pallasii_77","Medium",9996.387498,1982
37124,439,"Clupea pallasii pallasii_77","Medium",7977.511199,1983
38580,439,"Clupea pallasii pallasii_77","Medium",3780.768343,1984
40053,439,"Clupea pallasii pallasii_77","Medium",7895.516223,1985
41544,439,"Clupea pallasii pallasii_77","Medium",7550.537361,1986
43047,439,"Clupea pallasii pallasii_77","Medium",8354.4881,1987
44561,439,"Clupea pallasii pallasii_77","Medium",6926.575592,1988
46084,439,"Clupea pallasii pallasii_77","Medium",9198.43639,1989
47634,439,"Clupea pallasii pallasii_77","Medium",7344.549982,1990
49202,439,"Clupea pallasii pallasii_77","Medium",7249.555802,1991
50779,439,"Clupea pallasii pallasii_77","Medium",5225.67981,1992
52375,439,"Clupea pallasii pallasii_77","Medium",3848.764177,1993
53982,439,"Clupea pallasii pallasii_77","Medium",2971.8179101,1994
55615,439,"Clupea pallasii pallasii_77","Medium",4622.716756,1995
57280,439,"Clupea pallasii pallasii_77","Medium",5327.673561,1996
58968,439,"Clupea pallasii pallasii_77","Medium",9187.437064,1997
60713,439,"Clupea pallasii pallasii_77","Medium",1986.8782597,1998
62497,439,"Clupea pallasii pallasii_77","Medium",2266.8611037,1999
64329,439,"Clupea pallasii pallasii_77","Medium",2852.8252006,2000
66228,439,"Clupea pallasii pallasii_77","Medium",2520.8455417,2001
68135,439,"Clupea pallasii pallasii_77","Medium",3281.798917,2002
70048,439,"Clupea pallasii pallasii_77","Medium",1842.8870823,2003
71961,439,"Clupea pallasii pallasii_77","Medium",1637.8996419,2004
73874,439,"Clupea pallasii pallasii_77","Medium",353.9783109,2005
75787,439,"Clupea pallasii pallasii_77","Medium",729.9552739,2006
77700,439,"Clupea pallasii pallasii_77","Medium",596.980000044,2007
79613,439,"Clupea pallasii pallasii_77","Medium",756.990000013,2008
81526,439,"Clupea pallasii pallasii_77","Medium",533.990000018,2009
