"rgn_id","year","jobs_ct"
6,1988,1622
6,1989,2931
6,1990,4705
6,1991,4683
6,1992,5525
6,1993,5823
6,1994,5732
6,1995,5948
6,1996,6977
6,1997,6358
6,1998,9146
6,1999,9413
6,2000,10186
6,2001,9255
6,2002,8122
6,2003,9319
6,2004,9305
6,2005,8569
6,2006,7224
6,2007,8482
6,2008,8945
6,2009,9562
6,2010,9219
6,2011,8794
6,2012,10563
6,2013,10688
6,2014,10400
6,2015,11034
6,2016,11814
6,2017,12504
6,2018,13114
6,2019,13532
6,2020,13885
6,2021,14248
6,2022,14562
6,2023,14828
6,2024,15068
6,2025,15331
7,1988,1281
7,1989,1772
7,1990,1529
7,1991,1837
7,1992,2561
7,1993,1688
7,1994,3325
7,1995,2573
7,1996,2619
7,1997,1568
7,1998,1475
7,1999,1746
7,2000,1401
7,2001,2445
7,2002,1301
7,2003,1144
7,2004,1251
7,2005,2035
7,2006,6252
7,2007,6481
7,2008,5314
7,2009,6582
7,2010,7887
7,2011,8946
7,2012,7442
7,2013,7227
7,2014,6583
7,2015,6705
7,2016,6947
7,2017,7153
7,2018,7354
7,2019,7569
7,2020,7733
7,2021,7943
7,2022,8063
7,2023,8176
7,2024,8294
7,2025,8461
14,1988,155126
14,1989,160794
14,1990,144721
14,1991,156724
14,1992,152679
14,1993,147165
14,1994,170524
14,1995,171792
14,1996,175789
14,1997,169009
14,1998,169634
14,1999,160523
14,2000,164052
14,2001,174535
14,2002,183555
14,2003,155668
14,2004,140387
14,2005,153262
14,2006,180471
14,2007,182513
14,2008,168915
14,2009,165642
14,2010,226101
14,2011,261285
14,2012,268379
14,2013,264419
14,2014,278735
14,2015,288284
14,2016,297065
14,2017,305429
14,2018,311364
14,2019,319835
14,2020,328548
14,2021,336000
14,2022,343496
14,2023,351537
14,2024,358676
14,2025,365922
15,1988,362916
15,1989,400397
15,1990,396903
15,1991,372545
15,1992,397460
15,1993,454907
15,1994,502481
15,1995,591807
15,1996,730397
15,1997,978780
15,1998,1.0163e+06
15,1999,870818
15,2000,1.04546e+06
15,2001,1.05533e+06
15,2002,1.08257e+06
15,2003,1.0914e+06
15,2004,1.11472e+06
15,2005,1.15596e+06
15,2006,1.20891e+06
15,2007,1.33811e+06
15,2008,1.16662e+06
15,2009,1.23921e+06
15,2010,1.13076e+06
15,2011,1.15011e+06
15,2012,1.23984e+06
15,2013,1.25708e+06
15,2014,1.25977e+06
15,2015,1.29281e+06
15,2016,1.31883e+06
15,2017,1.34799e+06
15,2018,1.3843e+06
15,2019,1.42214e+06
15,2020,1.46009e+06
15,2021,1.49939e+06
15,2022,1.53839e+06
15,2023,1.58052e+06
15,2024,1.62535e+06
15,2025,1.66741e+06
16,1988,282649
16,1989,272246
16,1990,280916
16,1991,301251
16,1992,294111
16,1993,301362
16,1994,342236
16,1995,355629
16,1996,368648
16,1997,372716
16,1998,383006
16,1999,383480
16,2000,447682
16,2001,461060
16,2002,464266
