"","rgn_id","year","pressure_score"
"213",8,2007,0.325288589121684
"214",9,2007,0
"215",10,2007,0.511081211941916
"216",11,2007,0
"217",13,2007,0
"218",14,2007,0.0451678904981314
"219",15,2007,0.187957104314959
"220",16,2007,0
"221",17,2007,0
"222",18,2007,0
"223",19,2007,0
"224",20,2007,0.142420267668631
"225",21,2007,0.0431479807321379
"226",24,2007,0.228018501244523
"227",25,2007,0.121391264856691
"228",26,2007,0.165219940311709
"229",28,2007,0
"230",29,2007,0
"231",30,2007,0
"232",31,2007,0
"233",32,2007,0
"234",33,2007,0
"235",34,2007,0
"236",37,2007,0
"237",38,2007,0
"238",39,2007,0.356840320872391
"239",40,2007,0.135752194471119
"240",41,2007,0
"241",42,2007,0
"242",43,2007,0
"243",44,2007,0.100477764445551
"244",45,2007,0
"245",46,2007,0.0112962430574891
"246",47,2007,0.0498166717762698
"247",48,2007,0
"248",49,2007,0
"249",50,2007,0
"250",51,2007,0.0178992228160557
"251",52,2007,0
"252",53,2007,0.119485045352802
"253",54,2007,0
"254",55,2007,0.12723956490052
"255",56,2007,0.0273030013561952
"256",57,2007,0.0146958424135543
"257",58,2007,0.0182511486235972
"258",59,2007,0.00488347904499387
"259",60,2007,0.331578776821555
"260",61,2007,0.0145702015243462
"261",62,2007,0.08154503627492
"262",63,2007,0.12917961708088
"263",64,2007,0.369122741498939
"264",65,2007,0.158438177106287
"265",66,2007,0.181846061996941
"266",67,2007,0
"267",68,2007,0
"268",69,2007,0
"269",70,2007,0
"270",71,2007,0
"271",72,2007,0
"272",73,2007,0.0194835940695143
"273",74,2007,0.163381008140482
"274",75,2007,0
"275",76,2007,0.1107015864666
"276",77,2007,0
"277",78,2007,0
"278",79,2007,0
"279",80,2007,0
"280",81,2007,0
"281",82,2007,0
"282",84,2007,0.10464039490851
"283",85,2007,0
"284",86,2007,0
"285",88,2007,0
"286",89,2007,0.00962387218559102
"287",90,2007,0.0456251678877767
"288",92,2007,0.00518478973064052
"289",93,2007,0
"290",94,2007,0
"291",95,2007,0.157531692681829
"292",96,2007,0.0138912032340296
"293",97,2007,0.0567950609297797
"294",98,2007,0.286124077507752
"295",100,2007,0.118794750728185
"296",101,2007,0
"297",102,2007,0
"298",103,2007,0
"299",104,2007,0
"300",106,2007,0.0373246279249005
"301",107,2007,0.0278242914798648
"302",108,2007,0
"303",110,2007,0
"304",111,2007,0
"305",112,2007,0
"306",113,2007,0
"307",114,2007,0
"308",115,2007,0
"309",116,2007,0
"310",117,2007,0
"311",118,2007,0
"312",119,2007,0
"313",120,2007,0
"314",121,2007,0
"315",122,2007,0.0690791660796464
"316",123,2007,0
"317",124,2007,0.0506411468566885
"318",125,2007,0
"319",126,2007,0
"320",127,2007,0
"321",129,2007,0.081466609976122
