"cntry_key","year","LCU"
"CCK",1980,89.1697886588333
"CCK",1981,89.969066552
"CCK",1982,89.9011158005
"CCK",1983,98.486270719
"CCK",1984,102.705764615833
"CCK",1985,89.710704028
"CCK",1986,89.8985071974286
"CCK",1987,109.937080831286
"CCK",1988,167.939298972286
"CCK",1989,213.618105102
"CCK",1990,255.328459676
"CCK",1991,354.360987334143
"CCK",1992,427.577577159571
"CCK",1993,560.6089671885
"CCK",1994,602.591286816
"CCK",1995,673.104613714125
"CCK",1996,711.687846355125
"CCK",1997,749.165984242625
"CCK",1998,905.9952740915
"CCK",1999,853.214407168333
"CCK",2000,898.290435081889
"CCK",2001,934.024749734556
"CCK",2002,957.578859423111
"CCK",2003,989.573273148333
"CCK",2004,1038.00780088722
"CCK",2005,1107.48611539511
"CCK",2006,1175.98994332022
"CCK",2007,1248.56614438767
"CCK",2008,1456.42941968133
"CCK",2009,1538.28405978356
"CCK",2010,1660.23228890956
"CCK",2011,1848.48466429811
"CXR",1980,89.1697886588333
"CXR",1981,89.969066552
"CXR",1982,89.9011158005
"CXR",1983,98.486270719
"CXR",1984,102.705764615833
"CXR",1985,89.710704028
"CXR",1986,89.8985071974286
"CXR",1987,109.937080831286
"CXR",1988,167.939298972286
"CXR",1989,213.618105102
"CXR",1990,255.328459676
"CXR",1991,354.360987334143
"CXR",1992,427.577577159571
"CXR",1993,560.6089671885
"CXR",1994,602.591286816
"CXR",1995,673.104613714125
"CXR",1996,711.687846355125
"CXR",1997,749.165984242625
"CXR",1998,905.9952740915
"CXR",1999,853.214407168333
"CXR",2000,898.290435081889
"CXR",2001,934.024749734556
"CXR",2002,957.578859423111
"CXR",2003,989.573273148333
"CXR",2004,1038.00780088722
"CXR",2005,1107.48611539511
"CXR",2006,1175.98994332022
"CXR",2007,1248.56614438767
"CXR",2008,1456.42941968133
"CXR",2009,1538.28405978356
"CXR",2010,1660.23228890956
"CXR",2011,1848.48466429811
"NFK",1980,0.9446447415
"NFK",1981,0.9818341115
"NFK",1982,1.0193241795
"NFK",1983,1.064428303
"NFK",1984,1.09673144
"NFK",1985,1.1682786705
"NFK",1986,1.2783761015
"NFK",1987,1.362906651
"NFK",1988,1.415383217
"NFK",1989,1.4495148115
"NFK",1990,1.450358827
"NFK",1991,1.4144381
"NFK",1992,1.3984686
"NFK",1993,1.3949978645
"NFK",1994,1.384557228
"NFK",1995,1.3873812505
"NFK",1996,1.3928015955
"NFK",1997,1.3826353595
"NFK",1998,1.3749364285
"NFK",1999,1.365805
"NFK",2000,1.3786216415
"NFK",2001,1.4013831145
"NFK",2002,1.4027258215
"NFK",2003,1.424306467
"NFK",2004,1.4367952695
"NFK",2005,1.46167814
"NFK",2006,1.447155366
"NFK",2007,1.464821989
"NFK",2008,1.484890711
"NFK",2009,1.4454052255
"NFK",2010,1.495043118
"NFK",2011,1.487196961
"Macquarie Island",1980,0.9446447415
"Macquarie Island",1981,0.9818341115
"Macquarie Island",1982,1.0193241795
"Macquarie Island",1983,1.064428303
"Macquarie Island",1984,1.09673144
"Macquarie Island",1985,1.1682786705
"Macquarie Island",1986,1.2783761015
"Macquarie Island",1987,1.362906651
"Macquarie Island",1988,1.415383217
"Macquarie Island",1989,1.4495148115
"Macquarie Island",1990,1.450358827
"Macquarie Island",1991,1.4144381
"Macquarie Island",1992,1.3984686
