"cntry_key","year","count"
"CCK",1990,19812035.73611
"CCK",1991,20194768.47583
"CCK",1992,20567331.26534
"CCK",1993,21036759.65998
"CCK",1994,21494898.40025
"CCK",1995,22141697.82655
"CCK",1996,22775245.75064
"CCK",1997,23115984.34234
"CCK",1998,23583580.42982
"CCK",1999,24399200.27721
"CCK",2000,24896161.6731
"CCK",2001,25559574.69626
"CCK",2002,25973347.74492
"CCK",2003,26533086.3833
"CCK",2004,27050952.20835
"CCK",2005,27502595.60629
"CCK",2006,27912693.61397
"CCK",2007,28395379.56747
"CCK",2008,28898684.00078
"CCK",2009,29339874.97102
"CCK",2010,29845202.81138
"CXR",1990,19812035.73611
"CXR",1991,20194768.47583
"CXR",1992,20567331.26534
"CXR",1993,21036759.65998
"CXR",1994,21494898.40025
"CXR",1995,22141697.82655
"CXR",1996,22775245.75064
"CXR",1997,23115984.34234
"CXR",1998,23583580.42982
"CXR",1999,24399200.27721
"CXR",2000,24896161.6731
"CXR",2001,25559574.69626
"CXR",2002,25973347.74492
"CXR",2003,26533086.3833
"CXR",2004,27050952.20835
"CXR",2005,27502595.60629
"CXR",2006,27912693.61397
"CXR",2007,28395379.56747
"CXR",2008,28898684.00078
"CXR",2009,29339874.97102
"CXR",2010,29845202.81138
"NFK",1990,5058672.9675
"NFK",1991,5120773.8035
"NFK",1992,5161679.5855
"NFK",1993,5196919.213
"NFK",1994,5298703.0455
"NFK",1995,5429578.126
"NFK",1996,5508388.134
"NFK",1997,5555951.02
"NFK",1998,5609198.4365
"NFK",1999,5672784.4755
"NFK",2000,5780610.89
"NFK",2001,5881973.7615
"NFK",2002,5986381.93
"NFK",2003,6095179.79
"NFK",2004,6187309.0725
"NFK",2005,6370169.0615
"NFK",2006,6521443.248
"NFK",2007,6669351.661
"NFK",2008,6817863.4335
"NFK",2009,6933136.6355
"NFK",2010,7029849.148
"Macquarie Island",1990,5058672.9675
"Macquarie Island",1991,5120773.8035
"Macquarie Island",1992,5161679.5855
"Macquarie Island",1993,5196919.213
"Macquarie Island",1994,5298703.0455
"Macquarie Island",1995,5429578.126
"Macquarie Island",1996,5508388.134
"Macquarie Island",1997,5555951.02
"Macquarie Island",1998,5609198.4365
"Macquarie Island",1999,5672784.4755
"Macquarie Island",2000,5780610.89
"Macquarie Island",2001,5881973.7615
"Macquarie Island",2002,5986381.93
"Macquarie Island",2003,6095179.79
"Macquarie Island",2004,6187309.0725
"Macquarie Island",2005,6370169.0615
"Macquarie Island",2006,6521443.248
