goal,component,id,value
artisanal-fishing,all,1,0.863856635522601
artisanal-fishing,all,2,0.768733737417838
artisanal-fishing,all,3,0.488542048749247
artisanal-fishing,all,4,0.59390476282561
artisanal-fishing,all,5,0.542790602037131
artisanal-fishing,all,6,0.614090067601449
artisanal-fishing,all,7,0.558811268407042
artisanal-fishing,all,8,0.564100153876375
artisanal-fishing,all,9,0.538877331765153
artisanal-fishing,all,10,0.685961407590226
artisanal-fishing,all,11,0.563955114918161
artisanal-fishing,all,12,0.83939580232995
artisanal-fishing,all,13,0.485552461202262
artisanal-fishing,all,14,0.472042215010135
artisanal-fishing,all,15,0.567864330012993
artisanal-fishing,all,16,0.688773117770529
artisanal-fishing,all,17,0.404104117077285
artisanal-fishing,all,18,0.530451091018051
artisanal-fishing,all,19,0.619168218906467
artisanal-fishing,all,20,0.478444293842747
artisanal-fishing,all,21,0.672947983962907
artisanal-fishing,all,22,0.626580305134031
artisanal-fishing,all,23,0.671443446461897
artisanal-fishing,all,24,0.626325753044807
artisanal-fishing,all,25,0.516805678528875
artisanal-fishing,all,26,0.558907435868705
artisanal-fishing,all,27,0.601823083388793
artisanal-fishing,all,28,0.531462256846699
artisanal-fishing,all,29,0.579260966312716
artisanal-fishing,all,30,0.318922733728511
artisanal-fishing,all,31,0.44165770927027
artisanal-fishing,all,32,0.522130807663856
artisanal-fishing,all,33,0.425404315168486
artisanal-fishing,all,34,0.60136715064749
artisanal-fishing,all,35,0.399782401198646
artisanal-fishing,all,36,0.574353448082623
artisanal-fishing,all,37,0.581251008529125
artisanal-fishing,all,38,0.584096834304819
artisanal-fishing,all,39,0.463684567426913
artisanal-fishing,all,40,0.63068226379652
artisanal-fishing,all,41,0.616246429011586
artisanal-fishing,all,42,0.715808668342915
artisanal-fishing,all,43,0.629971286557332
artisanal-fishing,all,44,0.564966764843551
artisanal-fishing,all,45,0.553437640543732
artisanal-fishing,all,46,0.444200834217356
artisanal-fishing,all,47,0.606325771615951
artisanal-fishing,all,48,0.529577484548054
artisanal-fishing,all,49,0.620395319127676
artisanal-fishing,all,50,0.452073464802576
artisanal-fishing,all,51,0.696007311940201
artisanal-fishing,all,52,0.717393454367599
artisanal-fishing,all,53,0.800233095086723
artisanal-fishing,all,54,0.583078474365649
artisanal-fishing,all,55,0.70496798151832
artisanal-fishing,all,56,0.564984657641221
artisanal-fishing,all,57,0.544699060115736
artisanal-fishing,all,58,0.555884261407195
artisanal-fishing,all,59,0.59740367196552
artisanal-fishing,all,60,0.511592732678748
artisanal-fishing,all,61,0.541884301302458
artisanal-fishing,all,62,0.637724075964899
artisanal-fishing,all,63,0.64869654472324
artisanal-fishing,all,64,0.712379487806583
artisanal-fishing,all,65,0.562077890988488
artisanal-fishing,all,66,0.479314658050659
artisanal-fishing,all,67,0.717844337078163
artisanal-fishing,all,68,0.724635964603245
artisanal-fishing,all,69,0.495841604773177
artisanal-fishing,all,70,0.456657145964318
artisanal-fishing,all,71,0.446609699870507
artisanal-fishing,all,72,0.527680883191034
artisanal-fishing,all,73,0.553275212344695
artisanal-fishing,all,74,0.599062444882347
artisanal-fishing,all,75,0.683499203556429
artisanal-fishing,all,76,0.493742221861232
artisanal-fishing,all,77,0.443410937302733
artisanal-fishing,all,78,0.574831969671123
artisanal-fishing,all,79,0.601503847050521
artisanal-fishing,all,80,0.674790990661684
artisanal-fishing,all,81,0.560602607654416
artisanal-fishing,all,82,0.444882732678816
artisanal-fishing,all,83,0.533780185225429
artisanal-fishing,all,84,0.597970950003226
artisanal-fishing,all,85,0.703039456557966
artisanal-fishing,all,86,0.640860681918806
artisanal-fishing,all,87,0.687127920926075
artisanal-fishing,all,88,0.684707129898654
artisanal-fishing,all,89,0.650732728862195
artisanal-fishing,all,90,0.699397949541868
artisanal-fishing,all,91,0.618230531195359
artisanal-fishing,all,92,0.596207495442337
artisanal-fishing,all,93,0.672154781235096
artisanal-fishing,all,94,0.662534202802701
artisanal-fishing,all,95,0.648401839321063
artisanal-fishing,all,96,0.681023301086981
artisanal-fishing,all,97,0.572537606747018
artisanal-fishing,all,98,0.569351204606957
artisanal-fishing,all,99,0.548616334444089
artisanal-fishing,all,100,0.595911283450794
artisanal-fishing,all,101,0.673571730045069
artisanal-fishing,all,102,0.59810780993699
artisanal-fishing,all,103,0.599270708350398
artisanal-fishing,all,104,0.553270554932466
artisanal-fishing,all,105,0.480037343241767
artisanal-fishing,all,106,0.655305505913372
artisanal-fishing,all,107,0.684380706255171
artisanal-fishing,all,108,0.637221260923149
artisanal-fishing,all,109,0.633746796316209
artisanal-fishing,all,110,0.668391751594182
artisanal-fishing,all,111,0.614375635713676
artisanal-fishing,all,112,0.65109081285525
artisanal-fishing,all,113,0.536872844086116
artisanal-fishing,all,114,0.669509691555505
artisanal-fishing,all,115,0.789522267848231
artisanal-fishing,all,116,0.746037452755989
artisanal-fishing,all,117,0.666866470596651
artisanal-fishing,all,118,0.599090879972762
artisanal-fishing,all,119,0.521501993065431
artisanal-fishing,all,120,0.628148472624715
artisanal-fishing,all,121,0.718364177619512
