FAO_data,OHI_ISO,OHI_id,OHI_country,Notes,rule
Channel Islands,GBR,180,United Kingdom,merged w GBR,change ISO
Martinique,GP-MQ,140,Guadeloupe and Martinique,merged Guadeloupe with Martinique,change ISO
Guadeloupe,GP-MQ,140,Guadeloupe and Martinique,merged Guadeloupe with Martinique,change ISO
Montenegro,MNE,186,Montenegro,kept data post2005,merge
Serbia and Montenegro,MNE,186,Montenegro,Renamed to complete Montenegro timeseries ,merge
"Palestine, Occupied Tr.",NA,255,NA,DELETED (DISPUTED),delete
Zanzibar,,180,Tanzania,DELETED bc no marine spp (but belongs to Tanzania),delete
Netherlands Antilles,CW,244,"Curaçao, Sint Maarten, Aruba",Converted all too Curacao bc this year only reports conch (other N.A. countries don’t cultivate it),delete
Yugoslavia SFR,NA,NA,NA,"DELETED (from 2002: Montenegro, Croatia, Bosnia BIH)",delete
Un. Sov. Soc. Rep.,NA,NA,NA,DELETED (from 2000: Russian Federation),delete
Bonaire,BQ,245,Bonaire,No reports this year (used to be: Bonaire/S.Eustatius/Saba),change ISO
