"rgn_nm","rgn_id","country","species","fao","environment","year","yield"
"Albania",82,"Albania","European seabass","Mediterranean and Black Sea","Marine",2006,87
"Albania",82,"Albania","European seabass","Mediterranean and Black Sea","Marine",2007,84
"Albania",82,"Albania","European seabass","Mediterranean and Black Sea","Marine",2008,142
"Albania",82,"Albania","European seabass","Mediterranean and Black Sea","Marine",2009,135
"Albania",82,"Albania","European seabass","Mediterranean and Black Sea","Marine",2010,135
"Albania",82,"Albania","European seabass","Mediterranean and Black Sea","Marine",2011,170
"Albania",82,"Albania","European seabass","Mediterranean and Black Sea","Marine",2012,170
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2003,250
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2004,400
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2005,250
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2006,370
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2007,402
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2008,343
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2009,370
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2010,467
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2011,375
"Albania",82,"Albania","Gilthead seabream","Mediterranean and Black Sea","Marine",2012,492
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2003,0
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2004,0
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2005,0
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2006,0
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2007,3
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2008,7
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2009,8
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2010,8
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2011,0
"Albania",82,"Albania","Kuruma prawn","Mediterranean and Black Sea","Marine",2012,0
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2003,860
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2004,800
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2005,860
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2006,1360
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2007,1360
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2008,950
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2009,1250
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2010,1410
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2011,1300
"Albania",82,"Albania","Mediterranean mussel","Mediterranean and Black Sea","Brackishwater",2012,760
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2003,0
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2004,0
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2005,0
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2006,0
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2007,0
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2008,0
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2009,0
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2010,0
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2011,0
"Algeria",84,"Algeria","Caramote prawn","Mediterranean and Black Sea","Brackishwater",2012,0
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2003,0
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2004,0
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2005,0
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2006,0
"Algeria",84,"Algeria","Common sole","Mediterranean and Black Sea","Brackishwater",2007,0
