iucn_sid,years,cats,stati,pop_trend_desc,calc_trend,pop_trend
222,"1994, 1996, 2004","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
224,"1996, 2010, 2011","VU, CR, CR","0.4667, -0.0667, -0.0667",decreasing,-0.03666,-1
225,"1996, 2010","EN, CR","0.2, -0.0667",decreasing,NA,-1
229,"1996, 2010","EN, CR","0.2, -0.0667",decreasing,NA,-1
230,"1994, 1996, 2010","EN, CR, CR","0.2, -0.0667, -0.0667",decreasing,-0.01053,-1
232,"1996, 2010","EN, CR","0.2, -0.0667",decreasing,NA,-1
233,"1996, 2006","VU, NT","0.4667, 0.7333",stable,NA,0
234,"1996, 2004","NT, LC","0.7333, 1",stable,NA,0
236,"1996, 2010","EN, CR","0.2, -0.0667",decreasing,NA,-1
241,"1996, 2010","EN, CR","0.2, -0.0667",decreasing,NA,-1
245,"1996, 2006","NT, NT","0.7333, 0.7333",increasing,NA,1
697,"1996, 2016","LC, LC","1, 1",unknown,NA,NA
1086,"1994, 1996, 2004","EN, VU, VU","0.2, 0.4667, 0.4667",unknown,0.01905,NA
1308,"1996, 2015","EN, LC","0.2, 1",unknown,NA,NA
1615,"1996, 2015","VU, LC","0.4667, 1",unknown,NA,NA
1793,"1996, 2000, 2004, 2008, 2015","LC, LC, LC, LC, NT","1, 1, 1, 1, 0.7333",decreasing,-0.01289,-1
2055,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",increasing,0,1
2057,"1996, 2008, 2015","VU, EN, EN","0.4667, 0.2, 0.2",decreasing,-0.01492,-1
2058,"1996, 2008, 2014, 2016","LC, LC, LC, LC","1, 1, 1, 1",decreasing,0,-1
2059,"1994, 1996, 2008, 2015","VU, VU, NT, LC","0.4667, 0.4667, 0.7333, 1",increasing,0.02521,1
2060,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",increasing,0,1
2061,"1994, 1996, 2008, 2015","VU, VU, NT, LC","0.4667, 0.4667, 0.7333, 1",increasing,0.02521,1
2062,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",stable,0,0
2467,"1994, 1996, 2008, 2012","VU, VU, LC, LC","0.4667, 0.4667, 1, 1",increasing,0.03404,1
2469,"1996, 2012","EN, EN","0.2, 0.2",unknown,NA,NA
2472,"1996, 2000, 2008, 2012","EN, CR, CR, CR","0.2, -0.0667, -0.0667, -0.0667",unknown,-0.01333,NA
2474,"1996, 2008","NT, LC","0.7333, 1",stable,NA,0
2475,"1994, 1996, 2008","VU, EN, EN","0.4667, 0.2, 0.2",unknown,-0.0124,NA
2477,"1994, 1996, 2008","EN, EN, EN","0.2, 0.2, 0.2",increasing,-0,1
2478,"1994, 1996, 2008, 2013","VU, EN, EN, EN","0.4667, 0.2, 0.2, 0.2",unknown,-0.00916,NA
2539,"1996, 2015","VU, NT","0.4667, 0.7333",decreasing,NA,-1
3012,"1994, 1996, 2010","EN, EN, LC","0.2, 0.2, 1",unknown,0.05263,NA
3381,"1996, 2010, 2012","NT, LC, LC","0.7333, 1, 1",stable,0.01755,0
3590,"1996, 2008, 2015","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
3755,"1996, 2004, 2008, 2014","LC, LC, LC, LC","1, 1, 1, 1",stable,0,0
3764,"1996, 2014","VU, EN","0.4667, 0.2",unknown,NA,NA
3851,"1996, 2000, 2009","VU, NT, NT","0.4667, 0.7333, 0.7333",unknown,0.01704,NA
3852,"1996, 2000, 2009","EN, NT, VU","0.2, 0.7333, 0.4667",decreasing,0.01203,-1
3853,"1996, 2000, 2009","VU, NT, VU","0.4667, 0.7333, 0.4667",decreasing,-0.00501,-1
3854,"1996, 2000, 2009","EN, VU, VU","0.2, 0.4667, 0.4667",unknown,0.01704,NA
3855,"1996, 2000, 2009","VU, VU, VU","0.4667, 0.4667, 0.4667",unknown,-0,NA
3897,"1994, 1996, 2015","VU, EN, VU","0.4667, 0.2, 0.4667",decreasing,0.00563,-1
4131,"1996, 2010","VU, LC","0.4667, 1",stable,NA,0
4160,"2008, 2013","NT, NT","0.7333, 0.7333",decreasing,NA,-1
4162,"1996, 2000, 2008, 2013","VU, EN, EN, EN","0.4667, 0.2, 0.2, 0.2",decreasing,-0.01245,-1
4292,"1996, 2000, 2005","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
4360,"1996, 2010","VU, LC","0.4667, 1",stable,NA,0
4361,"1996, 2010","VU, LC","0.4667, 1",stable,NA,0
4362,"1996, 2010","VU, LC","0.4667, 1",stable,NA,0
4364,"1996, 2010","VU, LC","0.4667, 1",stable,NA,0
4592,"1996, 2004","VU, EN","0.4667, 0.2",decreasing,NA,-1
4615,"1994, 1996, 2004","EN, EN, EN","0.2, 0.2, 0.2",decreasing,-0,-1
4805,"1996, 2015","VU, LC","0.4667, 1",unknown,NA,NA
5269,"1996, 2012","VU, LC","0.4667, 1",unknown,NA,NA
5270,"1996, 2012","VU, VU","0.4667, 0.4667",NA,NA,NA
5272,"1996, 2012","VU, NT","0.4667, 0.7333",unknown,NA,NA
5273,"1996, 2013","VU, NT","0.4667, 0.7333",unknown,NA,NA
5360,"2008, 2011","LC, LC","1, 1",unknown,NA,NA
5363,"1996, 2008","LC, LC","1, 1",unknown,NA,NA
5560,"1996, 2004, 2008","VU, VU, EN","0.4667, 0.4667, 0.2",decreasing,-0.01905,-1
5659,"1994, 1996, 2012","VU, VU, VU","0.4667, 0.4667, 0.4667",increasing,-0,1
5660,"1994, 2014","VU, CR","0.4667, -0.0667",decreasing,NA,-1
5667,"1994, 1996, 2013","VU, VU, VU","0.4667, 0.4667, 0.4667",stable,-0,0
5668,"1994, 1996","VU, LC","0.4667, 1",NA,NA,NA
5675,"1996, 2007","NT, LC","0.7333, 1",unknown,NA,NA
5796,"1996, 2008, 2013","LC, EN, EN","1, 0.2, 0.2",decreasing,-0.05066,-1
5819,"1996, 2008","LC, NT","1, 0.7333",decreasing,NA,-1
5828,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",unknown,0,NA
6204,"1996, 2008, 2016","LC, VU, VU","1, 0.4667, 0.4667",unknown,-0.02807,NA
6229,"1996, 1996, 2009","NT, VU, NT","0.7333, 0.4667, 0.7333",unknown,0.01025,NA
6335,"1996, 2008, 2012","VU, NT, NT","0.4667, 0.7333, 0.7333",unknown,0.01794,NA
6336,"1996, 2008","LC, LC","1, 1",unknown,NA,NA
6494,"1994, 1996, 2000, 2013","EN, EN, CR, VU","0.2, 0.2, -0.0667, 0.4667",decreasing,0.01585,-1
6909,"1994, 1996, 2006, 2008, 2015","VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0,-1
7121,"1994, 1996, 2008, 2016","EN, CR, EX, EX","0.2, -0.0667, -0.3333, -0.3333",NA,-0.02188,NA
7135,"1996, 2010, 2012","NT, LC, LC","0.7333, 1, 1",stable,0.01755,0
7750,"1996, 2000, 2008, 2011, 2015","LC, EN, EN, EN, EN","1, 0.2, 0.2, 0.2, 0.2",decreasing,-0.03252,-1
7821,"1996, 2010","NT, LC","0.7333, 1",unknown,NA,NA
7854,"1996, 2006","CR, CR","-0.0667, -0.0667",unknown,NA,NA
7858,"1996, 2006","VU, VU","0.4667, 0.4667",decreasing,NA,-1
7859,"1996, 2004","NT, EN","0.7333, 0.2",decreasing,NA,-1
7860,"1996, 2006","CR, CR","-0.0667, -0.0667",unknown,NA,NA
7861,"1996, 2007, 2008","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
7862,"1996, 2003","EN, EN","0.2, 0.2",decreasing,NA,-1
8005,"1994, 1996, 2008","EN, CR, CR","0.2, -0.0667, -0.0667",decreasing,-0.0124,-1
8010,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",unknown,0,NA
8097,"1996, 2008","VU, LC","0.4667, 1",stable,NA,0
8099,"1996, 2000, 2008","EN, CR, CR","0.2, -0.0667, -0.0667",increasing,-0.01905,1
8153,"1994, 1996, 2008, 2013","VU, VU, LC, LC","0.4667, 0.4667, 1, 1",increasing,0.03245,1
8239,"1994, 1996, 2008, 2012, 2016","VU, EN, EN, NT, NT","0.4667, 0.2, 0.2, 0.7333, 0.7333",increasing,0.0168,1
8951,"1996, 2008, 2010, 2013, 2015","LC, LC, LC, LC, LC","1, 1, 1, 1, 1",stable,0,0
8970,"1994, 1996, 2003, 2008","VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667",decreasing,0,-1
9104,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",unknown,0,NA
9105,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",unknown,0,NA
9128,"1996, 2004, 2008","LC, VU, EN","1, 0.4667, 0.2",decreasing,-0.06667,-1
9129,"1996, 2004, 2008","CR, NT, VU","-0.0667, 0.7333, 0.4667",unknown,0.05239,NA
9140,"1996, 2004, 2008","LC, LC, LC","1, 1, 1",stable,0,0
9153,"1996, 1996, 2004, 2008, 2016","LC, NT, LC, LC, LC","1, 0.7333, 1, 1, 1",stable,0.00741,0
9266,"1996, 2012","NT, LC","0.7333, 1",stable,NA,0
9281,"1996, 2007","CR, CR","-0.0667, -0.0667",decreasing,NA,-1
9461,"2008, 2012","LC, LC","1, 1",unknown,NA,NA
9660,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",increasing,0,1
10030,"1996, 2000, 2005","VU, NT, NT","0.4667, 0.7333, 0.7333",unknown,0.02841,NA
10066,"1996, 2003","VU, VU","0.4667, 0.4667",decreasing,NA,-1
10072,"1996, 2003, 2012","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
10075,"1996, 2003, 2014","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
10083,"1996, 2010","VU, LC","0.4667, 1",unknown,NA,NA
10084,"1996, 2003, 2012","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
10087,"1996, 2003, 2015","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
10269,"1996, 2010","EN, CR","0.2, -0.0667",decreasing,NA,-1
10276,"1994, 1996, 2000, 2008, 2015","VU, LC, NT, NT, NT","0.4667, 1, 0.7333, 0.7333, 0.7333",stable,0.00173,0
10303,"1994, 1996, 2008, 2016","EX, EX, EX, EX","-0.3333, -0.3333, -0.3333, -0.3333",NA,0,NA
10329,"1994, 1996, 2008, 2015","VU, NT, VU, VU","0.4667, 0.7333, 0.4667, 0.4667",decreasing,-0.00647,-1
10340,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",unknown,0,NA
10708,"1996, 2008","VU, LC","0.4667, 1",unknown,NA,NA
10724,"1996, 2015","VU, LC","0.4667, 1",unknown,NA,NA
10831,"1994, 1996","VU, VU","0.4667, 0.4667",NA,NA,NA
11030,"1996, 2008, 2011","LC, LC, LC","1, 1, 1",unknown,0,NA
11130,"1996, 2010","VU, VU","0.4667, 0.4667",decreasing,NA,-1
11140,"2008, 2012","LC, LC","1, 1",unknown,NA,NA
11141,"1996, 2008","LC, LC","1, 1",unknown,NA,NA
11142,"1996, 2008, 2012","LC, LC, LC","1, 1, 1",unknown,0,NA
11144,"1996, 2008","LC, LC","1, 1",unknown,NA,NA
11145,"1996, 2008, 2012","LC, LC, LC","1, 1, 1",unknown,0,NA
11200,"1996, 2000, 2006","VU, NT, VU","0.4667, 0.7333, 0.4667",decreasing,-0.00351,-1
11206,"1996, 2008, 2011","NT, LC, LC","0.7333, 1, 1",unknown,0.01905,NA
11375,"1994, 1996, 2000","VU, EN, CR","0.4667, 0.2, -0.0667",unknown,-0.08573,NA
11533,"1994, 1996","EN, CR","0.2, -0.0667",NA,NA,NA
11534,"1994, 1996, 2008","EN, EN, VU","0.2, 0.2, 0.4667",decreasing,0.02016,-1
11696,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",unknown,0,NA
11790,"1994, 1996, 2008","EN, EN, EN","0.2, 0.2, 0.2",decreasing,-0,-1
11794,"1994, 1996, 2008","EN, NT, NT","0.2, 0.7333, 0.7333",unknown,0.0248,NA
11987,"1996, 2016","NT, VU","0.7333, 0.4667",decreasing,NA,-1
12119,"1994, 1996, 2006, 2007, 2008","EN, CR, CR, CR, CR","0.2, -0.0667, -0.0667, -0.0667, -0.0667",unknown,-0.01237,NA
12125,"1996, 2008, 2012","LC, LC, LC","1, 1, 1",unknown,0,NA
12137,"1996, 2014","VU, EN","0.4667, 0.2",decreasing,NA,-1
12246,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",unknown,0,NA
12302,"2000, 2004, 2008, 2015","LC, LC, LC, LC","1, 1, 1, 1",stable,0,0
12303,"1994, 1996, 2000, 2004, 2008, 2015","VU, EN, EN, EN, EN, EN","0.4667, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.00763,-1
12304,"1994, 1996, 2015","VU, LC, NT","0.4667, 1, 0.7333",decreasing,0.00198,-1
12305,"1994, 1996, 2000, 2004, 2008, 2015","VU, VU, EN, EN, EN, EN","0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2",decreasing,-0.01353,-1
12416,"1996, 2016","VU, NT","0.4667, 0.7333",decreasing,NA,-1
12417,"1996, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
12419,"1996, 2000, 2004, 2008, 2015","LC, VU, NT, NT, NT","1, 0.4667, 0.7333, 0.7333, 0.7333",decreasing,-0.00496,-1
12420,"1996, 2000, 2004, 2008, 2015","LC, VU, LC, LC, NT","1, 0.4667, 1, 1, 0.7333",decreasing,-0.00149,-1
12421,"1996, 2008, 2015","VU, EN, EN","0.4667, 0.2, 0.2",decreasing,-0.01492,-1
12427,"1996, 2000, 2004, 2008, 2015","VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0,-1
13006,"1994, 1996, 2008","VU, VU, LC","0.4667, 0.4667, 1",increasing,0.04031,1
13232,"2008, 2011","LC, LC","1, 1",NA,NA,NA
13417,"1994, 1996, 2000, 2008","EN, LC, NT, VU","0.2, 1, 0.7333, 0.4667",stable,-0.00232,0
13581,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",increasing,0,1
13583,"1996, 2008, 2015","LC, LC, LC","1, 1, 1",stable,0,0
13653,"1994, 1996, 2008, 2013, 2015","EN, CR, CR, CR, EN","0.2, -0.0667, -0.0667, -0.0667, 0.2",increasing,-0.001,1
13654,"1994, 1996, 2008, 2015","EN, EN, CR, EN","0.2, 0.2, -0.0667, 0.2",decreasing,-0.00424,-1
13704,"2008, 2012","NT, NT","0.7333, 0.7333",unknown,NA,NA
14049,"1996, 2007, 2008","VU, EN, EN","0.4667, 0.2, 0.2",decreasing,-0.02306,-1
14050,"1996, 2008","VU, LC","0.4667, 1",decreasing,NA,-1
14051,"1996, 1996, 2007, 2008, 2015","VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667",unknown,-0,NA
14052,"1996, 2008","VU, NT","0.4667, 0.7333",decreasing,NA,-1
14053,"1996, 2007, 2008","VU, VU, VU","0.4667, 0.4667, 0.4667",decreasing,-0,-1
14128,"1996, 2008","LC, LC","1, 1",increasing,NA,1
14214,"1994, 1996, 2008, 2010, 2013","VU, LC, LC, LC, LC","0.4667, 1, 1, 1, 1",stable,0.01833,0
14264,"1994, 1996, 2007","EN, LC, LC","0.2, 1, 1",decreasing,0.04082,-1
