rgn_id,trend_hs_orig,trend_hs_new,,rgn_id,st_hs_orig,st_hs_new,,,
260,-0.462358707,-0.448337,,260,75.05577535,0.757721,,-1,-1
261,-0.208410653,-0.13485,,261,77.4179027,0.769268,,-0.8,-0.8
262,-0.1940142,-0.184671,,262,79.14525998,0.769826,,-0.6,-0.6
263,-0.217246109,-0.198373,,263,80.63921118,0.817362,,-0.4,-0.4
264,-0.246176124,-0.221896,,264,81.40911429,0.811845,,-0.2,-0.2
266,-0.238482235,-0.118882,,266,79.45090913,0.824541,,0,0
267,-0.245748963,-0.190585,,267,79.7140227,0.827709,,0.2,0.2
269,-0.231824101,-0.198721,,269,82.02136576,0.835628,,0.4,0.4
270,-0.223862302,-0.204182,,270,79.93363576,0.826282,,0.6,0.6
272,-0.120155072,-0.143985,,272,79.09966593,0.815641,,0.8,0.8
273,-0.051639599,-0.0371819,,273,80.22818238,0.82314,,1,1
274,-0.183999773,-0.189297,,274,82.51689569,0.82889,,,
275,-0.191048475,-0.207358,,275,78.76684297,0.825967,,,
276,-0.200448407,-0.152538,,276,78.07587269,0.818692,,,
277,-0.220551368,-0.167752,,277,77.75893876,0.812429,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sp_id,tr_aq_orig,tr_aq_new,,sp_id,st_aq_orig,st_aq_new,,,
248100,-0.014513527,0.246084,,248100,84.75237916,0.832347,,,
248200,-0.042962574,0.322324,,248200,84.66769102,0.830428,,,
248300,-0.13052323,0.224563,,248300,81.35288092,0.81007,,,
248400,-0.080528769,0.263633,,248400,82.53526286,0.810768,,,
248500,0.045051736,NaN,,248500,84.5556154,0.823427,,,
248600,-0.039864004,0.333393,,248600,83.22178205,0.829171,,,
258410,-0.03450983,0.338297,,258410,85.10397143,0.860783,,,
258420,0.076187011,0.290773,,258420,87.0087926,0.862177,,,
258431,-0.087274876,0.390972,,258431,83.22474742,0.870368,,,
258432,-0.077006049,0.35766,,258432,85.44465194,0.872921,,,
258441,-0.106009184,0.384525,,258441,81.44338732,0.830257,,,
258442,-0.120117264,0.35034,,258442,80.89838195,0.823622,,,
258510,-0.197901051,0.137652,,258510,79.7131622,0.814402,,,
258520,-0.158718592,0.381804,,258520,80.19032373,0.830628,,,
258600,-0.190724056,0.185047,,258600,79.38866717,0.805282,,,
258700,-0.200346854,0.0676912,,258700,78.30412004,0.812181,,,
288100,-0.031095501,0.323835,,288100,85.10686576,0.839028,,,
288200,-0.05220357,0.32414,,288200,84.40960693,0.828386,,,
288300,-0.022508824,0.31807,,288300,86.14124199,0.835147,,,
