iucn_sid,am_sid,sciname,am_sciname,fbname,am_cat
22728372.0,ITS-824134,Thalassarche carteri,Thalassarche carteri,Indian yellow-nosed albatross,NA
22728328.0,ITS-563380,Thalassarche bulleri,Thalassarche bulleri,Buller's albatross,NA
22680033.0,ITS-175220,Tachyeres pteneres,Tachyeres pteneres,flightless steamerduck,NA
22680038.0,ITS-553910,Tachyeres leucocephalus,Tachyeres leucocephalus,Chubut steamerduck,NA
22680047.0,ITS-553911,Tachyeres brachypterus,Tachyeres brachypterus,Falkland steamerduck,NA
22680052.0,ITS-175219,Tachyeres patachonicus,Tachyeres patachonicus,flying steamerduck,NA
22680405.0,ITS-175155,Somateria mollissima,Somateria mollissima,common eider,NA
22680409.0,ITS-175160,Somateria spectabilis,Somateria spectabilis,king eider,NA
22680412.0,ITS-175161,Somateria fischeri,Somateria fischeri,spectacled eider,NA
22680415.0,ITS-175153,Polysticta stelleri,Polysticta stelleri,Steller's eider,NA
22680423.0,ITS-175149,Histrionicus histrionicus,Histrionicus histrionicus,harlequin duck,NA
22680427.0,ITS-175147,Clangula hyemalis,Clangula hyemalis,long-tailed duck,NA
22680441.0,ITS-175170,Melanitta perspicillata,Melanitta perspicillata,surf scoter,NA
22680455.0,ITS-175141,Bucephala clangula,Bucephala clangula,common goldeneye,NA
22680459.0,ITS-175144,Bucephala islandica,Bucephala islandica,Barrow's goldeneye,NA
22680462.0,ITS-175145,Bucephala albeola,Bucephala albeola,bufflehead,NA
22680485.0,ITS-175187,Mergus serrator,Mergus serrator,red-breasted merganser,NA
22724879.0,ITS-175171,Melanitta nigra,Melanitta nigra,black scoter,NA
22724836.0,ITS-175163,Melanitta fusca,Melanitta fusca,velvet scoter,NA
22728950.0,ITS-174725,Phalacrocorax pelagicus,Phalacrocorax pelagicus,pelagic cormorant,NA
22728990.0,ITS-726047,Sula granti,Sula granti,Nazca booby,NA
22729e3,ITS-554143,Brachyramphus perdix,Brachyramphus perdix,long-billed murrelet,NA
22729604.0,ITS-554451,Thalassarche cauta,Thalassarche cauta,shy albatross,NA
22733989.0,ITS-174685,Pelecanus occidentalis,Pelecanus occidentalis,brown pelican,NA
22735929.0,ITS-554270,Larus cachinnans,Larus cachinnans,yellow-legged gull,NA
22736173.0,ITS-174699,Sula dactylatra,Sula dactylatra,masked booby,NA
202413.0,Fis-22922,Osmerus mordax,Osmerus mordax,Rainbow smelt,NA
202406.0,Fis-25024,Syngnathus scovelli,Syngnathus scovelli,Gulf pipefish,NA
202405.0,Fis-22909,Microgadus tomcod,Microgadus tomcod,Atlantic tomcod,NA
196016.0,Fis-27126,Eptatretus burgeri,Eptatretus burgeri,Inshore hagfish,NA
201947.0,Fis-23333,Alosa mediocris,Alosa mediocris,Hickory shad,NA
201946.0,Fis-23327,Alosa aestivalis,Alosa aestivalis,Blueback shad,NA
199932.0,Fis-25893,Hemiscyllium freycineti,Hemiscyllium freycineti,Indonesia speckled carpetshark,NA
22696734.0,SLB-130717,Microcarbo pygmaeus,Phalacrocorax pygmaeus,pygmy cormorant,NA
22696743.0,ITS-174746,Microcarbo melanoleucos,Phalacrocorax melanoleucos,little pied cormorant,NA
22696753.0,ITS-174724,Phalacrocorax penicillatus,Phalacrocorax penicillatus,Brandt's cormorant,NA
22696756.0,ITS-561969,Phalacrocorax harrisi,Phalacrocorax harrisi,flightless cormorant,NA
22696766.0,ITS-174747,Phalacrocorax neglectus,Phalacrocorax neglectus,bank cormorant,NA
