iucn_sid,year,old_cat,cat_txt,cat_ts,cat_ts_score
10030,1996,VU,Vulnerable,VU,0.4
10030,2000,LR/nt,Lower Risk/near threatened,NT,0.2
10030,2005,NT,Near Threatened,NT,0.2
10057,1996,VU,Vulnerable,VU,0.4
10064,1996,VU,Vulnerable,VU,0.4
10065,1996,VU,Vulnerable,VU,0.4
10066,1996,VU,Vulnerable,VU,0.4
10066,2003,VU,Vulnerable,VU,0.4
10069,1996,VU,Vulnerable,VU,0.4
10070,2012,VU,Vulnerable,VU,0.4
10072,1996,VU,Vulnerable,VU,0.4
10072,2003,VU,Vulnerable,VU,0.4
10072,2012,VU,Vulnerable,VU,0.4
10074,1996,VU,Vulnerable,VU,0.4
10075,1996,VU,Vulnerable,VU,0.4
10075,2003,VU,Vulnerable,VU,0.4
10075,2014,VU,Vulnerable,VU,0.4
10082,1996,VU,Vulnerable,VU,0.4
10083,1996,VU,Vulnerable,VU,0.4
10083,2010,LC,Least Concern,LC,0.0
10084,1996,VU,Vulnerable,VU,0.4
10084,2003,VU,Vulnerable,VU,0.4
10084,2012,VU,Vulnerable,VU,0.4
10087,1996,VU,Vulnerable,VU,0.4
10087,2003,VU,Vulnerable,VU,0.4
10087,2015,VU,Vulnerable,VU,0.4
10088,1996,VU,Vulnerable,VU,0.4
10089,1996,VU,Vulnerable,VU,0.4
10097,1996,EN,Endangered,EN,0.6
10105,1996,LR/cd,Lower Risk/conservation dependent,VU,0.4
10106,1996,LR/cd,Lower Risk/conservation dependent,VU,0.4
10269,1996,EN,Endangered,EN,0.6
10269,2010,CR,Critically Endangered,CR,0.8
10276,1986,V,Vulnerable,VU,0.4
10276,1988,V,Vulnerable,VU,0.4
10276,1990,V,Vulnerable,VU,0.4
10276,1994,V,Vulnerable,VU,0.4
10276,1996,LR/lc,Lower Risk/least concern,LC,0.0
10276,2000,LR/nt,Lower Risk/near threatened,NT,0.2
10276,2008,NT,Near Threatened,NT,0.2
10276,2015,NT,Near Threatened,NT,0.2
102998555,2016,LC,Least Concern,LC,0.0
10303,1986,Ex,Extinct,EX,1.0
10303,1988,Ex,Extinct,EX,1.0
10303,1990,Ex,Extinct,EX,1.0
10303,1994,Ex,Extinct,EX,1.0
10303,1996,EX,Extinct,EX,1.0
10303,2008,EX,Extinct,EX,1.0
10303,2016,EX,Extinct,EX,1.0
10329,1990,R,Rare,EN,0.6
10329,1994,V,Vulnerable,VU,0.4
10329,1996,LR/nt,Lower Risk/near threatened,NT,0.2
10329,2008,VU,Vulnerable,VU,0.4
10329,2015,VU,Vulnerable,VU,0.4
10340,1996,LR/lc,Lower Risk/least concern,LC,0.0
10340,2008,LC,Least Concern,LC,0.0
10340,2015,LC,Least Concern,LC,0.0
103670928,2016,NT,Near Threatened,NT,0.2
103670944,2016,NT,Near Threatened,NT,0.2
103702644,2016,EN,Endangered,EN,0.6
103727557,2016,LC,Least Concern,LC,0.0
103727590,2016,LC,Least Concern,LC,0.0
103766072,2016,LC,Least Concern,LC,0.0
103766090,2016,LC,Least Concern,LC,0.0
103766143,2016,LC,Least Concern,LC,0.0
103773898,2016,LC,Least Concern,LC,0.0
103780243,2016,LC,Least Concern,LC,0.0
103780258,2016,LC,Least Concern,LC,0.0
103780279,2016,NT,Near Threatened,NT,0.2
103795069,2016,LC,Least Concern,LC,0.0
103798407,2016,LC,Least Concern,LC,0.0
103798418,2016,VU,Vulnerable,VU,0.4
103817982,2016,LC,Least Concern,LC,0.0
103818044,2016,LC,Least Concern,LC,0.0
103889573,2016,LC,Least Concern,LC,0.0
103889606,2016,LC,Least Concern,LC,0.0
104006414,2016,LC,Least Concern,LC,0.0
104007058,2016,LC,Least Concern,LC,0.0
104062546,2016,LC,Least Concern,LC,0.0
104062579,2016,EN,Endangered,EN,0.6
10707,1986,V,Vulnerable,VU,0.4
10707,1988,V,Vulnerable,VU,0.4
10707,1990,V,Vulnerable,VU,0.4
10707,1996,LR/cd,Lower Risk/conservation dependent,VU,0.4
10708,1996,LR/cd,Lower Risk/conservation dependent,VU,0.4
10708,2008,LC,Least Concern,LC,0.0
10724,1996,VU,Vulnerable,VU,0.4
10724,2015,LC,Least Concern,LC,0.0
10831,1988,V,Vulnerable,VU,0.4
10831,1990,V,Vulnerable,VU,0.4
10831,1994,V,Vulnerable,VU,0.4
10831,1996,VU,Vulnerable,VU,0.4
1086,1986,R,Rare,EN,0.6
1086,1988,R,Rare,EN,0.6
1086,1990,R,Rare,EN,0.6
1086,1994,R,Rare,EN,0.6
1086,1996,VU,Vulnerable,VU,0.4
1086,2004,VU,Vulnerable,VU,0.4
11030,1996,LR/lc,Lower Risk/least concern,LC,0.0
