"rgn_id","year","score","rgn_name"
14,2015,0.621429,"Taiwan"
15,2015,0.518571,"Philippines"
16,2015,0.711429,"Australia"
20,2015,0.624286,"South Korea"
24,2015,0.462857,"Cambodia"
25,2015,0.608571,"Thailand"
31,2015,0.571429,"Seychelles"
37,2015,0.557143,"Mauritius"
40,2015,0.542857,"Sri Lanka"
41,2015,0.401429,"Mozambique"
42,2015,0.427143,"Madagascar"
43,2015,0.511429,"Kenya"
47,2015,0.374286,"Yemen"
48,2015,0.541429,"Oman"
50,2015,0.542857,"Saudi Arabia"
51,2015,0.465714,"Kuwait"
52,2015,0.55,"Bahrain"
53,2015,0.417143,"Pakistan"
54,2015,0.632857,"United Arab Emirates"
56,2015,0.494286,"Cape Verde"
59,2015,0.644286,"Belgium"
61,2015,0.505714,"Tunisia"
62,2015,0.544286,"Morocco"
64,2015,0.377143,"Mauritania"
65,2015,0.457143,"Gambia"
66,2015,0.448571,"Senegal"
68,2015,0.594286,"Malta"
69,2015,0.572857,"Latvia"
70,2015,0.602857,"Estonia"
71,2015,0.578571,"Bulgaria"
72,2015,0.54,"Romania"
73,2015,0.582857,"Russia"
74,2015,0.525714,"Georgia"
76,2015,0.582857,"Turkey"
78,2015,0.478571,"Lebanon"
79,2015,0.522857,"Israel"
80,2015,0.622857,"Greece"
81,2015,0.607143,"Cyprus"
82,2015,0.46,"Albania"
84,2015,0.418571,"Algeria"
96,2015,0.395714,"Sierra Leone"
101,2015,0.527143,"Namibia"
102,2015,0.582857,"South Africa"
106,2015,0.43,"Ghana"
114,2015,0.392857,"Haiti"
115,2015,0.5,"Dominican Republic"
116,2015,0.558571,"Puerto Rico and Virgin Islands of the United States"
124,2015,0.582857,"Barbados"
126,2015,0.53,"Trinidad and Tobago"
129,2015,0.611429,"Panama"
130,2015,0.585714,"Costa Rica"
131,2015,0.481429,"Nicaragua"
132,2015,0.532857,"Colombia"
133,2015,0.487143,"Honduras"
134,2015,0.487143,"El Salvador"
135,2015,0.622857,"Mexico"
136,2015,0.501429,"Guatemala"
138,2015,0.554286,"Peru"
139,2015,0.454286,"Venezuela"
143,2015,0.648571,"Iceland"
162,2015,0.662857,"New Zealand"
163,2015,0.731429,"United States"
166,2015,0.512857,"Jamaica"
167,2015,0.465714,"Guyana"
168,2015,0.468571,"Suriname"
171,2015,0.624286,"Brazil"
172,2015,0.557143,"Argentina"
173,2015,0.521429,"Uruguay"
174,2015,0.638571,"Finland"
175,2015,0.625714,"Denmark"
176,2015,0.745714,"Germany"
177,2015,0.667143,"Netherlands"
178,2015,0.582857,"Poland"
179,2015,0.748571,"France"
180,2015,0.731429,"United Kingdom"
181,2015,0.647143,"Ireland"
182,2015,0.758571,"Spain"
183,2015,0.662857,"Portugal"
184,2015,0.711429,"Italy"
186,2015,0.535714,"Montenegro"
187,2015,0.614286,"Croatia"
188,2015,0.595714,"Slovenia"
189,2015,0.554286,"Lithuania"
190,2015,0.584286,"Qatar"
191,2015,0.474286,"Iran"
194,2015,0.368571,"Guinea"
195,2015,0.435714,"Ivory Coast"
196,2015,0.398571,"Nigeria"
197,2015,0.421429,"Cameroon"
198,2015,0.417143,"Gabon"
200,2015,0.371429,"Angola"
202,2015,0.478571,"Tanzania"
203,2015,0.574286,"India"
204,2015,0.414286,"Bangladesh"
205,2015,0.388571,"Myanmar"
206,2015,0.63,"Malaysia"
207,2015,0.514286,"Vietnam"
208,2015,0.694286,"Singapore"
209,2015,0.658571,"China"
210,2015,0.705714,"Japan"
214,2015,0.498571,"Egypt"
215,2015,0.512857,"Jordan"
216,2015,0.577143,"Indonesia"
218,2015,0.702857,"Canada"
222,2015,0.635714,"Sweden"
223,2015,0.645714,"Norway"
224,2015,0.577143,"Chile"
255,2015,0.497143,"Azerbaijan"
