date,rgn_name,rgn_name_full
2-Jul-15,Nepal,Nepal
1-Jul-15,Republic of South Sudan,Republic of South Sudan
22-Jun-15,El Salvador,El Salvador
22-Jun-15,Iraq,Iraq
15-Jun-15,Sudan,Sudan
5-Jun-15,Colombia,Colombia
29-May-15,Lebanon,Lebanon
22-May-15,Afghanistan,Afghanistan
20-May-15,Philippines,Philippines
14-May-15,Burundi,Burundi
13-May-15,Kenya,Kenya
7-May-15,Mali,Mali
6-May-15,Eritrea,Eritrea
5-May-15,Mexico,Mexico
1-May-15,Central African Republic,Central African Republic
23-Apr-15,North Korea,North Korea
3-Apr-15,Yemen,Yemen
3-Mar-15,Syria,Syria
2-Mar-15,Honduras,Honduras
26-Feb-15,Chad,Chad
24-Feb-15,Algeria,Algeria
24-Feb-15,Saudi Arabia,Saudi Arabia
24-Feb-15,Pakistan,Pakistan
18-Feb-15,Israel,"Israel, The West Bank and Gaza"
5-Feb-15,Sierra Leone,Sierra Leone
4-Feb-15,Cameroon,Cameroon
2-Feb-15,Nigeria,Nigeria
21-Jan-15,Liberia,Liberia
20-Jan-15,Libya,Libya
16-Jan-15,Iran,Iran
5-Jan-15,Ukraine,Ukraine
11-Dec-14,Venezuela,Venezuela
4-Dec-14,Haiti,Haiti
25-Nov-14,Democratic Republic of the Congo,Democratic Republic of the Congo
25-Nov-14,Djibouti,Djibouti
24-Oct-14,Somalia,Somalia
7-Oct-14,Mauritania,Mauritania
27-Mar-14,Niger,Niger
