"sp_id","sp_type","sp_name","sp_key","rgn_type","rgn_id","rgn_name","rgn_key","cntry_id12","rgn_id12","rgn_name12","Shape_Leng","Shape_Area","area_km2","masked_ecosystems_s_t_s_bottom","masked_ecosystems_soft_shelf","masked_ecosystems_soft_slope","masked_ecosystems_d_s_bottom"
26,"eez","Vanuatu","VUT","eez",6,"Vanuatu","VUT","VUT",4,"Vanuatu",59.1003581758,52.4250204059,618645.279664,661,456,32418,406327
27,"eez","Solomon Islands","SLB","eez",7,"Solomon Islands","SLB","SLB",5,"Solomon Islands",144.930931183,131.955479962,1598288.42878,6631,4249,187362,1297275
28,"eez","Palau","PLW","eez",8,"Palau","PLW","PLW",6,"Palau",33.3962107123,49.4282329133,604246.416393,86,64,4479,654209
29,"eez","Micronesia","FSM","eez",9,"Micronesia","FSM","FSM",7,"Micronesia",92.4272097077,245.115749966,2992384.37227,5972,2562,102264,2863392
30,"eez","Nauru","NRU","eez",10,"Nauru","NRU","NRU",8,"Nauru",19.0413004348,25.074886619,308506.735695,21,11,194,355380
31,"eez","Marshall Islands","MHL","eez",11,"Marshall Islands","MHL","MHL",9,"Marshall Islands",74.4187955351,164.636681564,1992076.81822,2604,629,22836,1470097
32,"eez","Wake Island","UMI","eez",12,"Wake Island","UMI","Wake Island",114,"USA Pacific Uninhabited Territories",21.6624513694,35.0531189451,407243.294146,0,0,540,220809
33,"eez","Northern Mariana Islands and Guam","MNP","eez",13,"Northern Mariana Islands and Guam","MNP","MNP|GUM",111,"USA Pacific Inhabited Territories",40.8302575025,82.576485358,970764.3168,206,216,39183,909232
34,"eez","Taiwan","TWN","eez",14,"Taiwan","TWN","TWN",10,"Taiwan",49.3872614557,29.7839531517,341307.694887,23706,57096,115891,171947
35,"eez","Philippines","PHL","eez",15,"Philippines","PHL","PHL",11,"Philippines",372.718334376,152.118713491,1823938.33298,26727,20259,184222,1305729
36,"eez","Papua New Guinea","PNG","eez",17,"Papua New Guinea","PNG","PNG",13,"Papua New Guinea",258.13452963,195.850284564,2392629.59255,111935,45177,626975,1612645
37,"eez","Fiji","FJI","eez",18,"Fiji","FJI","FJI",14,"Fiji",109.00554395,109.522557919,1281199.39228,8474,3402,134353,994760
38,"eez","Tuvalu","TUV","eez",19,"Tuvalu","TUV","TUV",15,"Tuvalu",51.21690315,61.7014342615,752093.996528,2507,1134,23610,706569
