"FAO","TotalCatch"
"21",185480.854719924
"27",77633.0191501304
"31",77075.71
"34",312943.427688989
"41",323356.913783163
"47",136965.182687464
"48",164662.42
"51",502398.84
"57",1123481.92339721
"58",768.920585531853
"61",1127837.48
"67",63739.56
"71",1492755.53
"77",494594.33
"81",186450.47
"87",1102800.15
"88",2592
"481",9215147.6372
"482",115995306.2248
"483",57666100.9089401
"484",59920.65
"486",401057.06
"5841",217541.04
"5842",135878.85
"5843a",4165.03
"5843b",12038.37
"5844b",37900
"5851",6580647.2722553
"5852",2799412.5
"586",882053.7552184
"587",96013.69
"881",3040060.43
"882",655033.41
"883",6045.4
