"sp_id","sp_type","sp_name","sp_key","rgn_type","rgn_id","rgn_name","rgn_key","cntry_id12","rgn_id12","rgn_name12","Shape_Leng","Shape_Area","area_km2","catch_dem_d_gcs"
1,"eez","Australia","AUS","eez",16,"Australia","AUS","AUS",12,"Australia",811.713459093,642.178840464,6931124.04234,56.0122104049843
2,"eez","Cocos Islands","CCK","eez",1,"Cocos Islands","CCK","CCK",1,"Australian Tropical Territories",23.0057340792,38.8078252105,467246.244448,0.0774142001775908
3,"eez","Christmas Island","CXR","eez",2,"Christmas Island","CXR","CXR",1,"Australian Tropical Territories",19.8882802861,27.1615810107,327999.950118,0.0802453001763206
4,"eez","Norfolk Island","NFK","eez",3,"Norfolk Island","NFK","NFK",1,"Australian Tropical Territories",23.1373179943,39.9740076901,431137.891422,1.97116220606826
5,"eez","Macquarie Island","AUS","eez",4,"Macquarie Island","AUS","Macquarie Island",2,"Australian Southern Ocean Territories",31.7338133463,66.6985867596,476361.337803,0.0529914002977603
6,"eez","New Caledonia","NCL","eez",5,"New Caledonia","NCL","NCL",3,"New Caledonia",85.8778284557,119.364649599,1369630.95356,0.397989405062835
7,"eez","Vanuatu","VUT","eez",6,"Vanuatu","VUT","VUT",4,"Vanuatu",59.1003581761,52.4250204064,618645.279671,0.328517897149868
8,"eez","Solomon Islands","SLB","eez",7,"Solomon Islands","SLB","SLB",5,"Solomon Islands",144.930931184,131.955479964,1598288.42879,2.26657581020594
9,"eez","Palau","PLW","eez",8,"Palau","PLW","PLW",6,"Palau",33.3962107125,49.4282329138,604246.416399,0.21682839840083
10,"eez","Micronesia","FSM","eez",9,"Micronesia","FSM","FSM",7,"Micronesia",92.4272097081,245.115749968,2992384.37229,0.513591499224567
11,"eez","Nauru","NRU","eez",10,"Nauru","NRU","NRU",8,"Nauru",19.0413004349,25.0748866192,308506.735698,0.0852891000245654
12,"eez","Marshall Islands","MHL","eez",11,"Marshall Islands","MHL","MHL",9,"Marshall Islands",74.4187955355,164.636681565,1992076.81824,0.313462699480224
13,"eez","Wake Island","UMI","eez",12,"Wake Island","UMI","Wake Island",114,"USA Pacific Uninhabited Territories",21.6624513695,35.0531189455,407243.294149,0.141105200690217
14,"eez","Northern Mariana Islands and Guam","MNP","eez",13,"Northern Mariana Islands and Guam","MNP","MNP|GUM",111,"USA Pacific Inhabited Territories",40.8302575027,82.5764853588,970764.316808,0.235693098556658
15,"eez","Taiwan","TWN","eez",14,"Taiwan","TWN","TWN",10,"Taiwan",49.387261456,29.783953152,341307.69489,73.7229076920367
16,"eez","Philippines","PHL","eez",15,"Philippines","PHL","PHL",11,"Philippines",372.718334378,152.118713492,1823938.333,96.6051727084097
17,"eez","Papua New Guinea","PNG","eez",17,"Papua New Guinea","PNG","PNG",13,"Papua New Guinea",258.134529632,195.850284566,2392629.59258,7.17063408209629
18,"eez","Fiji","FJI","eez",18,"Fiji","FJI","FJI",14,"Fiji",109.005543949,109.522557911,1281199.39388,2.63813620084187
19,"eez","Tuvalu","TUV","eez",19,"Tuvalu","TUV","TUV",15,"Tuvalu",51.2169031445,61.7014342544,752093.99491,0.107035700084743
20,"eez","South Korea","KOR","eez",20,"South Korea","KOR","KOR",16,"South Korea",160.433444093,32.2164586743,324396.358511,236.492049901396
21,"eez","North Korea","PRK","eez",21,"North Korea","PRK","PRK",17,"North Korea",55.9233714442,12.2121165409,115889.148587,33.8750391048705
22,"eez","Cambodia","KHM","eez",24,"Cambodia","KHM","KHM",18,"Cambodia",17.7735491028,3.93326174425,47663.1162659,16.1883631847799
23,"eez","Thailand","THA","eez",25,"Thailand","THA","THA",19,"Thailand",85.1698268989,25.0962519525,304948.834302,62.6011094444594
24,"eez","Andaman and Nicobar","IND","eez",26,"Andaman and Nicobar","IND","Andaman and Nicobar",153,"India",62.6838003968,54.4319546755,659425.010905,29.4892625960137
25,"eez","Comoro Islands","COM","eez",28,"Comoro Islands","COM","COM",20,"Comoros",20.0658712553,13.6401461385,164625.00032,0.597779895911917
26,"eez","Mayotte","MYT","eez",29,"Mayotte","MYT","MYT",21,"French Indian Ocean Territories",11.7460860844,5.2525923849,62982.2302263,0.32653409731447
27,"eez","Glorioso Islands","ATF","eez",30,"Glorioso Islands","ATF","Glorioso Islands",21,"French Indian Ocean Territories",7.55479449156,3.60027754132,43431.2044428,0.0166149001288068
28,"eez","Seychelles","SYC","eez",31,"Seychelles","SYC","SYC",22,"Seychelles",55.6425317628,109.025643456,1331983.46473,0.724714300757187
29,"eez","Reunion","REU","eez",32,"Reunion","REU","REU",21,"French Indian Ocean Territories",22.3451414027,27.5175895093,315070.507236,0.0625024003054205
30,"eez","Juan de Nova Island","ATF","eez",33,"Juan de Nova Island","ATF","Juan de Nova Island",21,"French Indian Ocean Territories",9.74551768835,5.28716174866,62205.2757555,0.021910300726704
31,"eez","Bassas da India","ATF","eez",34,"Bassas da India","ATF","Bassas da India",21,"French Indian Ocean Territories",13.0232326558,10.5503973312,121556.786156,1.64999995831749e-05
32,"eez","Ile Europa","ATF","eez",35,"Ile Europa","ATF","Ile Europa",21,"French Indian Ocean Territories",13.6719122244,11.0561464145,125047.546771,0.0086613998030225
33,"eez","Ile Tromelin","ATF","eez",36,"Ile Tromelin","ATF","Ile Tromelin",21,"French Indian Ocean Territories",18.1591302199,22.8090652714,270477.946038,0.00727440003462107
34,"eez","Mauritius","MUS","eez",37,"Mauritius","MUS","MUS",23,"Mauritius",57.1053816493,108.141062819,1272769.51487,1.79411279155876
35,"eez","British Indian Ocean Territory","IOT","eez",38,"British Indian Ocean Territory","IOT","IOT",24,"British Indian Ocean Territory",28.9225141612,52.246812534,638566.135526,0.120344599095843
36,"eez","Maldives","MDV","eez",39,"Maldives","MDV","MDV",25,"Maldives",51.8021147308,74.5840771522,916018.78832,3.87495551304091
37,"eez","Sri Lanka","LKA","eez",40,"Sri Lanka","LKA","LKA",26,"Sri Lanka",52.8262692173,43.4155525122,530603.25254,20.5673500576371
38,"eez","Mozambique","MOZ","eez",41,"Mozambique","MOZ","MOZ",27,"Mozambique",93.673269816,49.6236860094,571516.882954,9.40276440155751
39,"eez","Madagascar","MDG","eez",42,"Madagascar","MDG","MDG",28,"Madagascar",147.026211797,104.550560024,1199949.69622,24.3018236780533
40,"eez","Kenya","KEN","eez",43,"Kenya","KEN","KEN",29,"Kenya",23.7723475458,9.08920224176,111663.169317,0.913788595856749
41,"eez","Somalia","SOM","eez",44,"Somalia","SOM","SOM",30,"Somalia",68.5089081166,63.7744228455,779413.206688,8.2643491180757
42,"eez","Eritrea","ERI","eez",45,"Eritrea","ERI","ERI",31,"Eritrea",40.7074305345,6.61316736534,78379.2568196,2.93695638483274
43,"eez","Djibouti","DJI","eez",46,"Djibouti","DJI","DJI",32,"Djibouti",6.62750256438,0.580091318087,6988.12531813,0.597897100155242
44,"eez","Yemen","YEM","eez",47,"Yemen","YEM","YEM",33,"Yemen",67.3730065019,45.3940182784,544727.24788,23.1494203302205
45,"eez","Oman","OMN","eez",48,"Oman","OMN","OMN",34,"Oman",54.7178253783,46.0842551159,536167.470983,19.2201190083866
46,"eez","Sudan","SDN","eez",49,"Sudan","SDN","SDN",35,"Sudan",22.6523307765,5.7285581142,66441.6562934,1.9299890009786
47,"eez","Saudi Arabia","SAU","eez",50,"Saudi Arabia","SAU","SAU",36,"Saudi Arabia",110.599441982,19.2872494657,219297.237146,7.8963688679376
48,"eez","Kuwait","KWT","eez",51,"Kuwait","KWT","KWT",37,"Kuwait",10.6724743882,1.09989294302,11854.5568315,3.33729284584522
49,"eez","Bahrain","BHR","eez",52,"Bahrain","BHR","BHR",38,"Bahrain",7.72658824881,0.687255184858,7601.46103779,1.13540370613337
50,"eez","Pakistan","PAK","eez",53,"Pakistan","PAK","PAK",39,"Pakistan",36.3480556271,19.6096543312,221710.407374,60.4214000675362
51,"eez","United Arab Emirates","ARE","eez",54,"United Arab Emirates","ARE","ARE",40,"United Arab Emirates",34.7753064962,4.8709030096,54473.2559898,13.3786567923427
52,"eez","Azores","PRT","eez",55,"Azores","PRT","Azores",134,"Portugal",47.0502557959,98.7491103669,955823.805091,3.01006392227697
53,"eez","Cape Verde","CPV","eez",56,"Cape Verde","CPV","CPV",41,"Cape Verde",40.3434074887,67.335090817,796535.772384,0.921933196977479
54,"eez","Madeira","PRT","eez",57,"Madeira","PRT","Madeira",134,"Portugal",28.1692453049,43.8898813214,453920.705874,0.123279701341089
55,"eez","Canary Islands","ESP","eez",58,"Canary Islands","ESP","Canary Islands",133,"Spain",44.6044697907,41.2958100693,448342.894113,3.75013539184467
56,"eez","Belgium","BEL","eez",59,"Belgium","BEL","BEL",42,"Belgium",2.94517379187,0.448769693253,3469.73899686,1.36729990795255
57,"eez","Gibraltar","GIB","eez",60,"Gibraltar","GIB","GIB",43,"Gibraltar",1.22881117217,0.042614573534,425.86112877,0.0620964020490646
58,"eez","Tunisia","TUN","eez",61,"Tunisia","TUN","TUN",44,"Tunisia",33.9755865632,10.0522628253,100471.129173,11.1043916583274
59,"eez","Morocco","MAR","eez",62,"Morocco","MAR","MAR",45,"Morocco",41.9444576463,26.526728416,275376.655505,26.7434746032319
