"rgn_id","rgn_nam","r2_label","r2","r1_label","r1","r0_label","r0"
1,"Cocos Islands","Australia and New Zealand",53,"Oceania",9,"World",1
2,"Christmas Island","Australia and New Zealand",53,"Oceania",9,"World",1
3,"Norfolk Island","Australia and New Zealand",53,"Oceania",9,"World",1
4,"Macquarie Island","Australia and New Zealand",53,"Oceania",9,"World",1
5,"New Caledonia","Melanesia",54,"Oceania",9,"World",1
6,"Vanuatu","Melanesia",54,"Oceania",9,"World",1
7,"Solomon Islands","Melanesia",54,"Oceania",9,"World",1
8,"Palau","Micronesia",57,"Oceania",9,"World",1
9,"Micronesia (Federated States of)","Micronesia",57,"Oceania",9,"World",1
10,"Nauru","Micronesia",57,"Oceania",9,"World",1
11,"Marshall Islands","Micronesia",57,"Oceania",9,"World",1
12,"Wake Island","Micronesia",57,"Oceania",9,"World",1
13,"Northern Mariana Islands and Guam","Micronesia",57,"Oceania",9,"World",1
14,"Taiwan","Eastern Asia",30,"Asia",142,"World",1
15,"Philippines","South-Eastern Asia",35,"Asia",142,"World",1
16,"Australia","Australia and New Zealand",53,"Oceania",9,"World",1
17,"Papua New Guinea","Melanesia",54,"Oceania",9,"World",1
18,"Fiji","Melanesia",54,"Oceania",9,"World",1
19,"Tuvalu","Polynesia",61,"Oceania",9,"World",1
20,"Republic of Korea","Eastern Asia",30,"Asia",142,"World",1
21,"Democratic People's Republic of Korea","Eastern Asia",30,"Asia",142,"World",1
24,"Cambodia","South-Eastern Asia",35,"Asia",142,"World",1
25,"Thailand","South-Eastern Asia",35,"Asia",142,"World",1
26,"Andaman and Nicobar","South-Eastern Asia",35,"Asia",142,"World",1
28,"Comoros","Eastern Africa",14,"Africa",2,"World",1
29,"Mayotte","Eastern Africa",14,"Africa",2,"World",1
30,"Glorioso Islands","Eastern Africa",14,"Africa",2,"World",1
31,"Seychelles","Eastern Africa",14,"Africa",2,"World",1
32,"Reunion","Eastern Africa",14,"Africa",2,"World",1
33,"Juan de Nova Island","Eastern Africa",14,"Africa",2,"World",1
34,"Bassas da India","Eastern Africa",14,"Africa",2,"World",1
35,"Ile Europa","Eastern Africa",14,"Africa",2,"World",1
36,"Ile Tromelin","Eastern Africa",14,"Africa",2,"World",1
37,"Mauritius","Eastern Africa",14,"Africa",2,"World",1
38,"British Indian Ocean Territory","Southern Asia",34,"Asia",142,"World",1
39,"Maldives","Southern Asia",34,"Asia",142,"World",1
40,"Sri Lanka","Southern Asia",34,"Asia",142,"World",1
41,"Mozambique","Eastern Africa",14,"Africa",2,"World",1
42,"Madagascar","Eastern Africa",14,"Africa",2,"World",1
43,"Kenya","Eastern Africa",14,"Africa",2,"World",1
44,"Somalia","Eastern Africa",14,"Africa",2,"World",1
45,"Eritrea","Eastern Africa",14,"Africa",2,"World",1
46,"Djibouti","Eastern Africa",14,"Africa",2,"World",1
47,"Yemen","Western Asia",145,"Asia",142,"World",1
48,"Oman","Western Asia",145,"Asia",142,"World",1
49,"Sudan","Northern Africa",15,"Africa",2,"World",1
50,"Saudi Arabia","Western Asia",145,"Asia",142,"World",1
51,"Kuwait","Western Asia",145,"Asia",142,"World",1
52,"Bahrain","Western Asia",145,"Asia",142,"World",1
53,"Pakistan","Southern Asia",34,"Asia",142,"World",1
54,"United Arab Emirates","Western Asia",145,"Asia",142,"World",1
55,"Azores","Southern Europe",39,"Europe",150,"World",1
56,"Cape Verde","Western Africa",11,"Africa",2,"World",1
57,"Madeira","Southern Europe",39,"Europe",150,"World",1
58,"Canary Islands","Southern Europe",39,"Europe",150,"World",1
59,"Belgium","Western Europe",155,"Europe",150,"World",1
60,"Gibraltar","Southern Europe",39,"Europe",150,"World",1
61,"Tunisia","Northern Africa",15,"Africa",2,"World",1
62,"Morocco","Northern Africa",15,"Africa",2,"World",1
63,"Western Sahara","Northern Africa",15,"Africa",2,"World",1
64,"Mauritania","Western Africa",11,"Africa",2,"World",1
65,"Gambia","Western Africa",11,"Africa",2,"World",1
66,"Senegal","Western Africa",11,"Africa",2,"World",1
67,"Libya","Northern Africa",15,"Africa",2,"World",1
68,"Malta","Southern Europe",39,"Europe",150,"World",1
69,"Latvia","Northern Europe",154,"Europe",150,"World",1
70,"Estonia","Northern Europe",154,"Europe",150,"World",1
71,"Bulgaria","Eastern Europe",151,"Europe",150,"World",1
72,"Romania","Eastern Europe",151,"Europe",150,"World",1
73,"Russian Federation","Eastern Europe",151,"Europe",150,"World",1
74,"Georgia","Western Asia",145,"Asia",142,"World",1
75,"Ukraine","Eastern Europe",151,"Europe",150,"World",1
76,"Turkey","Western Asia",145,"Asia",142,"World",1
77,"Syrian Arab Republic","Western Asia",145,"Asia",142,"World",1
78,"Lebanon","Western Asia",145,"Asia",142,"World",1
79,"Israel","Western Asia",145,"Asia",142,"World",1
80,"Greece","Southern Europe",39,"Europe",150,"World",1
81,"Cyprus","Western Asia",145,"Asia",142,"World",1
82,"Albania","Southern Europe",39,"Europe",150,"World",1
84,"Algeria","Northern Africa",15,"Africa",2,"World",1
85,"Ascension","Northern Europe",154,"Europe",150,"World",1
86,"Saint Helena","Northern Europe",154,"Europe",150,"World",1
88,"Tristan da Cunha","Northern Europe",154,"Europe",150,"World",1
89,"South Georgia and the South Sandwich Islands","Southern Islands",999,"Southern Islands",999,"World",1
90,"Prince Edward Islands","Southern Islands",999,"Southern Islands",999,"World",1
91,"Crozet Islands","Southern Islands",999,"Southern Islands",999,"World",1
92,"Amsterdam Island and Saint Paul Island","Southern Islands",999,"Southern Islands",999,"World",1
93,"Kerguelen Islands","Southern Islands",999,"Southern Islands",999,"World",1
94,"Heard and McDonald Islands","Southern Islands",999,"Southern Islands",999,"World",1
95,"Falkland Islands (Malvinas)","Northern Europe",154,"Europe",150,"World",1
96,"Sierra Leone","Western Africa",11,"Africa",2,"World",1
97,"Liberia","Western Africa",11,"Africa",2,"World",1
98,"Togo","Western Africa",11,"Africa",2,"World",1
99,"Benin","Western Africa",11,"Africa",2,"World",1
100,"Congo","Middle Africa",17,"Africa",2,"World",1
101,"Namibia","Southern Africa",18,"Africa",2,"World",1
102,"South Africa","Southern Africa",18,"Africa",2,"World",1
103,"Sao Tome and Principe","Middle Africa",17,"Africa",2,"World",1
104,"Equatorial Guinea","Middle Africa",17,"Africa",2,"World",1
105,"Bouvet Island","Southern Islands",999,"Southern Islands",999,"World",1
106,"Ghana","Western Africa",11,"Africa",2,"World",1
107,"Clipperton Island","Central America",13,"Latin America and the Caribbean",419,"World",1
108,"Bermuda","Caribbean",29,"Latin America and the Caribbean",419,"World",1
110,"Bahamas","Caribbean",29,"Latin America and the Caribbean",419,"World",1
111,"Turks and Caicos Islands","Caribbean",29,"Latin America and the Caribbean",419,"World",1
112,"Cuba","Caribbean",29,"Latin America and the Caribbean",419,"World",1
113,"Cayman Islands","Caribbean",29,"Latin America and the Caribbean",419,"World",1
114,"Haiti","Caribbean",29,"Latin America and the Caribbean",419,"World",1
115,"Dominican Republic","Caribbean",29,"Latin America and the Caribbean",419,"World",1
116,"Puerto Rico and Virgin Islands of the United States","Caribbean",29,"Latin America and the Caribbean",419,"World",1
117,"British Virgin Islands","Caribbean",29,"Latin America and the Caribbean",419,"World",1
118,"Anguilla","Caribbean",29,"Latin America and the Caribbean",419,"World",1
119,"Saint Kitts and Nevis","Caribbean",29,"Latin America and the Caribbean",419,"World",1
120,"Antigua and Barbuda","Caribbean",29,"Latin America and the Caribbean",419,"World",1
121,"Montserrat","Caribbean",29,"Latin America and the Caribbean",419,"World",1
122,"Saint Lucia","Caribbean",29,"Latin America and the Caribbean",419,"World",1
123,"Dominica","Caribbean",29,"Latin America and the Caribbean",419,"World",1
124,"Barbados","Caribbean",29,"Latin America and the Caribbean",419,"World",1
125,"Grenada","Caribbean",29,"Latin America and the Caribbean",419,"World",1
126,"Trinidad and Tobago","Caribbean",29,"Latin America and the Caribbean",419,"World",1
