saup_id,saup_nam,ohi_id_2013,ohi_nam_2013,notes
166,Cocos (Keeling) Isl. (Australia),1,Cocos Islands,
162,Christmas Isl. (Australia),2,Christmas Island,
574,Norfolk Isl. (Australia),3,Norfolk Island,
37,Macquarie Isl. (Australia),4,Macquarie Island,
540,New Caledonia (France),5,New Caledonia,
548,Vanuatu,6,Vanuatu,
90,Solomon Isl.,7,Solomon Islands,
585,Palau,8,Palau,
583,Micronesia (Federated States of),9,Micronesia,
520,Nauru,10,Nauru,
584,Marshall Isl.,11,Marshall Islands,
872,Wake Isl. (USA),12,Wake Island,
316,Guam (USA),13,Northern Mariana Islands and Guam,
580,Northern Marianas (USA),13,Northern Mariana Islands and Guam,
157,Taiwan,14,Taiwan,
608,Philippines,15,Philippines,
36,Australia (mainland),16,Australia,
38,Lord Howe Isl. (Australia),16,Australia,
598,Papua New Guinea,17,Papua New Guinea,
242,Fiji,18,Fiji,
798,Tuvalu,19,Tuvalu,
410,Korea (South),20,South Korea,
408,Korea (North),21,North Korea,
116,Cambodia,24,Cambodia,
956,Thailand (Andaman Sea),25,Thailand,
957,Thailand (Gulf of Thailand),25,Thailand,
357,Andaman & Nicobar Isl. (India),26,Andaman and Nicobar,
174,Comoros Isl.,28,Comoro Islands,
175,Mayotte (France),29,Mayotte,
972,Glorieuse Islands (France),30,Glorioso Islands,
690,Seychelles,31,Seychelles,
638,R_union (France),32,Reunion,
251,Mozambique Channel Isl. (France),33,Juan de Nova Island,split
251,Mozambique Channel Isl. (France),34,Bassas da India,split
251,Mozambique Channel Isl. (France),35,Ile Europa,split
252,Tromelin Isl. (France),36,Ile Tromelin,
480,Mauritius,37,Mauritius,
86,Chagos Archipelago (UK),38,British Indian Ocean Territory,
462,Maldives,39,Maldives,
144,Sri Lanka,40,Sri Lanka,
508,Mozambique,41,Mozambique,
450,Madagascar,42,Madagascar,
404,Kenya,43,Kenya,
706,Somalia,44,Somalia,
111,Eritrea,45,Eritrea,
262,Djibouti,46,Djibouti,
917,Yemen (Arabian Sea),47,Yemen,
916,Yemen (Red Sea),47,Yemen,
512,Oman,48,Oman,
911,Oman (Musandam),48,Oman,
736,Sudan,49,Sudan,
684,Saudi Arabia (Persian Gulf),50,Saudi Arabia,
683,Saudi Arabia (Red Sea),50,Saudi Arabia,
414,Kuwait,51,Kuwait,
48,Bahrain,52,Bahrain,
586,Pakistan,53,Pakistan,
784,United Arab Emirates,54,United Arab Emirates,
968,United Arab Emirates (Fujairah),54,United Arab Emirates,
622,Azores Isl. (Portugal),55,Azores,
132,Cape Verde,56,Cape Verde,
621,Madeira Isl. (Portugal),57,Madeira,
723,Canary Isl. (Spain),58,Canary Islands,
56,Belgium,59,Belgium,
962,"Spain (mainland, Med and Gulf of Cadiz)",60,Gibraltar,split
788,Tunisia,61,Tunisia,
946,Morocco (Central),62,Morocco,
947,Morocco (Mediterranean),62,Morocco,split
948,Morocco (South),62,Morocco,
947,Morocco (Mediterranean),63,W Sahara,split
478,Mauritania,64,Mauritania,
270,Gambia,65,Gambia,
686,Senegal,66,Senegal,
434,Libya,67,Libya,
470,Malta,68,Malta,
428,Latvia,69,Latvia,
233,Estonia,70,Estonia,
100,Bulgaria,71,Bulgaria,
642,Romania,72,Romania,
648,Russia (Baltic Sea),73,Russia,
645,Russia (Barents Sea),73,Russia,
647,Russia (Black Sea),73,Russia,
649,Russia (Far East),73,Russia,
912,Russia (Kara Sea),73,Russia,
913,Russia (Laptev to Chukchi Sea),73,Russia,
268,Georgia,74,Georgia,
804,Ukraine,75,Ukraine,
794,Turkey (Black Sea),76,Turkey,
966,Turkey (Marmara Sea),76,Turkey,
793,Turkey (Mediterranean Sea),76,Turkey,
760,Syria,77,Syria,
422,Lebanon,78,Lebanon,
939,Israel (Mediterranean),79,Israel,
940,Israel (Red Sea),79,Israel,
900,Crete (Greece),80,Greece,
300,Greece (without Crete),80,Greece,
197,Cyprus (North),81,Cyprus,
198,Cyprus (South),81,Cyprus,
8,Albania,82,Albania,
12,Algeria,84,Algeria,
855,Ascension Isl. (UK),85,Ascension,
654,Saint Helena (UK),86,Saint Helena,
856,Tristan da Cunha Isl. (UK),88,Tristan da Cunha,
239,South Georgia & Sandwich Isl. (UK),89,South Georgia and the South Sandwich Islands,
711,Prince Edward Isl. (South Africa),90,Prince Edward Islands,
896,Crozet Isl. (France),91,Crozet Islands,
895,St Paul & Amsterdam Isl. (France),92,Amsterdam Island and Saint Paul Island,
897,Kerguelen Isl. (France),93,Kerguelen Islands,
334,Heard & McDonald Isl. (Australia),94,Heard and McDonald Islands,
238,Falkland Isl. (UK),95,Falkland Islands,
910,South Orkney Islands (UK),0,Antarctica,split
694,Sierra Leone,96,Sierra Leone,
430,Liberia,97,Liberia,
768,Togo,98,Togo,
204,Benin,99,Benin,
178,"Congo, R. of",100,Republique du Congo,
516,Namibia,101,Namibia,
953,South Africa (Atlantic Coast),102,South Africa,
954,South Africa (Indian Ocean Coast),102,South Africa,
678,Sao Tome & Principe,103,Sao Tome and Principe,
226,Equatorial Guinea,104,Equatorial Guinea,
74,Bouvet Isl. (Norway),105,Bouvet Island,
288,Ghana,106,Ghana,
898,Clipperton Isl.  (France),107,Clipperton Island,
