"saup_id","fao_id","eez_id"
124,18,218
304,18,145
645,18,73
650,18,73
841,18,163
60,21,108
124,21,218
304,21,145
666,21,219
851,21,163
56,27,59
208,27,175
233,27,70
234,27,141
246,27,174
250,27,179
277,27,176
278,27,176
304,27,145
352,27,143
372,27,181
428,27,69
440,27,189
528,27,177
578,27,223
579,27,144
616,27,178
620,27,183
621,27,57
622,27,55
642,27,72
645,27,73
648,27,73
650,27,73
651,27,73
724,27,182
744,27,144
752,27,222
826,27,180
830,27,180
28,31,120
44,31,110
52,31,124
60,31,108
76,31,171
84,31,164
92,31,117
136,31,113
170,31,132
188,31,130
192,31,112
214,31,115
254,31,169
308,31,125
312,31,140
320,31,136
328,31,167
332,31,114
340,31,133
388,31,166
474,31,140
484,31,135
500,31,121
532,31,220
533,31,250
558,31,131
591,31,129
630,31,116
659,31,119
662,31,122
670,31,127
740,31,168
780,31,126
796,31,111
843,31,114
850,31,116
851,31,163
852,31,163
862,31,139
212,31,123
660,31,118
24,34,200
76,34,171
120,34,197
132,34,56
178,34,100
180,34,199
204,34,99
226,34,104
266,34,198
270,34,65
288,34,106
324,34,194
384,34,195
430,34,97
478,34,64
504,34,62
566,34,196
620,34,183
621,34,57
622,34,55
624,34,193
678,34,103
686,34,66
694,34,96
723,34,58
724,34,182
732,34,63
768,34,98
855,34,85
8,37,82
12,37,84
70,37,232
100,37,71
191,37,187
197,37,81
198,37,81
250,37,179
268,37,74
274,37,NA
292,37,60
300,37,80
376,37,79
380,37,184
422,37,78
434,37,67
470,37,68
492,37,185
504,37,62
642,37,72
647,37,73
705,37,188
724,37,182
760,37,77
788,37,61
793,37,76
794,37,76
804,37,75
818,37,214
891,37,186
32,41,172
76,41,171
77,41,171
238,41,95
254,41,169
858,41,173
152,41,224
24,47,200
178,47,100
180,47,199
266,47,198
516,47,101
654,47,86
710,47,102
855,47,85
856,47,88
74,48,105
239,48,89
826,48,180
48,51,52
111,51,45
174,51,28
175,51,29
262,51,46
356,51,203
364,51,191
400,51,215
404,51,43
414,51,51
450,51,42
462,51,39
480,51,37
508,51,41
512,51,48
586,51,53
634,51,190
638,51,32
683,51,50
684,51,50
690,51,31
706,51,44
710,51,102
711,51,90
736,51,49
784,51,54
818,51,214
834,51,202
887,51,47
86,51,38
368,51,192
251,51,41
252,51,36
895,51,92
896,51,91
376,51,79
36,57,16
50,57,204
104,57,205
144,57,40
162,57,2
166,57,1
356,57,203
357,57,26
361,57,216
362,57,216
459,57,206
462,57,39
764,57,25
895,57,92
626,57,231
897,58,93
334,58,94
711,58,90
896,58,91
156,61,209
157,61,14
344,61,209
390,61,210
393,61,210
408,61,20
410,61,21
446,61,209
488,61,163
580,61,13
608,61,15
642,61,72
649,61,73
704,61,207
841,61,163
872,61,12
124,67,218
649,67,73
650,67,73
841,67,163
848,67,163
36,71,16
90,71,7
96,71,247
116,71,24
156,71,209
157,71,14
242,71,18
296,71,212
316,71,13
361,71,216
362,71,216
393,71,210
459,71,206
460,71,206
461,71,206
463,71,206
520,71,10
540,71,5
548,71,6
580,71,13
583,71,9
584,71,11
585,71,8
598,71,17
608,71,15
626,71,231
702,71,208
704,71,207
764,71,25
776,71,155
798,71,19
846,71,158
872,71,12
876,71,161
772,71,156
16,77,151
170,77,132
184,77,153
188,77,130
222,77,134
258,77,147
296,77,212
320,77,136
340,77,133
396,77,159
484,77,135
488,77,163
558,77,131
570,77,154
591,77,129
772,77,156
776,77,155
842,77,163
844,77,150
845,77,149
846,77,158
848,77,163
882,77,152
898,77,107
612,77,146
876,77,161
36,81,16
38,81,16
184,81,153
242,81,18
258,81,147
540,81,5
548,81,6
554,81,162
555,81,162
574,81,3
612,81,146
37,81,4
776,81,155
32,87,172
152,87,224
153,87,224
154,87,224
155,87,224
170,87,132
188,87,130
218,87,137
219,87,137
591,87,129
604,87,138
