"sciname","class","order","family","genus","species","authority","sid","modified.year","category","criteria","habitat"
"Abantennarius analis","ACTINOPTERYGII","LOPHIIFORMES","ANTENNARIIDAE","Abantennarius","analis","(Schultz, 1957)",155277,2010,"LC","","Marine"
"Aboma etheostoma","ACTINOPTERYGII","PERCIFORMES","GOBIIDAE","Aboma","etheostoma","Jordan &amp; Starks, 1895",183435,2010,"DD","","Marine"
"Aboma  snyderi","ACTINOPTERYGII","PERCIFORMES","GOBIIDAE","Aboma ","snyderi","(Temminck &amp; Schlegel, 1845)",181137,2012,"LC","","Marine"
"Abralia affinis","CEPHALOPODA","OEGOPSIDA","ENOPLOTEUTHIDAE","Abralia","affinis","(Pfeffer, 1912)",163300,2014,"LC","","Marine"
"Abralia andamanica","CEPHALOPODA","OEGOPSIDA","ENOPLOTEUTHIDAE","Abralia","andamanica","Goodrich, 1896",163184,2014,"LC","","Marine"
"Abralia armata","CEPHALOPODA","OEGOPSIDA","ENOPLOTEUTHIDAE","Abralia","armata","(Quoy &amp; Gaimard, 1832)",163038,2014,"DD","","Marine"
"Abralia astrolineata","CEPHALOPODA","OEGOPSIDA","ENOPLOTEUTHIDAE","Abralia","astrolineata","Berry, 1914",163037,2014,"DD","","Marine"
"Abralia astrosticta","CEPHALOPODA","OEGOPSIDA","ENOPLOTEUTHIDAE","Abralia","astrosticta","Berry, 1909",163302,2014,"LC","","Marine"
"Abralia dubia","CEPHALOPODA","OEGOPSIDA","ENOPLOTEUTHIDAE","Abralia","dubia","(Adam, 1960)",163352,2014,"DD","","Marine"
"Abralia fasciolata","CEPHALOPODA","OEGOPSIDA","ENOPLOTEUTHIDAE","Abralia","fasciolata","Tsuchiya, 1991",163325,2014,"DD","","Marine"
"Abralia gilchristi","CEPHALOPODA","OEGOPSIDA","ENOPLOTEUTHIDAE","Abralia","gilchristi","(Robson, 1924)",163235,2014,"LC","","Marine"
