"sciname","category","popn_trend"
"Balaenoptera acutorostrata","LC","Stable"
"Balaenoptera borealis","EN","Unknown"
"Balaenoptera musculus","EN","Increasing"
"Balaenoptera physalus","EN","Unknown"
"Eubalaena australis","LC","Increasing"
"Hydrurga leptonyx","LC","Unknown"
"Hyperoodon planifrons","LC","Unknown"
"Lagenorhynchus cruciger","LC","Unknown"
"Lobodon carcinophaga","LC","Unknown"
"Megaptera novaeangliae","LC","Increasing"
"Mirounga leonina","LC","Unknown"
"Ommatophoca rossii","LC","Unknown"
"Physeter macrocephalus","VU","Unknown"
"Krefftichthys anderssoni","LC","Unknown"
"Molpadiodemas violaceus","LC","Unknown"
"Stercorarius lonnbergi","LC","Stable"
"Stercorarius maccormicki","LC","Stable"
"Sterna paradisaea","LC","Decreasing"
"Pygoscelis papua","NT","Decreasing"
"Pygoscelis antarcticus","LC","Increasing"
"Eudyptes chrysolophus","VU","Decreasing"
"Macronectes giganteus","LC","Increasing"
"Macronectes halli","LC","Increasing"
"Fulmarus glacialoides","LC","Stable"
"Thalassoica antarctica","LC","Stable"
"Daption capense","LC","Stable"
"Lugensa brevirostris","LC","Stable"
"Pterodroma lessonii","LC","Decreasing"
"Halobaena caerulea","LC","Stable"
"Pachyptila desolata","LC","Decreasing"
"Pachyptila belcheri","LC","Stable"
"Procellaria aequinoctialis","VU","Decreasing"
"Procellaria cinerea","NT","Decreasing"
"Puffinus griseus","NT","Decreasing"
"Diomedea exulans","VU","Decreasing"
"Diomedea epomophora","VU","Stable"
"Thalassarche melanophrys","EN","Decreasing"
"Thalassarche chrysostoma","VU","Decreasing"
"Oceanites oceanicus","LC","Stable"
"Phoebetria palpebrata","NT","Decreasing"
"Fregetta tropica","LC","Decreasing"
"Diomedea sanfordi","EN","Decreasing"
"Leptonychotes weddellii","LC","Unknown"
"Chionis albus","LC","Stable"
"Capheira sulcata","LC","Unknown"
"Pelecanoides urinatrix","LC","Decreasing"
"Pagodroma nivea","LC","Stable"
"Arctocephalus gazella","LC","Increasing"
"Aptenodytes patagonicus","LC","Increasing"
"Aptenodytes forsteri","NT","Stable"
"Bathydraco joannae","LC","Unknown"
"Pygoscelis adeliae","NT","Increasing"
"Bathyraja maccaini","NT","Unknown"
"Pogonophryne barsukovi","LC","Unknown"
"Racovitzia glacialis","LC","Unknown"
"Pleuragramma antarctica","LC","Stable"
"Sterna vittata","LC","Decreasing"
"Akarotaxis nudiceps","LC","Unknown"
"Stercorarius antarcticus","LC","Stable"
"Pachyptila turtur","LC","Stable"
"Pelecanoides georgicus","LC","Decreasing"
"Lamna nasus","VU","Decreasing"
"Thunnus maccoyii","CR","Decreasing"
"Tursiops truncatus","LC","Unknown"
"Ziphius cavirostris","LC","Unknown"
"Prionace glauca","NT","Unknown"
"Sagamichthys abei","LC","Unknown"
"Myctophum spinosum","LC","Unknown"
"Bassozetus robustus","LC","Unknown"
"Argyropelecus hemigymnus","LC","Stable"
"Derichthys serpentinus","LC","Unknown"
"Kali macrodon","LC","Unknown"
"Nessorhamphus danae","LC","Unknown"
"Gasterochisma melampus","LC","Unknown"
"Pterodroma mollis","LC","Stable"
"Puffinus gravis","LC","Stable"
"Garrodia nereis","LC","Decreasing"
"Thalassarche cauta","NT","Unknown"
"Thalassarche steadi","NT","Decreasing"
"Eudyptes chrysocome","VU","Decreasing"
"Pterodroma macroptera","LC","Decreasing"
"Isurus oxyrinchus","VU","Decreasing"
"Fregetta grallaria","LC","Decreasing"
"Pachyptila vittata","LC","Decreasing"
"Kuronezumia bubonis","LC","Unknown"
"Thalassarche salvini","VU","Unknown"
"Phoebetria fusca","EN","Decreasing"
"Dicrolene multifilis","LC","Unknown"
"Hexatrygon bickelli","LC","Unknown"
"Pachyptila salvini","LC","Stable"
"Puffinus tenuirostris","LC","Decreasing"
"Thalassarche impavida","VU","Increasing"
"Pterodroma inexpectata","NT","Decreasing"
"Arctocephalus tropicalis","LC","Increasing"
"Diomedea antipodensis","VU","Decreasing"
"Pelagodroma marina","LC","Decreasing"
"Lophodolos indicus","LC","Unknown"
"Sternoptyx obscura","LC","Unknown"
"Pentacheles obscurus","LC","Unknown"
"Calidris minutilla","LC","Decreasing"
"Steganopus tricolor","LC","Increasing"
"Pentacheles laevis","LC","Stable"
"Thalassarche carteri","EN","Decreasing"
"Scopeloberyx opisthopterus","LC","Unknown"
"Cetorhinus maximus","VU","Decreasing"
"Sphyrna zygaena","VU","Decreasing"
"Diaphus diadematus","LC","Unknown"
"Alepisaurus ferox","LC","Unknown"
"Remora brachyptera","LC","Stable"
"Kajikia audax","NT","Decreasing"
"Puffinus assimilis","LC","Decreasing"
"Puffinus carneipes","LC","Stable"
"Pachyptila crassirostris","LC","Stable"
"Centroscymnus coelolepis","NT","Unknown"
"Physiculus roseus","LC","Stable"
"Sterna virgata","NT","Stable"
"Protomyctophum luciferum","LC","Unknown"
"Amblyraja hyperborea","LC","Unknown"
"Squalus edmundsi","NT","Stable"
"Stereomastis surda","LC","Unknown"
"Etmopterus evansi","LC","Unknown"
"Rhinochimaera pacifica","LC","Unknown"
"Etmopterus granulosus","LC","Unknown"
"Coryphaenoides subserrulatus","LC","Unknown"
"Dipturus acrobelus","LC","Unknown"
"Zanclorhynchus spinifer","LC","Unknown"
"Neomerinthe rotunda","LC","Unknown"
"Parapercis striolata","LC","Stable"
"Plectrogenium nanum","LC","Unknown"
"Diomedea dabbenena","CR","Decreasing"
"Nannobrachium gibbsi","LC","Unknown"
"Mesothuria magellani","LC","Unknown"
