"Site_name","latitude_dd","longitude_dd"
"Aitcho Islands",-62.4,-59.7833333333333
"Base Decepcion",-63.6166666666667,-61.1166666666667
"Damoy Point",-64.8166666666667,-63.5333333333333
"Damoy Point / Dorian Bay",-64.8166666666667,-63.5333333333333
"False Island",-63.9166666666667,-57.3333333333333
"Inverleith harbour",-64.5,-62.9166666666667
"Kinnis Cove",-63.3166666666667,-56.4666666666667
"Peltiers Channel",-64.8666666666667,-63.5666666666667
"Pl_neau Island",-65.1,-64.0666666666667
"Stanley Shoal",-62.9833333333333,-60.6333333333333
"Walker Bay",-62.65,-60.6166666666667
"Bay of Whales",-78.6666666666667,-164.4
"Wohlschlag Bay",-77.3666666666667,166.416666666667
"Bartlett Bay",-77.1435,-157.666666666667
"Halley Rookery",-75.52,-27.3533333333333
"Halley Station",-75.4583333333333,-26.6816666666667
"Tourmaline Plateau",-74.5333333333333,163.833333333333
"Shephard Island",-74.4166666666667,-132.716666666667
"Stancomb Wills Rookery",-74.085,-22.9633333333333
"Drescher Inlet",-72.845,-19.595
"Ironside Glacier",-72.1333333333333,169.666666666667
"Cape Roget",-71.9833333333333,170.616666666667
"George VI Sound",-71,-68
"Leningradskaya",-69.5,159.383333333333
"Lord Bank",-67.8333333333333,-69.25
"Guebriant Islands",-67.8,-68.4166666666667
"Adelaide Anchorage",-67.7666666666667,-68.9666666666667
"Balleny Islands",-66.9333333333333,163.316666666667
"Antarctic Circle",-66.55,0
"Flounder Island",-66.0166666666667,-65.4
"Beer Island",-66,-65.6833333333333
"Erskine Glacier",-66.5333333333333,-65.3666666666667
"Woolpack Island",-65.6166666666667,-65
"Lippman Islands",-65.5,-64.4333333333333
"Forge Islands",-65.2333333333333,-64.2833333333333
"Robertson Island",-65.0833333333333,-59.5166666666667
"Wandel Peak",-65.0833333333333,-64
"Screen Islands",-65.0166666666667,-63.7166666666667
"Fridtjof Island",-64.8833333333333,-63.3666666666667
"Alvaro Cove",-64.85,-63.0166666666667
"Security Bay",-64.85,-63.6166666666667
"Dorian Bay",-64.8166666666667,-63.5333333333333
"Saddler Point",-64.7,-62.0166666666667
"Challenger Island",-64.35,-61.5833333333333
"Spring Point",-64.3,-61.05
"Uruguay Island",-64.2333333333333,-64.2166666666667
"Botany Bay",-63.6833333333333,-57.8833333333333
"Martha Cove",-63.9,-57.7833333333333
"Tetra Rocks",-63.91,-60.7433333333333
"Brandy Bay",-63.8333333333333,-57.9833333333333
"Borgen Bay",-63.75,-63.5
"Camp Hill",-63.6833333333333,-57.8666666666667
"Cape Green",-63.6666666666667,-56.8333333333333
"Eagle Island",-63.6333333333333,-57.4
"Trinity Peninsula",-63.6166666666667,-58.3333333333333
"Eyrie Bay",-63.5833333333333,-57.6333333333333
"Danger Islands",-63.4166666666667,-54.6666666666667
"Cape Legoupil",-63.3166666666667,-57.9
"Macaroni Point",-62.9,-60.5333333333333
"Juan Carlos I Station",-62.65,-60.3833333333333
"Hardy Cove",-62.5333333333333,-59.5833333333333
"Duthoit Point",-62.3166666666667,-58.8333333333333
"Matthew Island",-60.7333333333333,-45.1
"Amphibolite Point",-60.7,-45.3333333333333
"Governor Islands",-60.5,-45.9333333333333
"B15A Iceberg",-81.5,-175
"Madder Cliffs",-63.3,-56.4833333333333
"Paradise Harbor",-64.8166666666667,-62.85
