"LAYER","TYPE","CATEGORY","type"
"alien-species","ecological","regulations","regulatory"
"cites","ecological","regulations","regulatory"
"fishing-v1","ecological","regulations","regulatory"
"fishing-v2","ecological","regulations","regulatory"
"fishing-v3","ecological","regulations","regulatory"
"fishing-v1-eez","ecological","regulations","regulatory"
"fishing-v2-eez","ecological","regulations","regulatory"
"fishing-v3-eez","ecological","regulations","regulatory"
"habitat","ecological","regulations","regulatory"
"habitat-combo","ecological","regulations","regulatory"
"habitat-combo-eez","ecological","regulations","regulatory"
"li-gci","social","none","social"
"li-sector-evenness","social","none","social"
"mariculture","ecological","regulations","regulatory"
"msi-gov","ecological","regulations","regulatory"
"species-diversity","ecological","integrity","environmental"
"species-diversity-3nm","ecological","integrity","environmental"
"tourism","ecological","regulations","regulatory"
"water","ecological","regulations","regulatory"
"wgi-all","social","none","social"
