sp_type,sp_type_orig,sp_name_orig,sp_id,sp_name,sp_id_old_notunique,sp_key,rgn_type,rgn_id,rgn_name,rgn_key,cntry_id12,rgn_id12,rgn_name12,notes
eez,eez,Wake Island,12,Wake Island,12,UMI,eez,12,Wake Island,XWK,Wake Island,114,USA Pacific Uninhabited Territories,
land,land,Wake Island,12,Wake Island,12,UMI,land,12,Wake Island,XWK,Wake Island,114,USA Pacific Uninhabited Territories,
land-noeez,land-noeez,Zimbabwe,337,Zimbabwe,337,ZWE,land-noeez,337,Zimbabwe,ZWE,,,,
eez,eez,Phoenix Group,157,Phoenix Group,157,KIR,eez,157,Phoenix Group,XPX,Phoenix Group,161,Kiribati,
land,land,Phoenix Group,157,Phoenix Group,157,KIR,land,157,Phoenix Group,XPX,Phoenix Group,161,Kiribati,
eez,eez,Puerto Rico of the United States,255,Puerto Rico of the United States,255,PRI,eez,116,Puerto Rico and Virgin Islands of the United States,XPV,PRI|VIR,84,USA Caribbean Territories,
eez,eez,Virgin Islands of the United States,256,Virgin Islands of the United States,256,VIR,eez,116,Puerto Rico and Virgin Islands of the United States,XPV,PRI|VIR,84,USA Caribbean Territories,
land,land,Puerto Rico of the United States,255,Puerto Rico of the United States,255,PRI,land,116,Puerto Rico and Virgin Islands of the United States,XPV,PRI|VIR,84,USA Caribbean Territories,
land,land,Virgin Islands of the United States,256,Virgin Islands of the United States,256,VIR,land,116,Puerto Rico and Virgin Islands of the United States,XPV,PRI|VIR,84,USA Caribbean Territories,
eez,eez,Prince Edward Islands,90,Prince Edward Islands,90,ZAF,eez,90,Prince Edward Islands,XPE,Prince Edward Islands,75,South Africa,
land,land,Prince Edward Islands,90,Prince Edward Islands,90,ZAF,land,90,Prince Edward Islands,XPE,Prince Edward Islands,75,South Africa,
eez,eez,Palmyra Atoll,150,Palmyra Atoll,150,UMI,eez,150,Palmyra Atoll,XPA,Palmyra Atoll,114,USA Pacific Uninhabited Territories,
land,land,Palmyra Atoll,150,Palmyra Atoll,150,UMI,land,150,Palmyra Atoll,XPA,Palmyra Atoll,114,USA Pacific Uninhabited Territories,
eez,eez,Oecussi Ambeno,237,Oecussi Ambeno,237,TLS,eez,237,Oecussi Ambeno,XOA,Oecussi Ambeno,171,East Timor,
land,land,Oecussi Ambeno,237,Oecussi Ambeno,237,TLS,land,237,Oecussi Ambeno,XOA,Oecussi Ambeno,171,East Timor,
eez,eez,Macquarie Island,4,Macquarie Island,4,AUS,eez,4,Macquarie Island,XMQ,Macquarie Island,2,Australian Southern Ocean Territories,
land,land,Macquarie Island,4,Macquarie Island,4,AUS,land,4,Macquarie Island,XMQ,Macquarie Island,2,Australian Southern Ocean Territories,
land-noeez,land-noeez,Zambia,336,Zambia,336,ZMB,land-noeez,336,Zambia,ZMB,,,,
eez,eez,Madeira,57,Madeira,57,PRT,eez,57,Madeira,XMA,Madeira,134,Portugal,
land,land,Madeira,57,Madeira,57,PRT,land,57,Madeira,XMA,Madeira,134,Portugal,
eez,eez,Line Group,148,Line Group,148,KIR,eez,148,Line Group,XLG,Line Group,161,Kiribati,
land,land,Line Group,148,Line Group,148,KIR,land,148,Line Group,XLG,Line Group,161,Kiribati,
eez,eez,Kerguelen Islands,93,Kerguelen Islands,93,ATF,eez,93,Kerguelen Islands,XKG,Kerguelen Islands,67,French Southern Ocean Territories,
land,land,Kerguelen Islands,93,Kerguelen Islands,93,ATF,land,93,Kerguelen Islands,XKG,Kerguelen Islands,67,French Southern Ocean Territories,
eez,eez,Jarvis Island,149,Jarvis Island,149,UMI,eez,149,Jarvis Island,XJV,Jarvis Island,110,Jarvis Island,
land,land,Jarvis Island,149,Jarvis Island,149,UMI,land,149,Jarvis Island,XJV,Jarvis Island,110,Jarvis Island,
eez,eez,Juan de Nova Island,33,Juan de Nova Island,33,ATF,eez,33,Juan de Nova Island,XJN,Juan de Nova Island,21,French Indian Ocean Territories,
land,land,Juan de Nova Island,33,Juan de Nova Island,33,ATF,land,33,Juan de Nova Island,XJN,Juan de Nova Island,21,French Indian Ocean Territories,
eez,eez,Johnston Atoll,159,Johnston Atoll,159,UMI,eez,159,Johnston Atoll,XJO,Johnston Atoll,114,USA Pacific Uninhabited Territories,
land,land,Johnston Atoll,159,Johnston Atoll,159,UMI,land,159,Johnston Atoll,XJO,Johnston Atoll,114,USA Pacific Uninhabited Territories,
