"loiczid","mean_cat_score","mean_popn_trend_score","n_cat_species","n_trend_species","source"
4566,0.2,-0.5,2,1,"iucn"
4567,0.2,-0.5,2,1,"iucn"
4568,0.2,-0.5,2,1,"iucn"
4569,0.2,-0.5,2,1,"iucn"
4570,0.2,-0.5,2,1,"iucn"
4571,0.2,-0.5,2,1,"iucn"
4572,0.2,-0.5,2,1,"iucn"
4573,0.2,-0.5,2,1,"iucn"
4574,0.2,-0.5,2,1,"iucn"
4575,0.2,-0.5,2,1,"iucn"
4576,0.2,-0.5,2,1,"iucn"
4577,0.2,-0.5,2,1,"iucn"
4578,0.2,-0.5,2,1,"iucn"
4579,0.2,-0.5,2,1,"iucn"
4580,0.2,-0.5,2,1,"iucn"
4581,0.2,-0.5,2,1,"iucn"
4582,0.2,-0.5,2,1,"iucn"
4583,0.2,-0.5,2,1,"iucn"
4584,0.2,-0.5,2,1,"iucn"
4585,0.2,-0.5,2,1,"iucn"
4586,0.2,-0.5,2,1,"iucn"
4587,0.2,-0.5,2,1,"iucn"
4588,0.2,-0.5,2,1,"iucn"
4589,0.2,-0.5,2,1,"iucn"
4590,0.2,-0.5,2,1,"iucn"
4591,0.2,-0.5,2,1,"iucn"
4592,0.2,-0.5,2,1,"iucn"
4593,0.2,-0.5,2,1,"iucn"
4594,0.2,-0.5,2,1,"iucn"
4595,0.2,-0.5,2,1,"iucn"
4596,0.2,-0.5,2,1,"iucn"
4597,0.2,-0.5,2,1,"iucn"
4598,0.2,-0.5,2,1,"iucn"
4599,0.2,-0.5,2,1,"iucn"
4600,0.2,-0.5,2,1,"iucn"
4601,0.2,-0.5,2,1,"iucn"
4602,0.2,-0.5,2,1,"iucn"
4603,0.2,-0.5,2,1,"iucn"
4604,0.2,-0.5,2,1,"iucn"
4605,0.2,-0.5,2,1,"iucn"
4606,0.2,-0.5,2,1,"iucn"
4607,0.2,-0.5,2,1,"iucn"
4608,0.2,-0.5,2,1,"iucn"
4609,0.2,-0.5,2,1,"iucn"
4610,0.2,-0.5,2,1,"iucn"
4611,0.2,-0.5,2,1,"iucn"
4612,0.2,-0.5,2,1,"iucn"
4613,0.2,-0.5,2,1,"iucn"
4614,0.2,-0.5,2,1,"iucn"
4615,0.2,-0.5,2,1,"iucn"
4616,0.2,-0.5,2,1,"iucn"
4617,0.2,-0.5,2,1,"iucn"
4618,0.2,-0.5,2,1,"iucn"
4619,0.2,-0.5,2,1,"iucn"
4620,0.2,-0.5,2,1,"iucn"
4621,0.2,-0.5,2,1,"iucn"
4622,0.2,-0.5,2,1,"iucn"
4623,0.2,-0.5,2,1,"iucn"
4624,0.2,-0.5,2,1,"iucn"
4625,0.2,-0.5,2,1,"iucn"
4626,0.2,-0.5,2,1,"iucn"
4627,0.2,-0.5,2,1,"iucn"
4628,0.2,-0.5,2,1,"iucn"
4629,0.2,-0.5,2,1,"iucn"
4630,0.2,-0.5,2,1,"iucn"
4631,0.2,-0.5,2,1,"iucn"
4632,0.2,-0.5,2,1,"iucn"
4633,0.2,-0.5,2,1,"iucn"
4634,0.2,-0.5,2,1,"iucn"
4635,0.2,-0.5,2,1,"iucn"
4636,0.2,-0.5,2,1,"iucn"
4637,0.2,-0.5,2,1,"iucn"
4638,0.2,-0.5,2,1,"iucn"
4639,0.2,-0.5,2,1,"iucn"
4640,0.2,-0.5,2,1,"iucn"
4641,0.2,-0.5,2,1,"iucn"
4642,0.2,-0.5,2,1,"iucn"
4643,0.2,-0.5,2,1,"iucn"
4644,0.2,-0.5,2,1,"iucn"
4645,0.2,-0.5,2,1,"iucn"
4646,0.2,-0.5,2,1,"iucn"
4647,0.2,-0.5,2,1,"iucn"
4648,0.2,-0.5,2,1,"iucn"
4649,0.2,-0.5,2,1,"iucn"
4650,0.2,-0.5,2,1,"iucn"
4651,0.2,-0.5,2,1,"iucn"
4652,0.2,-0.5,2,1,"iucn"
4653,0.2,-0.5,2,1,"iucn"
4654,0.2,-0.5,2,1,"iucn"
4655,0.2,-0.5,2,1,"iucn"
4656,0.2,-0.5,2,1,"iucn"
4657,0.2,-0.5,2,1,"iucn"
4658,0.2,-0.5,2,1,"iucn"
4659,0.2,-0.5,2,1,"iucn"
4660,0.2,-0.5,2,1,"iucn"
4661,0.2,-0.5,2,1,"iucn"
4662,0.2,-0.5,2,1,"iucn"
4663,0.2,-0.5,2,1,"iucn"
5212,0.2,-0.5,2,1,"iucn"
5213,0.2,-0.5,2,1,"iucn"
5214,0.2,-0.5,2,1,"iucn"
5215,0.2,-0.5,2,1,"iucn"
5216,0.2,-0.5,2,1,"iucn"
5217,0.2,-0.5,2,1,"iucn"
5218,0.2,-0.5,2,1,"iucn"
5219,0.2,-0.5,2,1,"iucn"
5220,0.2,-0.5,2,1,"iucn"
