"loiczid","mean_cat_score","mean_popn_trend_score","n_cat_species","n_trend_species","source"
8209,0,NaN,1,0,"aquamaps"
8210,0,NaN,1,0,"aquamaps"
8211,0,NaN,1,0,"aquamaps"
8214,0,NaN,1,0,"aquamaps"
8215,0,NaN,1,0,"aquamaps"
8216,0,NaN,1,0,"aquamaps"
8217,0,NaN,1,0,"aquamaps"
8842,0,NaN,1,0,"aquamaps"
8847,0,NaN,1,0,"aquamaps"
8850,0,NaN,1,0,"aquamaps"
8851,0,NaN,1,0,"aquamaps"
8876,0,NaN,1,0,"aquamaps"
8916,0,NaN,1,0,"aquamaps"
8917,0,NaN,1,0,"aquamaps"
8918,0,NaN,1,0,"aquamaps"
8919,0,NaN,1,0,"aquamaps"
8921,0,NaN,1,0,"aquamaps"
8922,0,NaN,1,0,"aquamaps"
8923,0,NaN,1,0,"aquamaps"
8924,0,NaN,1,0,"aquamaps"
8925,0,NaN,1,0,"aquamaps"
8926,0,NaN,1,0,"aquamaps"
8927,0,NaN,1,0,"aquamaps"
8928,0,NaN,1,0,"aquamaps"
8929,0,NaN,1,0,"aquamaps"
8930,0,NaN,1,0,"aquamaps"
8931,0,NaN,1,0,"aquamaps"
8932,0,NaN,1,0,"aquamaps"
8933,0,NaN,1,0,"aquamaps"
8934,0,NaN,1,0,"aquamaps"
8935,0,NaN,1,0,"aquamaps"
8936,0,NaN,1,0,"aquamaps"
8937,0,NaN,1,0,"aquamaps"
8938,0,NaN,1,0,"aquamaps"
8939,0,NaN,1,0,"aquamaps"
8940,0,NaN,1,0,"aquamaps"
8941,0,NaN,1,0,"aquamaps"
8942,0,NaN,1,0,"aquamaps"
8943,0,NaN,1,0,"aquamaps"
8944,0,NaN,1,0,"aquamaps"
8945,0,NaN,1,0,"aquamaps"
8946,0,NaN,1,0,"aquamaps"
8947,0,NaN,1,0,"aquamaps"
8948,0,NaN,1,0,"aquamaps"
8949,0,NaN,1,0,"aquamaps"
8950,0,NaN,1,0,"aquamaps"
9553,0,NaN,1,0,"aquamaps"
9557,0,NaN,1,0,"aquamaps"
9558,0,NaN,1,0,"aquamaps"
9560,0,NaN,1,0,"aquamaps"
9561,0,NaN,1,0,"aquamaps"
9564,0,NaN,1,0,"aquamaps"
9567,0,NaN,1,0,"aquamaps"
9569,0,NaN,1,0,"aquamaps"
9570,0,NaN,1,0,"aquamaps"
9596,0,NaN,1,0,"aquamaps"
9597,0,NaN,1,0,"aquamaps"
9598,0,NaN,1,0,"aquamaps"
9600,0,NaN,1,0,"aquamaps"
9601,0,NaN,1,0,"aquamaps"
9602,0,NaN,1,0,"aquamaps"
9605,0,NaN,2,0,"aquamaps"
9606,0,NaN,2,0,"aquamaps"
9626,0,NaN,1,0,"aquamaps"
9635,0,NaN,1,0,"aquamaps"
9636,0,NaN,1,0,"aquamaps"
9638,0,NaN,1,0,"aquamaps"
9639,0,NaN,1,0,"aquamaps"
9640,0,NaN,1,0,"aquamaps"
9642,0,NaN,1,0,"aquamaps"
9652,0,NaN,1,0,"aquamaps"
9654,0,NaN,1,0,"aquamaps"
9655,0,NaN,1,0,"aquamaps"
9656,0,NaN,1,0,"aquamaps"
9657,0,NaN,1,0,"aquamaps"
9658,0,NaN,1,0,"aquamaps"
9659,0,NaN,1,0,"aquamaps"
9660,0,NaN,1,0,"aquamaps"
9661,0,NaN,1,0,"aquamaps"
9662,0,NaN,1,0,"aquamaps"
9663,0,NaN,1,0,"aquamaps"
9664,0,NaN,1,0,"aquamaps"
9665,0,NaN,1,0,"aquamaps"
9666,0,NaN,1,0,"aquamaps"
9667,0,NaN,1,0,"aquamaps"
9668,0,NaN,1,0,"aquamaps"
9669,0,NaN,1,0,"aquamaps"
9670,0,NaN,1,0,"aquamaps"
9671,0,NaN,1,0,"aquamaps"
9672,0,NaN,1,0,"aquamaps"
9673,0,NaN,1,0,"aquamaps"
9674,0,NaN,1,0,"aquamaps"
9675,0,NaN,1,0,"aquamaps"
9676,0,NaN,1,0,"aquamaps"
9677,0,NaN,1,0,"aquamaps"
9678,0,NaN,1,0,"aquamaps"
9679,0,NaN,1,0,"aquamaps"
9680,0,NaN,1,0,"aquamaps"
9681,0,NaN,1,0,"aquamaps"
9682,0,NaN,1,0,"aquamaps"
9683,0,NaN,1,0,"aquamaps"
9684,0,NaN,1,0,"aquamaps"
9685,0,NaN,1,0,"aquamaps"
9686,0,NaN,1,0,"aquamaps"
10267,0,NaN,1,0,"aquamaps"
10268,0,NaN,1,0,"aquamaps"
10269,0,NaN,1,0,"aquamaps"
10270,0,NaN,1,0,"aquamaps"
10271,0,NaN,1,0,"aquamaps"
10272,0,NaN,1,0,"aquamaps"
10273,0,NaN,1,0,"aquamaps"
10274,0,NaN,1,0,"aquamaps"
10277,0,NaN,1,0,"aquamaps"
10280,0,NaN,1,0,"aquamaps"
10281,0,NaN,1,0,"aquamaps"
10282,0,NaN,1,0,"aquamaps"
10283,0,NaN,1,0,"aquamaps"
10284,0,NaN,1,0,"aquamaps"
10309,0,NaN,1,0,"aquamaps"
10311,0,NaN,1,0,"aquamaps"
10312,0,NaN,1,0,"aquamaps"
10313,0,NaN,1,0,"aquamaps"
10315,0,NaN,1,0,"aquamaps"
10316,0,NaN,1,0,"aquamaps"
10317,0,NaN,1,0,"aquamaps"
10318,0,NaN,1,0,"aquamaps"
10319,0,NaN,1,0,"aquamaps"
10320,0,NaN,1,0,"aquamaps"
10321,0,NaN,1,0,"aquamaps"
10322,0,NaN,1,0,"aquamaps"
10323,0,NaN,1,0,"aquamaps"
10324,0,NaN,2,0,"aquamaps"
10325,0,NaN,2,0,"aquamaps"
10326,0,NaN,1,0,"aquamaps"
10327,0,NaN,1,0,"aquamaps"
10328,0,NaN,1,0,"aquamaps"
10329,0,NaN,1,0,"aquamaps"
10338,0,NaN,1,0,"aquamaps"
10339,0,NaN,1,0,"aquamaps"
10341,0,NaN,1,0,"aquamaps"
10342,0,NaN,1,0,"aquamaps"
10343,0,NaN,1,0,"aquamaps"
10344,0,NaN,1,0,"aquamaps"
10345,0,NaN,1,0,"aquamaps"
10346,0,NaN,1,0,"aquamaps"
