Site_name,latitude_dd,longitude_dd
Balleny Islands,-66.9333333333,-163.3166666667
Bancroft Bay,-64.566667,-61.866667
Bay of Whales,-78.6666666667,-164.4
Betbeder Islands,-65.436581,-65.525104
Borgen Bay,-63.75,-63.5
Brabazon Point,-64.4,-61.26667
Cape Kinnes,-63.75,-63.5
Challenger Island,-64.35,-61.5833333333
Charles Point,-64.233333,-61
Eagle Island,-63.6333333333,-57.4
Elephant Point,-61.1666666667,-55.2333333333
Flounder Island,-66.0166666667,-65.4
Forge Islands,-65.2333333333,-64.2833333333
Gondwana Station,-74.6333333333,164.2166666667
Hardy Cove,-62.5333333333,-59.5833333333
Hoodwink Island,-67.016667,-66.866667
Humps Island,-67.599394,62.880571
Hut Point,-77.845415,166.640936
Lallemand Fjord,-67.08333,-66.75
Lippman Islands,-65.5,-64.4333333333
Mist Rocks,-66.8,-66.616667
Pl�neau Island,-65.1,-64.0666666667
Rush Glacier,-64.382769,-62.619119
Salvesen Cove,-64.401117,-61.344729
"Shmidt Point, Arrowsmith Peninsula",-66.916667,-67.03333
Spring Point,-66.3,-61.05
Steinheil Point,-64.85,-62.6833333333
Tetra Rocks,-63.9016666667,-60.735
Triangle Point,-62.533333,-59.85
Vieugue Island,-65.666667,-65.216667
Zhongshan Station,-69.426706,76.381245
Access Point,-64.83333,-63.783333
Aitcho Islands - Barrientos Island,-62.4,-59.7833333333
Aitcho Islands - Other,-62.4,-59.7833333333
Almirante Brown Station,-64.9,-62.8666666667
Alvaro Cove,-64.85,-63.0166666667
Amsler Island,-64.763845,-64.084779
Arrowsmith Peninsula,-67.25,-67.25
Artigas Station,-62.183727,-58.902004
Bourgeois Fjord,-67.66667,-67.083333
Boutan Rocks,-64.9,-63.1666667
Bryde Island,-64.874226,-63.009338
Buls Bay,-64.383333,-62.316667
Chutney Cove,,
Danger Islands,-63.4166666667,-54.6666666667
Dee Island,-62.422421,-59.781646
Dream Island,-64.729933,-64.248846
Duchaylard Island,-65.813564,-65.649774
Fanfare Island,-65.216668,-64.183333
Foyn Harbor,-64.55,-62.016667
Galindez Island,-65.25,-64.2333333333
Grandidier Channel,-65.583333,-64.75
Guyou Islands,-65.05,-63.4
Hook Island,-65.633333,-65.1666667
Jang Bogo Station,-74.6153,164.2008
Laktionov Island,-65.766667,-65.766667
Lippmann Islands,-63.5,-64.4333333333
Lockley Point,-64.783333,-63.383333
Lystad Bay,-67.833333,-67.283333
Mario Zucchelli Station,-74.6936,164.1117
Martin Islands,-66.733333,57
"Maxwell Bay, King George Island",-62.25,-58.85
McMurdo Sound,-77.600659,165.466919
Novolazarevskaya Station,-70.8166666667,-11.6166666667
Orcadas Station,-60.75,-44.7333333333
Paradise Harbor,-64.85,-62.9
Pleneau Island,-65.1,-64.0666666667
Pourquoi Pas Island,-67.683333,-67.466667
Refugio Gabriel de Castilla,-62.983333,-60.683333
Roman Four Promontory,-68.216667,-66.933333
Sable Pinnacles,-64.6667,-62.5667
Screen Islands,-65.0166666667,-63.7166666667
Security Bay,-65.85,-63.6166666667
Stony Point,,
Trinity Island,-63.75,-60.733333
Vega Island,-63.833333,-57.416667
Wiencke Island,-64.833333,-63.416667
