"sp_id","year","crew_f","status_f"
248100,2006,689,NA
248100,2007,497,NA
248100,2008,149,NA
248100,2009,465,NA
248100,2010,771,1.11901306240929
248100,2011,816,1.64185110663984
248100,2012,1053,7.06711409395973
248100,2013,906,1.94838709677419
248200,2006,369,NA
248200,2007,398,NA
248200,2008,439,NA
248200,2009,534,NA
248200,2010,775,2.10027100271003
248200,2011,1037,2.60552763819095
248200,2012,354,0.806378132118451
248200,2013,661,1.23782771535581
248300,2006,885,NA
248300,2007,886,NA
248300,2008,1108,NA
248300,2009,850,NA
248300,2010,600,0.677966101694915
248300,2011,685,0.77313769751693
248300,2012,649,0.585740072202166
248300,2013,846,0.995294117647059
248400,2006,48,NA
248400,2007,48,NA
248400,2008,48,NA
248400,2009,48,NA
248400,2010,48,1
248400,2011,48,1
248400,2012,48,1
248400,2013,48,1
248500,2006,0,NA
248500,2007,0,NA
248500,2008,0,NA
248500,2009,0,NA
248500,2010,0,NA
248500,2011,0,NA
248500,2012,0,NA
248500,2013,31,Inf
248600,2006,33,NA
248600,2007,91,NA
248600,2008,33,NA
248600,2009,70,NA
248600,2010,118,3.57575757575758
248600,2011,160,1.75824175824176
248600,2012,72,2.18181818181818
248600,2013,72,1.02857142857143
258410,2006,224,NA
258410,2007,156,NA
258410,2008,241,NA
258410,2009,119,NA
258410,2010,75,0.334821428571429
258410,2011,128,0.82051282051282
258410,2012,44,0.182572614107884
258410,2013,82,0.689075630252101
258420,2006,124,NA
258420,2007,121,NA
258420,2008,120,NA
258420,2009,70,NA
258420,2010,42,0.338709677419355
258420,2011,44,0.363636363636364
258420,2012,83,0.691666666666667
258420,2013,33,0.471428571428571
258431,2006,40,NA
258431,2007,73,NA
258431,2008,39,NA
258431,2009,33,NA
258431,2010,0,0
258431,2011,33,0.452054794520548
258431,2012,28,0.717948717948718
258431,2013,61,1.84848484848485
258432,2006,157,NA
258432,2007,146,NA
258432,2008,110,NA
258432,2009,72,NA
258432,2010,33,0.210191082802548
258432,2011,0,0
258432,2012,0,0
258432,2013,0,0
258442,2006,0,NA
258442,2007,0,NA
258442,2008,0,NA
258442,2009,0,NA
258442,2010,0,NA
258442,2011,0,NA
258442,2012,0,NA
258442,2013,33,Inf
258510,2006,280,NA
258510,2007,220,NA
258510,2008,220,NA
258510,2009,507,NA
258510,2010,319,1.13928571428571
258510,2011,259,1.17727272727273
258510,2012,287,1.30454545454545
258510,2013,287,0.566074950690335
258520,2006,116,NA
258520,2007,48,NA
258520,2008,76,NA
258520,2009,81,NA
258520,2010,81,0.698275862068966
258520,2011,81,1.6875
258520,2012,81,1.06578947368421
258520,2013,112,1.38271604938272
258600,2006,289,NA
258600,2007,300,NA
258600,2008,259,NA
258600,2009,444,NA
258600,2010,335,1.15916955017301
258600,2011,335,1.11666666666667
258600,2012,335,1.29343629343629
258600,2013,298,0.671171171171171
258700,2006,39,NA
258700,2007,80,NA
258700,2008,39,NA
258700,2009,78,NA
258700,2010,39,1
258700,2011,76,0.95
258700,2012,76,1.94871794871795
258700,2013,76,0.974358974358974
288100,2006,368,NA
288100,2007,453,NA
288100,2008,471,NA
288100,2009,414,NA
288100,2010,384,1.04347826086957
288100,2011,469,1.03532008830022
288100,2012,453,0.961783439490446
288100,2013,583,1.40821256038647
288200,2006,214,NA
288200,2007,218,NA
288200,2008,118,NA
288200,2009,308,NA
288200,2010,169,0.789719626168224
288200,2011,317,1.45412844036697
288200,2012,171,1.44915254237288
288200,2013,364,1.18181818181818
